DepMap ID,temozolomide (BRD:BRD-K32107296-001-16-9) log2 fold change Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4,filter,Cell Line Name,Primary Disease,Lineage
ACH-000863,-0.0684098531377,glioblastoma,DBTRG05MG,Brain Cancer,Central Nervous System
ACH-000819,0.09805413399,glioblastoma,LN18,Brain Cancer,Central Nervous System
ACH-000756,-1.63265149269,glioblastoma,GI1,Brain Cancer,Central Nervous System
ACH-000738,0.442684171467,glioblastoma,GB1,Brain Cancer,Central Nervous System
ACH-000623,-0.596207281445,glioblastoma,SNU201,Brain Cancer,Central Nervous System
ACH-000622,-0.152031853457,glioblastoma,KNS42,Brain Cancer,Central Nervous System
ACH-000595,-0.489593377498,glioblastoma,LN229,Brain Cancer,Central Nervous System
ACH-000571,0.0549041042404,glioblastoma,T98G,Brain Cancer,Central Nervous System
ACH-000570,0.33594489733499994,glioblastoma,YKG1,Brain Cancer,Central Nervous System
ACH-000558,0.326292118058,glioblastoma,A172,Brain Cancer,Central Nervous System
ACH-000543,-0.0105232475862,glioblastoma,SNU489,Brain Cancer,Central Nervous System
ACH-000479,0.309774911793,glioblastoma,KNS81,Brain Cancer,Central Nervous System
ACH-000469,0.301806951242,glioblastoma,YH13,Brain Cancer,Central Nervous System
ACH-000464,-0.0711828983281,glioblastoma,CAS1,Brain Cancer,Central Nervous System
ACH-000445,-0.127164106562,glioblastoma,KNS60,Brain Cancer,Central Nervous System
ACH-000376,0.522504503516,glioblastoma,SF295,Brain Cancer,Central Nervous System
ACH-000368,-0.020182943432200003,glioblastoma,SNU1105,Brain Cancer,Central Nervous System
ACH-000289,0.27164429499000003,glioblastoma,SNU466,Brain Cancer,Central Nervous System
ACH-000244,-0.497062485923,glioblastoma,DKMG,Brain Cancer,Central Nervous System
ACH-000231,-0.300683703136,glioblastoma,KALS1,Brain Cancer,Central Nervous System
ACH-000200,-0.296709893304,glioblastoma,NMCG1,Brain Cancer,Central Nervous System
ACH-000102,-0.26047092232,glioblastoma,GMS10,Brain Cancer,Central Nervous System
ACH-000098,0.0946883347755,glioblastoma,GAMG,Brain Cancer,Central Nervous System
ACH-000027,-0.94425370426,glioblastoma,GOS3,Brain Cancer,Central Nervous System
