"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Evaluate the Efficacy and Safety of ADCV01 as an Add-On Treatment for Primary Glioblastoma Multiforme (GBM) Patients","Recruiting","No Results Available","GBM","Biological: autologous dendritic cells","Taichung Veterans General Hospital, Taichung, Non-US, Taiwan|Chang-Gung Memorial Hospital at Lin-Ko, Taoyuan, Non-US, Taiwan|China Medical University Hospital, Taichung, Taiwan","https://ClinicalTrials.gov/show/NCT04115761"
2,"To Evaluate the Efficacy and Safety of CAN008 Combined With Re-irradiation (rRT) for Treating Patients With Recurrent Glioblastoma (GBM)","Unknown status","No Results Available","GBM","Drug: CAN008",,"https://ClinicalTrials.gov/show/NCT03746288"
3,"A Phase 0 Study of AZD1775 in Recurrent GBM Patients","Completed","No Results Available","Glioblastoma|GBM","Biological: AZD1775","Barrow Neurological Institute at St. Joseph's Hospital Medical Center, Phoenix, Arizona, United States","https://ClinicalTrials.gov/show/NCT02207010"
4,"Integrative Analysis of Human Glioblastoma Multiforme","Recruiting","No Results Available","GBM","Other: Normal brain tissue","Shanghai Tenth People's Hospital, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT03005132"
5,"Studies of Chlorogenic Acid for Injection for Safety and Efficacy of Grade IV GBM Patients","Unknown status","No Results Available","GBM","Drug: Chlorogenic acid for Injection|Drug: Lomustine","Beijing Tiantan Hospital, Capital Medical University, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT03758014"
6,"FET-PET for Evaluation of Response of Recurrent GBM to Avastin","Completed","Has Results","Glioblastoma Multiforme|GBM","Drug: 18F-FET","Brigham and Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT01756352"
7,"Study of Induction of Hypothyroxinemia Adjunct to Conventional Therapies in GBM Patients","Terminated","No Results Available","Glioblastoma Multiforme (GBM)","Drug: Combined T3 and Methimazole treatment","Tel-Aviv Medical Center, Israel, Tel-Aviv, Israel","https://ClinicalTrials.gov/show/NCT02654041"
8,"CMV-specific Cytotoxic T Lymphocytes Expressing CAR Targeting HER2 in Patients With GBM","Completed","No Results Available","Glioblastoma Multiforme (GBM)","Biological: HER.CAR CMV-specific CTLs","Houston Methodist Hospital, Houston, Texas, United States|Texas Children's Hospital, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01109095"
9,"Expanded Access Protocol for GBM Patients With Already Manufactured DCVax®-L Who Have Screen-Failed Protocol 020221","Available","No Results Available","GBM|Glioblastoma Multiforme","Biological: DCVax-L","University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|UCLA Medical Center, Los Angeles, California, United States|Hoag Memorial Hospital, Newport Beach, California, United States|St. Joseph Hospital of Orange, Orange, California, United States|University of California, Irvine Medical Center, Orange, California, United States|University of Colorado Cancer Center, Aurora, Colorado, United States|Colorado Neurological Institute, Englewood, Colorado, United States|University of Florida, Gainesville, Florida, United States|Memorial Healthcare System Memorial Cancer Institute, Hollywood, Florida, United States|Cadence Cancer Center at Warrenville, Warrenville, Illinois, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Spectrum Health, Grand Rapids, Michigan, United States|John Nasseff Neuroscience Institute - Abott Northwestern Hospital, Minneapolis, Minnesota, United States|Saint Luke's Hospital of Kansas City, Kansas City, Missouri, United States|Washington University School of Medicine, St. Louis, Missouri, United States|John Theurer Cancer Center at Hackensack University Medical Center, Hackensack, New Jersey, United States|Capital Health, Trenton, New Jersey, United States|North Shore University Hospital, Manhasset, New York, United States|Columbia University Medical Center Neurological Institute of New York, New York, New York, United States|Stony Brook University Hospital, Stony Brook, New York, United States|Ohio State University, Columbus, Ohio, United States|University of Oklahoma Health Science Center, Oklahoma City, Oklahoma, United States|Geisinger Medical Center, Danville, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Saint Thomas Research Institute, Nashville, Tennessee, United States|Swedish Neuroscience Institute, Seattle, Washington, United States|Aurora Saint Luke's Medical Center, Milwaukee, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT02146066"
10,"TAU-2014-1: Mibefradil and Hypofractionated Re-Irradiation Therapy in Recurrent GBM","Completed","No Results Available","Glioblastoma Multiforme (GBM)","Drug: Mibefradil with Radiation","Yale University, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT02202993"
