Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
1	De Novo Sirolimus-based Immunosuppression After Liver Transplantation for Hepatocellular Carcinoma	Completed	Has Results	Liver Carcinoma	Drug: Sirolimus	University of Alberta, Edmonton, Alberta, Canada	https://ClinicalTrials.gov/show/NCT00328770
2	Relenvatinib in the Tatment of Recurrence of Hepatocellular Carcinoma After Liver Transplantation	Not yet recruiting	No Results Available	Hepatocellular Carcinoma|Liver Transplantation	Drug: relenvatinib		https://ClinicalTrials.gov/show/NCT04237740
3	Y90 Radioembolization Prior to Surgical Resection or Radiofrequency for Hepatocellular Carcinoma in Cirrhotic Liver	Terminated	No Results Available	Hepatocellular Carcinoma|Liver Cirrhosis	Device: Sirsphere trans-arterial radioembolization	Institut Jules Bordet, Brussels, Belgium|Erasme Hosptial, Brussels, Belgium	https://ClinicalTrials.gov/show/NCT01686880
4	Liver Stiffness Measurement (LSM) in Predicting Progress of Liver Fibrosis After TACE for Hepatocellular Carcinoma	Unknown status	No Results Available	Hepatocellular Carcinoma|Liver Failure	Procedure: TACE		https://ClinicalTrials.gov/show/NCT03285867
5	Tislelizumab Consolidation After Liver-Directed Therapy for Hepatocellular Carcinoma	Not yet recruiting	No Results Available	Carcinoma, Hepatocellular|Liver Cell Carcinoma	Drug: Tislelizumab	Rutgers Cancer Institute of New Jersey, New Brunswick, New Jersey, United States	https://ClinicalTrials.gov/show/NCT05366829
6	Surgical Stages of Liver Cirrhosis In Patients With Hepatocellular Carcinoma	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Cirrhosis		Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, China	https://ClinicalTrials.gov/show/NCT04076631
7	Liver Transplantation With ADV-TK Gene Therapy Improves Survival in Patients With Advanced Hepatocellular Carcinoma	Completed	No Results Available	Hepatocellular Carcinoma|Liver Transplantation	Genetic: ADV-TK (adenovirus-thymidine kinase enzyme) gene therapy	Beijing Chao Yang Hospital, Beijing, Beijing, China	https://ClinicalTrials.gov/show/NCT00300521
8	Study of Palliative Radiotherapy for Symptomatic Hepatocellular Carcinoma and Liver Metastases	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Metastases	Other: Best Supportive Care|Radiation: Palliative Radiation Therapy	Cross Cancer Institute, Edmonton, Alberta, Canada|Dr. H. Bliss Murphy Cancer Centre, St. John's, Newfoundland and Labrador, Canada|Royal Victoria Regional Health Centre, Barrie, Ontario, Canada|Kingston Health Sciences Centre, Kingston, Ontario, Canada|Ottawa Hospital Research Institute, Ottawa, Ontario, Canada|Odette Cancer Centre, Toronto, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|CHUM-Centre Hospitalier de l'Universite de Montreal, Montreal, Quebec, Canada|Hotel-Dieu de Quebec, Quebec City, Quebec, Canada|Centre hospitalier regional de Trois-Rivieres, Trois-Rivieres, Quebec, Canada|Allan Blair Cancer Centre, Regina, Saskatchewan, Canada	https://ClinicalTrials.gov/show/NCT02511522
9	Neo-adjuvant Transarterial Chemoinfusion (TAI) for Patients With Hepatocellular Carcinoma Beyond Milan/UCSF Criteria Who Underwent Liver Transplantation	Recruiting	No Results Available	Hepatocellular Carcinoma|Liver Transplantation	Other: Transarterial chemoinfusion (TAI) with mFOLFOX6 (oxaliplatin, calcium folinate, and 5-FU)	Nanjing Drum tower hospital, Nanjing, Jiangsu, China	https://ClinicalTrials.gov/show/NCT04595864
10	Study of Factors Predicting Tumor Recurrence After Liver Transplantation for Hepatocellular Carcinoma (HCC)	Completed	No Results Available	Hepatocellular Carcinoma|Liver Cirrhosis|Evidence of Liver Transplantation	Other: search of factors predicting tumor recurrence	Clinique Universitaire d'Hépato-gastroentérologie, Grenoble, France	https://ClinicalTrials.gov/show/NCT01198704
