Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
1	Molecular Analysis of 150 Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Genetic: Sequencing	Anatomie et cytologie pathologiques Groupement hospitalier Est, Institut de cancérologie des Hospices civils de Lyon,, Lyon, France	https://ClinicalTrials.gov/show/NCT02843711
2	A Study of L-DOS47 in Combination With Vinorelbine/Cisplatin in Lung Adenocarcinoma	Terminated	No Results Available	Lung Adenocarcinoma	Drug: L-DOS47|Drug: Cisplatin|Drug: Vinorelbine	Europejskie Centrum Zdrowia Otwock, Otwock, Poland|Dnipropetrovsk City Multi-field Clinical Hospital #4, Dnipro, Ukraine|Sumy Regional Clinical Oncological Centre, Sumy, Ukraine|Vinnytsya Regional Clinical Oncological Centre, Vinnytsia, Ukraine	https://ClinicalTrials.gov/show/NCT03891173
3	Bevacizumab and Radiotherapy for Oligometastasis of Lung Adenocarcinoma With Negative Driver Gene	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Bevacizumab Injection|Radiation: chest radiation|Drug: concurrent chemotherapy	Sun yat-sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03905317
4	TCM in the Treatment of Lung Adenocarcinoma	Not yet recruiting	No Results Available	Lung Adenocarcinoma	Drug: Jing-yan-kang Granule|Drug: PC chemotherapy and symptomatic treatment		https://ClinicalTrials.gov/show/NCT04482829
5	Radiomics Multifactorial Biomarker for Spread Through Air Space in Lung Adenocarcinoma	Not yet recruiting	No Results Available	Lung Adenocarcinoma	Diagnostic Test: radiomics		https://ClinicalTrials.gov/show/NCT05400304
6	Radiomics-based Prediction Model of Tumor Spread Through Air Space in Lung Adenocarcinoma	Completed	No Results Available	Lung Adenocarcinoma		Dipartimento di chirurgia Generale e Specialistica "Paride Stefanini", Roma, Italy	https://ClinicalTrials.gov/show/NCT04893200
7	Segmentectomy Versus Lobectomy for Lung Adenocarcinoma ≤ 2cm	Recruiting	No Results Available	Lung Adenocarcinoma	Procedure: Segmentectomy with systemic lymph node dissection|Procedure: Lobectomy with hilar and mediastinal lymph node dissection	The First People's Hospital of Changzhou, Changzhou, Jiangsu, China|The Sixth People's Hospital of Nantong, Nantong, Jiangsu, China|Affiliated Hospital of Nantong University, Nantong, Jiangsu, China|Shanghai Pulmonary Hospital, Shanghai, Shanghai, China|The Second Affiliated Hospital Zhejiang University School of Medicine, Hangzhou, Zhejiang, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04937283
8	Furmonertinib as Perioperation Therapy in Stage IIIA-IIIB (N1-N2) Resectable EGFR Mutated Lung Adenocarcinoma (FRONT)	Not yet recruiting	No Results Available	Lung Adenocarcinoma	Drug: Furmonertinib		https://ClinicalTrials.gov/show/NCT04965831
9	Bevacizumab After Chemoradiotherapy For Locally Advanced Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Bevacizumab|Radiation: chest radiation|Drug: concurrent chemotherapy	Sun yat-sen University Cancer Center, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03904563
10	Study of Apatinib as the Maintenance Therapy in Advanced Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Apatinib	Henan Cancer Hospital, Zhengzhou, Henan, China	https://ClinicalTrials.gov/show/NCT03376737
11	Expression of AMP-activated Protein Kinase (AMPK) Protein in Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma		Fang Hsin Yuan, Taichung, Taiwan	https://ClinicalTrials.gov/show/NCT01249066
12	Study of Early-stage Lung Adenocarcinoma for Early Detection and Effective Treatment Strategy	Unknown status	No Results Available	Lung Adenocarcinoma	Other: CT, PET, copy number alteration	Samsung Medical Center, Seoul, Korea, Republic of	https://ClinicalTrials.gov/show/NCT01482585
13	Pemetrexed and Platinum Use in the Neoadjuvant Setting for Resectable Stage II and IIIA Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Pemetrexed|Drug: Cisplatin	Fudan University Shanghai Cancer Center, Shanghai, China	https://ClinicalTrials.gov/show/NCT02980991
14	Chemotherapy Plus Gefitinib for Advanced Lung Adenocarcinoma and Sensitive EGFR Mutations: a Randomized Controlled Trial	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Pemetrexed plus carboplatin combined with gefitinib|Drug: Gefitinib		https://ClinicalTrials.gov/show/NCT02951637
15	Clinical Trial of Erlotinib and Pemetrexed for Maintenance Treatment in Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Erlotinib, Pemetrexed		https://ClinicalTrials.gov/show/NCT02399566
16	Chemotherapy Combined Autologous Cytokine-induced Killer Cells in Naive Stage IV EGFR-wild Type Lung Adenocarcinoma	Terminated	No Results Available	Lung Adenocarcinoma	Biological: CIK|Drug: chemotherapy	Henan Cancer Hospital/The affiliated Cancer Hospital of ZhengZhou university, ZhengZhou, Henan, China	https://ClinicalTrials.gov/show/NCT02621333
17	Apatinib Plus Docetaxel as 2nd Line Treatment in Patients With Advanced Lung Adenocarcinoma Harboring Wild-type EGFR	Unknown status	No Results Available	Lung Adenocarcinoma	Drug: Apatinib (250 mg/d) + Docetaxel (60 mg/m2)|Drug: Apatinib (500 mg/d) + Docetaxel (60 mg/m2)|Drug: Apatinib (750 mg/d) + Docetaxel (60 mg/m2)		https://ClinicalTrials.gov/show/NCT02691871
18	Neoadjuvant HS-10296 (Almonertinib) Therapy for Potential Resectable Stage III EGFR Mutation-Positive Lung Adenocarcinoma	Recruiting	No Results Available	Lung Adenocarcinoma Stage III	Drug: HS-10296 (Almonertinib)	Shanghai Pulmonary Hospital, Shanghai, Shanghai, China	https://ClinicalTrials.gov/show/NCT04685070
19	A+C in Metastatic Lung Adenocarcinoma Cancer	Unknown status	No Results Available	Lung Adenocarcinoma Metastatic	Drug: Crizotinib, bevacizumab	Chinese PLA General Hospital, Beijing, Beijing, China|PLA general hospital, BeiJing, Beijing, China	https://ClinicalTrials.gov/show/NCT02946359
20	Efficacy and Safety of Tislelizumab Combined With Bevacizumab and Albumin Paclitaxel in Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma Stage IV	Drug: Tislelizumab	Zhou Chengzhi, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT04310943
21	A Study Examining Maintenance Bevacizumab (Avastin®) Monotherapy in Participants With Advanced Lung Adenocarcinoma	Completed	No Results Available	Lung Adenocarcinoma	Drug: Bevacizumab	Orszagos Koranyi TBC es Pulmonologiai Intezet, Budapest, Hungary|Semmelweis Egyetem X; Pulmonologiai Klinika, Budapest, Hungary|Uzsoki Utcai Korhaz, Budapest, Hungary|Debreceni Egyetem, Klinikai Kozpont, Tudogyogyaszati Klinika, Debrecen, Hungary|Csongrad Megyei Mellkasi Betegsegek Szakkorhaza, Deszk, Hungary|Veszprem Megyei Onkormanyzat Tudogyogyintezet, Farkasgyepu, Hungary|Petz Aladar Megyei Oktato Korhaz, Gyor, Hungary|Bekes Megyei Tudokorhaz; I. Tudobelosztaly, Gyula, Hungary|Bacs-Kiskun Megyei Korhaz, Kecskemet, Hungary|Matrai Gyogyintezet, Matrahaza, Hungary|Szabolcs-Szatmar-Bereg County Josa Andras Hospital; 1St Depatment of Pulmonary Medicine, Nyiregyhaza, Hungary|University of Pecs; 1St Department of Medicine, Pecs, Hungary|Fejer Megyei Szent Gyorgy Korhaz, Szekesfehervar, Hungary|Vas Megyei Markusovszky Korhaz ; Oncoradiology, Szombathely, Hungary|Komárom-Esztergom Megyei; Szent Borbála Kórháza, Tatabánya, Hungary|Tudogyogyintezet Torokbalint, Torokbalint, Hungary	https://ClinicalTrials.gov/show/NCT02093000
22	Cryoablation in Combination (or Not) With Pembrolizumab and Pemetrexed-carboplatin in 1st-line Treatment for Patients With Metastatic Lung Adenocarcinoma	Recruiting	No Results Available	Lung Adenocarcinoma|Cryotherapy Effect	Device: Cryoablation|Drug: Pembrolizumab|Drug: Pemetrexed|Drug: Carboplatin	Institut Bergonié, Bordeaux, Gironde, France	https://ClinicalTrials.gov/show/NCT04339218
23	Retrospective Analysis of the Expression of the Neurotensin Receptor by Metastatic Lung Adenocarcinomas	Withdrawn	No Results Available	Metastatic Lung Adenocarcinomas			https://ClinicalTrials.gov/show/NCT02891733
24	The Use of CT Perfusion to Determine the Normalization Window Period in the Treatment of Advanced Primary Lung Adenocarcinoma With Endostar	Unknown status	No Results Available	Advanced Primary Lung Adenocarcinoma	Drug: endostar	The Department of Thoracic Oncology in West China Hospital of Sichuan University, Chengdu, Sichuan, China	https://ClinicalTrials.gov/show/NCT01564329
25	Chemoresistance and Involvement of the NOTCH Pathway in Patients With Lung Adenocarcinoma	Unknown status	No Results Available	Lung Adenocarcinoma	Other: biopsies	PUJOL, Montpellier, France	https://ClinicalTrials.gov/show/NCT02898857
26	Postoperative Pembrolizumab for the Patients Who Have Solid Predominant or Micropapillary Lung Adenocarcinoma With Pathologic Stage I and Primary Tumor Than 4 cm	Recruiting	No Results Available	Lung Adenocarcinoma, Stage I	Drug: Pembrolizumab	Samsung medical centre, Seoul, Kangnam, Korea, Republic of	https://ClinicalTrials.gov/show/NCT03254004
27	Cetuximab in Patients With Lung Adenocarcinoma Receiving Erlotinib That Have Developed "Acquired Resistance" to Erlotinib	Completed	Has Results	Lung Adenocarcinoma	Drug: erlotinib with cetuximab	Memoral Sloan Kettering Cancer Center, Basking Ridge, New Jersey, United States|Memorial Sloan-Kettering Cancer Center @ Suffolk, Commack, New York, United States|Memorial Sloan-Kettering Cancer Center, New York, New York, United States|Memorial Sloan-Kettering Cancer Center at Mercy Medical Center, Rockville Centre, New York, United States|Memoral Sloan Kettering Cancer Center at Phelps, Sleepy Hollow, New York, United States	https://ClinicalTrials.gov/show/NCT00716456
