"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"PAncreatic Adenocarcinoma in Hospital","Completed","No Results Available","Pancreatic Adenocarcinoma",,"CH de Jolimont, Jolimont, Belgium|CH Gabriel Martin, Saint-Paul, La Réunion, France|CHIAP, Aix en Provence, France|CH Angoulême, Angoulême, France|CH d'Aubenas, Aubenas, France|CH Auch, Auch, France|CH Robert Ballanger, Aulnay sous bois, France|CH Avignon, Avignon, France|CH Bagnols sur Ceze, Bagnols sur Ceze, France|CH Bayeux, Bayeux, France|CH Blois, Blois, France|CH Bourg en Bresse, Bourg en Bresse, France|CH de Bourges, Bourges, France|CH Nord Deux Sèvres, Bressuire, France|CH Saint Camille, Bry sur Marne, France|CH Béziers, Béziers, France|HPA Castres Mazamet, Castres, France|CH Chalons en champagne, Chalons en champagne, France|CH Chambery, Chambery, France|CH Chartres, Chartres, France|Ch Cholet, Cholet, France|CH Haut Anjou, Château Gontier, France|CH Châteauroux, Châteauroux, France|CH Compiègne Noyon, Compiègne, France|CH sud francilien, Corbeil Essonnes, France|CH de Creil, Creil, France|CHI Créteil, Créteil, France|CH Dourdan, Dourdan, France|CH Draguignan, Draguignan, France|CH Dreux, Dreux, France|CH Simone Veil, Eaubonne, France|CH Forcilles, Ferolles, France|Chicas, Gap, France|CH Gonesse, Gonesse, France|Centre hospitalier départemental Vendée, La Roche sur Yon, France|Centre Hospitalier de Lagny, Lagny sur Marne, France|CH du Mans, Le Mans, France|Lens, Lens, France|Centre Hospitalier Côté de lumière, Les Sables d'Olonne, France|Hôpital des chanaux, Macon, France|Centre Hospitalier de Meaux, Meaux, France|CH Melun, Melun, France|CHR de Mercy-Metz, Metz, France|CHAM, Montargis, France|CH Montauban, Montauban, France|Centre Hospitalier Montelimar, Montelimar, France|CH Montfermeil, Montfermeil, France|CH Niort, Niort, France|CHG Oloron, Oloron Sainte Marie, France|CHR Orléans, Orléans, France|CH François Mitterand, Pau, France|Centre Hospitalier de Perpignan, Perpignan, France|CHI Poissy Saint Germain, Poissy, France|CH Pontoise, Pontoise, France|CH de la région d'Annecy, Pringy, France|CH Quimper, Quimper, France|CH Roubaix, Roubaix, France|Centre hospitalier Yves Le Foll, Saint Brieuc, France|CH Saint Quentin, Saint Quentin, France|CH de la Fontaine, Saint-Denis, France|Centre Hospitalier de Bigorre, Tarbes, France|CH Sainte Musse, Toulon, France|CH Tourcoing, Tourcoing, France|CH Valenciennes, Valenciennes, France|CHBA de Vannes, Vannes, France|CHIV Villeneuve Saint-Georges, Villeneuve Saint-Georges, France","https://ClinicalTrials.gov/show/NCT01989624"
2,"Trial of Immunotherapy With Avelumab and Pepinemab As Second Line For Patients With Metastatic Pancreatic Adenocarcinoma","Not yet recruiting","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: Avelumab and Pepinemab",,"https://ClinicalTrials.gov/show/NCT05102721"
3,"Allogeneic Hematopoietic Stem Cell Transplantation in Pancreatic Adenocarcinoma","Unknown status","No Results Available","Pancreatic Adenocarcinoma","Procedure: Allogeneic hematopoietic stem cell transplantation","Center for allogeneic stem cell transplantation, Karolinska University hospital, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT02207985"
4,"Contrast-harmonic Endoscopic Ultrasound (CH-EUS) for the Diagnosis of Pancreatic Adenocarcinoma","Completed","No Results Available","Pancreatic Adenocarcinoma","Drug: SonoVue®","Société Française d'Endoscopie Digrestive, Paris, France","https://ClinicalTrials.gov/show/NCT01765036"
5,"Z-360 Plus GEM in Subjects With Metastatic Pancreatic Adenocarcinoma","Completed","No Results Available","Metastatic Pancreatic Adenocarcinoma","Drug: Z-360|Drug: Placebo","Zeria Investigative sites, Japan, Japan|Zeria Investigative Sites, Korea, Korea, Republic of|Zeria Investigative Sites, Taiwan, Taiwan","https://ClinicalTrials.gov/show/NCT02117258"
6,"Role of Interim 18F-FLT PET/CT for Outcome Prediction in Pancreatic Adenocarcinoma","Active, not recruiting","No Results Available","Pancreatic Adenocarcinoma","Drug: 3'-deoxy-3'-[F-18] fluorothymidine: [F-18]FLT|Procedure: Computed Tomography|Procedure: Positron Emission Tomography|Other: Laboratory Biomarker Analysis","UT Southwestern Medical Center, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT03318497"
7,"EUS-Guided Cryothermal Ablation in Patients With Stage III Pancreatic Adenocarcinoma (HybridTherm Study)","Active, not recruiting","No Results Available","Pancreatic Adenocarcinoma Non-resectable","Device: Cryothermal ablation","Ospedale San Raffaele Irccs, Milan, MI, Italy","https://ClinicalTrials.gov/show/NCT02336672"
8,"Study of the Safety and Efficacy of TH-302 in Combination With Gemcitabine Compared With Gemcitabine Alone in Previously Untreated Patients With Pancreatic Adenocarcinoma","Completed","Has Results","Pancreatic Adenocarcinoma","Drug: Gemzar (Gemcitabine)|Drug: TH-302","Birmingham Hematology and Oncology Associates, LLC, Birmingham, Alabama, United States|Mayo Clinic Arizona, Scottsdale, Arizona, United States|Arizona Oncology Associates, PC - HOPE, Tucson, Arizona, United States|University of Arizona, Tucson, Arizona, United States|Saint Edward Mercy Medical Center, Fort Smith, Arkansas, United States|Disney Family Cancer Center, Burbank, California, United States|Scripps Clinical Research Services, La Jolla, California, United States|UCLA Medical Center, Los Angeles, California, United States|Palo Alto Medical Foundation, Mountain View, California, United States|Los Palos Oncology and Hematology, Salinas, California, United States|Sharp Memorial Hospital, San Diego, California, United States|California Pacific Medical Center, San Francisco, California, United States|Rocky Mountain Cancer Centers, Denver, Colorado, United States|Hematology Oncology Associates, PC, Stamford, Connecticut, United States|Florida Cancer Institute - New Hope, New Port Richey, Florida, United States|Ocala Oncology Center, Ocala, Florida, United States|Martin Memorial Cancer Center, Stuart, Florida, United States|Atlanta Cancer Care, Atlanta, Georgia, United States|Loyola University Medical Center, Maywood, Illinois, United States|Carle Cancer Center, Urbana, Illinois, United States|Indiana University Melvin and Bren Simon Cancer, Indianapolis, Indiana, United States|Purchase Cancer Group, Paducah, Kentucky, United States|Medical Oncology, Baton Rouge, Louisiana, United States|Ochsner Cancer Institute, New Orleans, Louisiana, United States|LSU Health Sciences Center - Feist Weiller Cancer Center, Shreveport, Louisiana, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|University of Massachusetts Medical Center, Worcester, Massachusetts, United States|Virgina Piper Cancer Institute, Minneapolis, Minnesota, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Hematology and Oncology Associates at BridgePoint, Tupelo, Mississippi, United States|Missouri Cancer Associates, Columbia, Missouri, United States|Montana Cancer Institute Foundation, Missoula, Montana, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|New York Oncology Hematology, P.C., Hudson, New York, United States|Cancer Care of Western North Carolina, PA, Asheville, North Carolina, United States|Alamance Oncology Hematolgy Associates, Burlington, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Carolina Oncology Specialists, PA, Hickory, North Carolina, United States|Emerywood Hematology and Oncology, High Point, North Carolina, United States|Signal Point Clinical Research Center, Middletown, Ohio, United States|Kaiser Permanente Northwest Region Oncology Hematology, Portland, Oregon, United States|Northwest Cancer Specialists, P.C., Portland, Oregon, United States|Greater Philadelphia Cancer and Hematology Specialists, P.C., Philadelphia, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Institute for Translational Oncology Research (ITOR), Greenville, South Carolina, United States|Vanderbilt University Medical Center, Div. of Medical Oncology, Nashville, Tennessee, United States|Texas Oncology-Beaumont, Mamie McFaddin Ward Cancer Center, Beaumont, Texas, United States|Texas Oncology-Dallas Presbyterian Hospital, Dallas, Texas, United States|University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|Texas Oncology- Fort Worth - 12th Avenue, Fort Worth, Texas, United States|Texas Oncology-Seton Williamson, Round Rock, Texas, United States|Texas Oncology-Sherman, Sherman, Texas, United States|Texas Oncology-Wichita Falls Texoma Cancer Center, Wichita Falls, Texas, United States|Fairfax Northern Virginia Hematology Oncology, PC, Fairfax, Virginia, United States|Providence Everett Regional Medical Center, Cancer Research Dept., Everett, Washington, United States|Columbia Basin Hematology and Oncology0, Kennewick, Washington, United States|University of Wisconsin, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT01144455"
9,"Neoadjuvant Chemotherapy Response Assessment by Combined PET-MRI in Borderline and Locally Advanced Pancreatic Adenocarcinoma.","Unknown status","No Results Available","Pancreatic Adenocarcinoma","Device: PET/MRI","Pitié Salpetriere Hospital, Paris, France","https://ClinicalTrials.gov/show/NCT03202199"
10,"Study of FOLFIRINOX Electrochemotherapy in the Treatment of Pancreatic Adenocarcinoma","Withdrawn","No Results Available","Pancreatic Adenocarcinoma","Drug: FOLFIRINOX|Device: Electroporation",,"https://ClinicalTrials.gov/show/NCT02592395"
