"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa04540","Gap junction","25/77","994/20540",1.02218215561479e-14,2.57589903214927e-12,7.74706475834367e-13,"midostaurin/crizotinib/sunitinib/perphenazine/vortioxetine/promazine/tivozanib/nebivolol/cobimetinib/dacomitinib/thioridazine/neratinib/axitinib/regorafenib/tegaserod/ponatinib/salmeterol/bosutinib/nilotinib/dasatinib/amiodarone/vandetanib/imatinib/thiothixene/dronedarone",25,27.8862921781567
"2","hsa05206","MicroRNAs in cancer","27/77","1500/20540",2.01994169598538e-12,2.54512653694158e-10,7.65451590057618e-11,"cabozantinib/midostaurin/bortezomib/crizotinib/sunitinib/palbociclib/vorinostat/tivozanib/romidepsin/cobimetinib/dacomitinib/neratinib/belinostat/axitinib/regorafenib/mitoxantrone/ponatinib/tacrolimus/itraconazole/bosutinib/flucytosine/nilotinib/dasatinib/topotecan/vandetanib/imatinib/fulvestrant",27,23.2931402354619
"3","hsa04014","Ras signaling pathway","29/77","1836/20540",5.86094630455922e-12,4.92319489582974e-10,1.48066011904654e-10,"clobetasol/cabozantinib/midostaurin/bortezomib/crizotinib/sunitinib/prednicarbate/perphenazine/paroxetine/vortioxetine/tivozanib/cobimetinib/dacomitinib/thioridazine/atomoxetine/neratinib/axitinib/regorafenib/ponatinib/itraconazole/bosutinib/diflorasone/nilotinib/dasatinib/pimozide/riluzole/vandetanib/imatinib/trifluoperazine",29,22.6333629152218
"4","hsa05218","Melanoma","19/77","700/20540",8.19813265302981e-12,5.16482357140878e-10,1.55333039741617e-10,"cabozantinib/midostaurin/bortezomib/crizotinib/sunitinib/palbociclib/tivozanib/cobimetinib/dacomitinib/neratinib/axitinib/regorafenib/ponatinib/bosutinib/nilotinib/dasatinib/vandetanib/imatinib/fulvestrant",19,22.5854496605482
"5","hsa05214","Glioma","20/77","816/20540",1.32218501987414e-11,6.66381250016564e-10,2.00415413538816e-10,"midostaurin/bortezomib/sunitinib/palbociclib/perphenazine/tivozanib/cobimetinib/dacomitinib/neratinib/axitinib/regorafenib/ponatinib/bosutinib/nilotinib/dasatinib/pimozide/vandetanib/imatinib/trifluoperazine/fulvestrant",20,22.3306288358092
"6","hsa04630","JAK-STAT signaling pathway","19/77","880/20540",4.04970051783527e-10,1.70087421749081e-08,5.11541118042349e-09,"midostaurin/bortezomib/sunitinib/palbociclib/perphenazine/tivozanib/dacomitinib/neratinib/axitinib/regorafenib/mitoxantrone/ponatinib/tacrolimus/salmeterol/nilotinib/dasatinib/vandetanib/imatinib/fulvestrant",19,19.0910080535941
"7","hsa05224","Breast cancer","20/77","1048/20540",1.09783387759781e-09,3.95220195935211e-08,1.1886321682262e-08,"mometasone/midostaurin/bortezomib/sunitinib/palbociclib/tivozanib/cobimetinib/dacomitinib/neratinib/axitinib/regorafenib/ponatinib/bazedoxifene/bosutinib/nilotinib/dasatinib/lenalidomide/vandetanib/imatinib/fulvestrant",20,18.2478775364054
"8","hsa04261","Adrenergic signaling in cardiomyocytes","20/77","1089/20540",2.12652671002738e-09,6.69855913658626e-08,2.01460425160489e-08,"midostaurin/perphenazine/vortioxetine/promazine/nebivolol/thioridazine/regorafenib/salmeterol/bosutinib/nilotinib/dasatinib/pimozide/amiodarone/riluzole/amlodipine/benzonatate/trifluoperazine/dronedarone/ciclopirox/bumetanide",20,17.7202579690316
"9","hsa02010","ABC transporters","10/77","199/20540",3.62703655649749e-09,1.0155702358193e-07,3.05434657389262e-08,"romidepsin/mitoxantrone/tacrolimus/itraconazole/topotecan/amiodarone/imatinib/amlodipine/trifluoperazine/bumetanide",10,17.3041150616388
"10","hsa04015","Rap1 signaling pathway","23/77","1566/20540",7.27999821515399e-09,1.83455955021881e-07,5.51747233148513e-08,"cabozantinib/midostaurin/bortezomib/crizotinib/sunitinib/perphenazine/tivozanib/cobimetinib/dacomitinib/atomoxetine/neratinib/axitinib/regorafenib/ponatinib/itraconazole/bosutinib/nilotinib/dasatinib/pimozide/riluzole/vandetanib/imatinib/trifluoperazine",23,16.7127608994994
