"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","nutlin-3",NA,"A549","trt_cp","down",-0.649539962838361,1.52314645153224e-05,0.000120329764002986,-1.91444122671884,-0.768006792234269,47,49,NA,-99.9222012132672
"2","BRD-K41483742",NA,"A549","trt_cp","up",0.577676416453378,1.83647943584744e-05,0.000120329764002986,1.86017983245256,1.24632048774322,47,49,NA,99.9537146458678
"3","CEP-37440",NA,"A549","trt_cp","down",-0.623613887092391,1.63629447364606e-05,0.000120329764002986,-1.83802722435595,-1.44619383538521,47,49,NA,-99.6986528007563
"4","BRD-K95606637","3380841","A549","trt_cp","up",0.565191362629995,1.89305344690436e-05,0.000120329764002986,1.81997662410294,1.21781354126388,47,49,NA,99.9803041046246
"5","BRD-K00859168","895450","A549","trt_cp","up",0.559937219040086,1.91481268192624e-05,0.000120329764002986,1.803057719913,1.06767498197183,47,49,NA,99.9921216418498
"6","BRD-A18763547",NA,"A549","trt_cp","down",-0.610609248496964,1.69286848470297e-05,0.000120329764002986,-1.7996976100288,-1.29592497767191,47,49,NA,-99.4396517765698
"7","valproic-acid","3121","A549","trt_cp","up",0.552621895774295,1.94527561095689e-05,0.000120329764002986,1.77950159676288,0.812323101743009,47,49,"ABAT; ACADSB; ALDH5A1; HDAC1; HDAC2; HDAC9; OGDH; SCN10A; SCN11A; SCN1A; SCN1B; SCN2A; SCN2B; SCN3A; SCN3B; SCN4A; SCN4B; SCN5A; SCN7A; SCN8A; SCN9A",99.9881824627748
"8","rociletinib",NA,"A549","trt_cp","down",-0.601993557101452,1.73203510774238e-05,0.000120329764002986,-1.77430389178523,-1.44583669869978,47,49,NA,-99.2367840542031
"9","RG-7388",NA,"A549","trt_cp","down",-0.594966123983503,1.76249803677302e-05,0.000120329764002986,-1.75359137454423,-1.17726586946771,47,49,NA,-99.2840542031041
"10","BRD-K00540336","54666615","A549","trt_cp","down",-0.592962337841024,1.77120173078178e-05,0.000120329764002986,-1.74768545493933,-1.2460933883108,47,49,NA,-99.1914834948397
