"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LUAD"
"1","nutlin-3",NA,"A549","trt_cp","down",-0.649539962838361,1.52314645153224e-05,0.000120329764002986,-1.91444122671884,-0.768006792234269,47,49,NA,-99.9222012132672,FALSE,FALSE
"2","CEP-37440",NA,"A549","trt_cp","down",-0.623613887092391,1.63629447364606e-05,0.000120329764002986,-1.83802722435595,-1.44619383538521,47,49,NA,-99.6986528007563,FALSE,FALSE
"3","BRD-A18763547",NA,"A549","trt_cp","down",-0.610609248496964,1.69286848470297e-05,0.000120329764002986,-1.7996976100288,-1.29592497767191,47,49,NA,-99.4396517765698,FALSE,FALSE
"4","rociletinib",NA,"A549","trt_cp","down",-0.601993557101452,1.73203510774238e-05,0.000120329764002986,-1.77430389178523,-1.44583669869978,47,49,NA,-99.2367840542031,FALSE,FALSE
"5","RG-7388",NA,"A549","trt_cp","down",-0.594966123983503,1.76249803677302e-05,0.000120329764002986,-1.75359137454423,-1.17726586946771,47,49,NA,-99.2840542031041,FALSE,FALSE
"6","BRD-K00540336","54666615","A549","trt_cp","down",-0.592962337841024,1.77120173078178e-05,0.000120329764002986,-1.74768545493933,-1.2460933883108,47,49,NA,-99.1914834948397,FALSE,FALSE
"7","ingenol","5225086","A549","trt_cp","down",-0.591630522979486,1.77555357778615e-05,0.000120329764002986,-1.74376009018404,-0.9747005604083,47,49,"PRKCE",-99.5460096115969,FALSE,FALSE
"8","BMS-509744","23646672","A549","trt_cp","down",-0.580831467391962,1.82342389483431e-05,0.000120329764002986,-1.71193116754771,-1.26718035621645,47,49,"ITK",-99.1580004727015,FALSE,FALSE
"9","AT-7867",NA,"A549","trt_cp","down",-0.579398542435719,1.83212758884307e-05,0.000120329764002986,-1.70770779290108,-1.18348798586937,47,49,NA,-99.1786811628457,FALSE,FALSE
"10","BRD-K86899078","44506648","A549","trt_cp","down",-0.578898717869439,1.83212758884307e-05,0.000120329764002986,-1.70623461987007,-1.66415524010718,47,49,NA,-99.1973922634523,FALSE,FALSE
"11","BRD-K03829970","53338854","A549","trt_cp","down",-0.578332747895055,1.83647943584744e-05,0.000120329764002986,-1.70456649117279,-1.47975334242749,47,49,NA,-99.4741195934767,FALSE,FALSE
"12","BRD-K51556300","44506645","A549","trt_cp","down",-0.574004219673928,1.85388682386495e-05,0.000120329764002986,-1.69180867279109,-1.58361305992319,47,49,NA,-99.5863861971165,FALSE,FALSE
"13","VAMA-37","NotFound","A549","trt_cp","down",-0.571664449131357,1.86259051787371e-05,0.000120329764002986,-1.68491247941727,-1.39497719677947,47,49,"PRKDC",-99.7872843299456,FALSE,FALSE
"14","BRD-K23841751","2815616","A549","trt_cp","down",-0.569918884777706,1.87129421188247e-05,0.000120329764002986,-1.67976763760043,-0.972763756077135,47,49,NA,-98.8615772473017,FALSE,FALSE
"15","GR-127935","107780","A549","trt_cp","down",-0.568291312899879,1.87999790589122e-05,0.000120329764002986,-1.67497056447079,-1.5263518857674,47,49,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR6",-98.8074135350193,FALSE,FALSE
"16","AZD-8055","25262965","A549","trt_cp","down",-0.567881918031956,1.87999790589122e-05,0.000120329764002986,-1.67376392214237,-1.29231062010039,47,49,"MTOR",-98.6793902150792,FALSE,FALSE
"17","BRD-K54263226",NA,"A549","trt_cp","down",-0.567375300145434,1.8843497528956e-05,0.000120329764002986,-1.67227072661378,-0.945480905404622,47,49,NA,-98.804459150713,FALSE,FALSE
"18","BMS-754807","24785538","A549","trt_cp","down",-0.567228418965874,1.8843497528956e-05,0.000120329764002986,-1.67183781193313,-1.42942796572674,47,49,"AKT1; IGF1R",-98.6035610178839,FALSE,FALSE
"19","TPCA-1","9903786","A549","trt_cp","down",-0.566388036520267,1.88870159989998e-05,0.000120329764002986,-1.66936088535105,-1.2992263012227,47,49,"CDC42BPB; EPHB1; IKBKB; MAP3K9; NTRK3; NUAK1; RET; TNK2; TYK2",-98.697116520917,FALSE,FALSE
"20","pitavastatin","11251522","A549","trt_cp","down",-0.565923754903003,1.88870159989998e-05,0.000120329764002986,-1.66799247090429,-1.39706263665815,47,49,"APOA1; CYP2C8; HMGCR",-98.9955093358544,TRUE,FALSE
"21","BRD-K18726304","53338848","A549","trt_cp","down",-0.565861287002421,1.88870159989998e-05,0.000120329764002986,-1.66780835425087,-1.47383762907588,47,49,NA,-98.9393760340345,FALSE,FALSE
"22","AMG-232",NA,"A549","trt_cp","down",-0.565666220264928,1.88870159989998e-05,0.000120329764002986,-1.66723341841076,-0.837245413885582,47,49,NA,-98.547427716064,FALSE,FALSE
"23","mibefradil","5230270","A549","trt_cp","down",-0.563754855563977,1.89740529390873e-05,0.000120329764002986,-1.66159989993284,-1.31733194298386,47,49,"ANO1; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CYP3A5; CYP3A7; SCN2A; SCN4A; SCN5A; SCN9A",-98.9659654927913,FALSE,FALSE
"24","BRD-K40075475",NA,"A549","trt_cp","down",-0.561923792051309,1.90610898791749e-05,0.000120329764002986,-1.65620305958745,-1.48731107535469,47,49,NA,-99.2870085874104,FALSE,FALSE
"25","HMN-214","9888590","A549","trt_cp","down",-0.561692618030389,1.90610898791749e-05,0.000120329764002986,-1.65552170185503,-0.987844839424914,47,49,"PLK1",-98.7089340581423,FALSE,FALSE
"26","IKK-16","9549298","A549","trt_cp","down",-0.561643101855933,1.90610898791749e-05,0.000120329764002986,-1.65537575886277,-1.38106709069088,47,49,"IKBKB",-98.9856613881667,FALSE,FALSE
"27","wortmannin","312145","A549","trt_cp","down",-0.558998238502889,1.91916452893062e-05,0.000120329764002986,-1.64758034097966,-1.20339832922164,47,49,"ATM; ATR; MTOR; MYLK; PI4KA; PI4KB; PIK3C2B; PIK3C3; PIK3CA; PIK3CD; PIK3CG; PIK3R1; PIK3R4; PLK1; PLK2; PLK3; PRKDC",-98.5838651225085,FALSE,FALSE
"28","selamectin","9578507","A549","trt_cp","down",-0.558767935967235,1.91916452893062e-05,0.000120329764002986,-1.64690155184566,-1.19879025731205,47,49,NA,-99.0299771527614,FALSE,FALSE
"29","tacedinaline","2746","A549","trt_cp","down",-0.558737816471042,1.91916452893062e-05,0.000120329764002986,-1.64681277823889,-1.46232302492165,47,49,"HDAC1",-98.7089340581423,FALSE,FALSE
"30","BRD-K48853221",NA,"A549","trt_cp","down",-0.558693466577346,1.91916452893062e-05,0.000120329764002986,-1.64668206224026,-1.44154981563932,47,49,NA,-98.4676593397936,FALSE,FALSE
"31","SIB-1893","5311432","A549","trt_cp","down",-0.556645055060152,1.92786822293938e-05,0.000120329764002986,-1.64064461468944,0,47,49,"GRM4; GRM5",-98.5809107382021,FALSE,FALSE
"32","MLN-0128",NA,"A549","trt_cp","down",-0.556369391696751,1.93222006994376e-05,0.000120329764002986,-1.6398321299498,-1.21451061125165,47,49,NA,-98.5090207200819,FALSE,FALSE
"33","AVN-944",NA,"A549","trt_cp","down",-0.556318788935541,1.93222006994376e-05,0.000120329764002986,-1.63968298437325,-0.0400687441665385,47,49,NA,-99.4081383439691,FALSE,FALSE
"34","valrubicin",NA,"A549","trt_cp","down",-0.556037174832185,1.93222006994376e-05,0.000120329764002986,-1.63885296054049,-1.09669293213317,47,49,"TOP2A",-98.5543212794454,TRUE,FALSE
"35","AZD-9291",NA,"A549","trt_cp","down",-0.555674498038398,1.93222006994376e-05,0.000120329764002986,-1.63778401413884,-1.38414087167756,47,49,NA,-98.0166233356968,FALSE,FALSE
"36","mepacrine","237","A549","trt_cp","down",-0.55270682996858,1.94527561095689e-05,0.000120329764002986,-1.62903716802448,-1.31933037759779,47,49,"AKT1; MTOR; NFKB1; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G4A; PLA2G6; PLCL1; TP53",-98.9521783660285,FALSE,FALSE
"37","SA-247714","44507332","A549","trt_cp","down",-0.551405433758866,1.95397930496564e-05,0.000120329764002986,-1.62520145860133,-1.59879187593849,47,49,NA,-98.5621996375955,FALSE,FALSE
"38","BRD-K56196992","44507063","A549","trt_cp","down",-0.551304587662566,1.95397930496564e-05,0.000120329764002986,-1.62490422681367,-1.59597094445465,47,49,NA,-98.2913810761837,FALSE,FALSE
