"","...1","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1",5,"troglitazone","5591","A549","trt_cp","up",0.627714199430131,1.61888708562855e-05,0.00015113769774805,1.89423529241951,0,16,92,"ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2",99.9891672575435
"2",19,"BRD-K88217904","44499565","A549","trt_cp","down",-0.612369974629382,1.6885166376986e-05,0.00015113769774805,-1.78406687497582,-1.3392824766213,16,92,NA,-99.8837942172851
"3",31,"BRD-K51155404","56643195","A549","trt_cp","up",0.579490537445689,1.83212758884307e-05,0.00015113769774805,1.74871211874657,-0.864406922418359,16,92,NA,99.9281099818798
"4",67,"SA-247615","44507291","A549","trt_cp","down",-0.582339142309569,1.81907204782993e-05,0.00015113769774805,-1.69657562721802,-0.894130783311664,16,92,NA,-99.6740329315371
"5",78,"BRD-A70879086","6621039","A549","trt_cp","up",0.55921072494532,1.91916452893062e-05,0.00015113769774805,1.68751430516083,0,16,92,NA,99.87985503821
"6",83,"trimebutine","5388977","A549","trt_cp","up",0.557936208703962,1.923516375935e-05,0.00015113769774805,1.68366823373639,0,16,92,"CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CHRM1; CHRM4; KCNMA1; KCNMB1; KCNMB2; KCNMB3; KCNMB4; KCNN1; KCNN2; KCNN3; KCNN4; OPRM1",99.9537146458678
"7",90,"HTMT","124846","A549","trt_cp","up",0.556301404387307,1.93222006994376e-05,0.00015113769774805,1.67873493123086,-0.678730239547523,16,92,"HRH4",99.8532655794533
"8",105,"BRD-K56196992","44507063","A549","trt_cp","down",-0.572685144339465,1.85823867086933e-05,0.00015113769774805,-1.66844985570225,-1.19725265176311,16,92,NA,-98.6409832190972
"9",114,"BRD-K87081444",NA,"A549","trt_cp","down",-0.571138973543253,1.86694236487809e-05,0.00015113769774805,-1.66394527152134,-0.831707323272227,16,92,NA,-99.5952493500355
"10",123,"BRD-K91836367","44495549","A549","trt_cp","up",0.549802826039488,1.95833115197002e-05,0.00015113769774805,1.65912435611854,0.0165912435611858,16,92,NA,99.3687465532183
"11",129,"BRD-K20032655","25668960","A549","trt_cp","down",-0.567255737975562,1.8843497528956e-05,0.00015113769774805,-1.6526319279038,0,16,92,NA,-99.8690222957536
"12",135,"BRD-K25164076","54649311","A549","trt_cp","up",0.54642456871089,1.97573853998753e-05,0.00015113769774805,1.64892988502881,0.579913304968964,16,92,NA,99.8375088631529
"13",143,"vitexin","6713958","A549","trt_cp","up",0.544178901492954,1.98444223399629e-05,0.00015113769774805,1.64215319891416,0.0283728267455333,16,92,NA,99.9428819034113
"14",175,"cladribine","20279","A549","trt_cp","down",-0.559036734318524,1.91916452893062e-05,0.00015113769774805,-1.6286868411469,-0.929316523740059,16,92,"ADA; APAF1; DCK; DGUOK; PNP; POLA1; POLE; POLE2; POLE3; POLE4; RRM1; RRM2; RRM2B",-99.8483416056094
"15",194,"bithionol","2406","A549","trt_cp","down",-0.555950043055182,1.93222006994376e-05,0.00015113769774805,-1.61969413434487,-0.769403583084777,16,92,"ESR1; ESR2; GLUD1; GLUD2; MCL1",-99.8306152997715
"16",247,"prima-1-met","73707386","A549","trt_cp","down",-0.551116206545383,1.95397930496564e-05,0.00015113769774805,-1.60561132827424,0.582279856925026,16,92,"TP53",-99.8375088631529
"17",253,"BRD-K52341396","7217947","A549","trt_cp","up",0.530998491457056,2.0410162450532e-05,0.00015113769774805,1.6023790502949,1.45731209171539,16,92,NA,99.5391160482155
"18",269,"BRD-A25416824","2825553","A549","trt_cp","up",0.529079734577436,2.04971993906196e-05,0.00015113769774805,1.59658887221346,0.586916922064879,16,92,NA,99.8178129677775
"19",274,"BRD-K96621343","44142162","A549","trt_cp","down",-0.547654564533307,1.96703484597878e-05,0.00015113769774805,-1.59552624719151,-0.0159552624719151,16,92,NA,-99.648428267549
"20",285,"BRD-K48407125",NA,"A549","trt_cp","up",0.526958559949172,2.05842363307071e-05,0.00015113769774805,1.59018786384709,0.786165949731164,16,92,NA,99.657291420468
"21",294,"BRD-K76935234","53338843","A549","trt_cp","up",0.525839752914617,2.06277548007509e-05,0.00015113769774805,1.58681167166888,-0.948659397879585,16,92,NA,99.4701804144016
"22",319,"BRD-K63399564","44491148","A549","trt_cp","down",-0.543068111091292,1.98879408100067e-05,0.00015113769774805,-1.58216416217996,-0.99869510819039,16,92,NA,-99.6809264949185
"23",325,"BRD-K83929831","44492440","A549","trt_cp","up",0.523778222350837,2.07147917408385e-05,0.00015113769774805,1.5805906495001,0.743441265113447,16,92,NA,99.2879933821792
"24",339,"RU-28318","3034004","A549","trt_cp","down",-0.541027552036655,1.99749777500942e-05,0.00015113769774805,-1.57621923678088,-0.837408387141247,16,92,"NR3C2",-99.6986528007563
"25",361,"SKF-86002","5228","A549","trt_cp","down",-0.539126541216879,2.00620146901818e-05,0.00015113769774805,-1.57068086851815,-0.0225070263396603,16,92,"ALOX5; MAPK14",-99.0595209958245
"26",370,"BRD-K56392985","23760109","A549","trt_cp","up",0.519473427516951,2.09323840910573e-05,0.00015113769774805,1.56760019252402,0,16,92,NA,99.5410856377531
"27",376,"BRD-K33586157","4064091","A549","trt_cp","down",-0.537390437290681,2.01490516302693e-05,0.00015113769774805,-1.56562293681907,-0.857748412673621,16,92,NA,-98.573032380052
