"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LUAD"
"1","BRD-K88217904","44499565","A549","trt_cp","down",-0.612369974629382,1.6885166376986e-05,0.000151137697748057,-1.78406687497582,-1.3392824766213,16,92,NA,-99.8837942172851,FALSE,FALSE
"2","SA-247615","44507291","A549","trt_cp","down",-0.582339142309569,1.81907204782993e-05,0.000151137697748057,-1.69657562721802,-0.894130783311664,16,92,NA,-99.6740329315371,FALSE,FALSE
"3","BRD-K56196992","44507063","A549","trt_cp","down",-0.572685144339465,1.85823867086933e-05,0.000151137697748057,-1.66844985570225,-1.19725265176311,16,92,NA,-98.6409832190972,FALSE,FALSE
"4","BRD-K87081444",NA,"A549","trt_cp","down",-0.571138973543253,1.86694236487809e-05,0.000151137697748057,-1.66394527152134,-0.831707323272227,16,92,NA,-99.5952493500355,FALSE,FALSE
"5","BRD-K20032655","25668960","A549","trt_cp","down",-0.567255737975562,1.8843497528956e-05,0.000151137697748057,-1.6526319279038,0,16,92,NA,-99.8690222957536,FALSE,FALSE
"6","cladribine","20279","A549","trt_cp","down",-0.559036734318524,1.91916452893062e-05,0.000151137697748057,-1.6286868411469,-0.929316523740059,16,92,"ADA; APAF1; DCK; DGUOK; PNP; POLA1; POLE; POLE2; POLE3; POLE4; RRM1; RRM2; RRM2B",-99.8483416056094,TRUE,FALSE
"7","bithionol","2406","A549","trt_cp","down",-0.555950043055182,1.93222006994376e-05,0.000151137697748057,-1.61969413434487,-0.769403583084777,16,92,"ESR1; ESR2; GLUD1; GLUD2; MCL1",-99.8306152997715,FALSE,FALSE
"8","prima-1-met","73707386","A549","trt_cp","down",-0.551116206545383,1.95397930496564e-05,0.000151137697748057,-1.60561132827424,0.582279856925026,16,92,"TP53",-99.8375088631529,FALSE,FALSE
"9","BRD-K96621343","44142162","A549","trt_cp","down",-0.547654564533307,1.96703484597878e-05,0.000151137697748057,-1.59552624719151,-0.0159552624719151,16,92,NA,-99.648428267549,FALSE,FALSE
"10","BRD-K63399564","44491148","A549","trt_cp","down",-0.543068111091292,1.98879408100067e-05,0.000151137697748057,-1.58216416217996,-0.99869510819039,16,92,NA,-99.6809264949185,FALSE,FALSE
