"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa04726","Serotonergic synapse","24/82","1377/20540",4.16409089479642e-10,1.15345317785861e-07,6.31188514579668e-08,"miconazole/duloxetine/ibuprofen/tamoxifen/selumetinib/dolasetron/primidone/rizatriptan/phenelzine/vardenafil/pseudoephedrine/ifosfamide/olanzapine/brinzolamide/celecoxib/ephedrine/asenapine/granisetron/escitalopram/amisulpride/clomipramine/nilotinib/pioglitazone/perphenazine",24,16.5782463567409
"2","hsa04750","Inflammatory mediator regulation of TRP channels","22/82","1195/20540",9.75673086549455e-10,1.351307224871e-07,7.39457497174324e-08,"ibuprofen/tamoxifen/riluzole/ramipril/pheniramine/molindone/pseudoephedrine/olanzapine/levocetirizine/alprostadil/asenapine/loratadine/auranofin/escitalopram/ketotifen/bortezomib/clomipramine/nilotinib/icosapent/olopatadine/perphenazine/pimozide",22,16.4199341245268
"3","hsa00982","Drug metabolism - cytochrome P450","18/82","853/20540",5.39975059762029e-09,4.9857697184694e-07,2.72829503879762e-07,"erythromycin/ibuprofen/tamoxifen/itraconazole/phenelzine/phenylbutyrate/vardenafil/ifosfamide/olanzapine/brinzolamide/rifabutin/celecoxib/loratadine/granisetron/nilotinib/dacarbazine/pioglitazone/perphenazine",18,15.1144187647732
"4","hsa00591","Linoleic acid metabolism","13/82","443/20540",2.11813606068544e-08,1.46680922202467e-06,8.02662086154483e-07,"erythromycin/ibuprofen/tamoxifen/diflorasone/clobetasol/vardenafil/ifosfamide/olanzapine/brinzolamide/rifabutin/celecoxib/nilotinib/dacarbazine",13,14.0353320258203
"5","hsa05012","Parkinson disease","20/82","1257/20540",7.5701672966684e-08,4.19387268235429e-06,2.29495598046368e-06,"cladribine/duloxetine/cabazitaxel/phenelzine/pseudoephedrine/olanzapine/celecoxib/ephedrine/asenapine/escitalopram/mebendazole/bortezomib/regadenoson/clomipramine/ixazomib/colchicine/pioglitazone/perphenazine/carfilzomib/pimozide",20,12.9847968952616
"6","hsa00830","Retinol metabolism","15/82","732/20540",1.78261724292192e-07,7.05407108984815e-06,3.86010350347001e-06,"erythromycin/ibuprofen/tamoxifen/itraconazole/phenylbutyrate/vardenafil/ifosfamide/olanzapine/brinzolamide/rifabutin/celecoxib/loratadine/granisetron/nilotinib/perphenazine",15,12.4648165604766
"7","hsa05204","Chemical carcinogenesis - DNA adducts","15/82","732/20540",1.78261724292192e-07,7.05407108984815e-06,3.86010350347001e-06,"erythromycin/ibuprofen/tamoxifen/itraconazole/phenylbutyrate/vardenafil/ifosfamide/olanzapine/brinzolamide/rifabutin/celecoxib/loratadine/granisetron/nilotinib/dacarbazine",15,12.4648165604766
"8","hsa05031","Amphetamine addiction","16/82","916/20540",5.63979575240588e-07,1.95277927927054e-05,1.06859287940322e-05,"duloxetine/vorinostat/tamoxifen/phenelzine/phenylbutyrate/pseudoephedrine/olanzapine/ephedrine/asenapine/escitalopram/belinostat/bortezomib/clomipramine/pioglitazone/perphenazine/pimozide",16,11.4465827479328
"9","hsa05034","Alcoholism","17/82","1131/20540",1.88816630780624e-06,5.81135630291477e-05,3.1800695710421e-05,"duloxetine/vorinostat/selumetinib/riluzole/phenelzine/phenylbutyrate/pseudoephedrine/olanzapine/ephedrine/asenapine/escitalopram/belinostat/regadenoson/clomipramine/pioglitazone/perphenazine/pimozide",17,10.3560223907313
"10","hsa05014","Amyotrophic lateral sclerosis","17/82","1174/20540",3.12784881405261e-06,8.66414121492573e-05,4.74116030761659e-05,"cladribine/miconazole/cabazitaxel/vorinostat/ibuprofen/hydrocortisone/pseudoephedrine/celecoxib/ephedrine/belinostat/mebendazole/bortezomib/nilotinib/ixazomib/colchicine/pioglitazone/carfilzomib",17,9.95664356858317
"11","hsa05030","Cocaine addiction","12/82","617/20540",5.89712383346973e-06,0.000148500300170101,8.12618021071426e-05,"duloxetine/riluzole/phenelzine/pseudoephedrine/olanzapine/ephedrine/asenapine/escitalopram/bortezomib/clomipramine/pioglitazone/perphenazine",12,9.41783449059987
"12","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/82","869/20540",8.00592866573311e-06,0.000184803520034006,0.000101127519988208,"erythromycin/ibuprofen/tamoxifen/itraconazole/phenylbutyrate/vardenafil/ifosfamide/brinzolamide/rifabutin/celecoxib/loratadine/granisetron/nilotinib/dacarbazine",14,9.19912826335882
"13","hsa02010","ABC transporters","7/82","199/20540",1.48314925665916e-05,0.000304272612796265,0.000166502968811181,"erythromycin/ibuprofen/tamoxifen/itraconazole/celecoxib/colchicine/daunorubicin",7,8.70049741800496
"14","hsa05016","Huntington disease","16/82","1185/20540",1.53783992026993e-05,0.000304272612796265,0.000166502968811181,"cladribine/cabazitaxel/vorinostat/ibuprofen/riluzole/phenylbutyrate/celecoxib/belinostat/mebendazole/bortezomib/dactinomycin/ixazomib/colchicine/pioglitazone/icosapent/carfilzomib",16,8.70049741800496
"15","hsa01523","Antifolate resistance","10/82","484/20540",2.25553567656331e-05,0.000416522254938692,0.000227927815736924,"tamoxifen/pseudoephedrine/methylprednisolone/celecoxib/ephedrine/auranofin/bortezomib/colchicine/pioglitazone/daunorubicin",10,8.38648157678252
"16","hsa05169","Epstein-Barr virus infection","17/82","1405/20540",3.27787131264346e-05,0.0005674814710014,0.000310535176987275,"cladribine/vorinostat/ibuprofen/tamoxifen/phenylbutyrate/pseudoephedrine/methylprednisolone/celecoxib/ephedrine/loratadine/auranofin/belinostat/palbociclib/bortezomib/nilotinib/pioglitazone/olopatadine",17,8.07721337158333
"17","hsa04924","Renin secretion","12/82","740/20540",3.58757889350719e-05,0.000584564325589113,0.000319883195458227,"miconazole/nadolol/ramipril/pseudoephedrine/olanzapine/alprostadil/ephedrine/asenapine/riociguat/candesartan/perphenazine/pimozide",12,8.04755464299744
"18","hsa05202","Transcriptional misregulation in cancer","14/82","1001/20540",3.86338690560754e-05,0.000594532318251826,0.00032533784468274,"vorinostat/ibuprofen/tamoxifen/phenylbutyrate/pseudoephedrine/methylprednisolone/levocetirizine/allopurinol/rifabutin/ephedrine/belinostat/bortezomib/pioglitazone/icosapent",14,8.03064639346275
