"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","lerisetron",NA,"YAPC","trt_cp","up",0.510533424683883,2.12805318514076e-05,0.000243510757536979,1.65533465581928,0.921819222539401,25,95,NA,99.8207673520838
"2","bevirimat-dimeglumine",NA,"YAPC","trt_cp","up",0.506085779504253,2.14981242016265e-05,0.000243510757536979,1.64091377591864,0,25,95,NA,99.8434176317655
"3","rifaximin","57507834","YAPC","trt_cp","up",0.488094085711917,2.22814566624145e-05,0.000243510757536979,1.58257817473879,0.872616648914554,25,95,"CYP3A4; NR1I2",99.3175372252423
"4","ritonavir","5076","YAPC","trt_cp","up",0.482885943130445,2.24990490126334e-05,0.000243510757536979,1.56569148624646,0,25,95,"CYP1A2; CYP2B6; CYP3A4; CYP3A5; CYP3A7; NR1I2",99.0673993539746
"5","quinine","3034034","YAPC","trt_cp","down",-0.481602715506595,2.25425674826771e-05,0.000243510757536979,-1.55850130357286,0.755812855223959,25,95,"ABCB1; CYP2D6; GP9; KCNB2; KCNN4; SLC29A4",-99.7409989758134
"6","AZ-20",NA,"YAPC","trt_cp","down",-0.480933423324256,2.25860859527209e-05,0.000243510757536979,-1.55633542554713,0.0486054224067112,25,95,NA,-98.4194043961238
"7","eflornithine",NA,"YAPC","trt_cp","up",0.476638643512512,2.2760159832896e-05,0.000243510757536979,1.54543547349028,0,25,95,"ODC1",99.2259513117466
"8","ciglitazone","2750","YAPC","trt_cp","up",0.469291886910828,2.31083075932463e-05,0.000243510757536979,1.52161462215588,0,25,95,"INS; PPARG",99.2377688489719
"9","meglitinide",NA,"YAPC","trt_cp","down",-0.46367502607724,2.33258999434652e-05,0.000243510757536979,-1.50048600082211,-0.243063404075131,25,95,NA,-99.1619396517766
"10","TAS-103",NA,"YAPC","trt_cp","down",-0.460694172513147,2.34564553535965e-05,0.000243510757536979,-1.49083974257684,-0.958838550949205,25,95,"TOP1",-98.4233435751989
"11","mycophenolate-mofetil","5281078","YAPC","trt_cp","down",-0.460653501220789,2.34564553535965e-05,0.000243510757536979,-1.4907081273261,0,25,95,"HCAR2; IMPDH1; IMPDH2",-99.6671393681557
"12","lorcaserin",NA,"YAPC","trt_cp","up",0.458607289959006,2.3543492293684e-05,0.000243510757536979,1.4869712809706,0.271165416613619,25,95,NA,99.0161900259986
"13","ticagrelor",NA,"YAPC","trt_cp","down",-0.458956186801709,2.3543492293684e-05,0.000243510757536979,-1.48521549481067,-0.0277436899945073,25,95,"P2RY1; P2RY12",-99.3736705270622
"14","tetrindole","160019","YAPC","trt_cp","up",0.457224999698324,2.36305292337716e-05,0.000243510757536979,1.48248939425706,0.729176422080714,25,95,"MAOA",98.0865437642795
"15","topiroxostat",NA,"YAPC","trt_cp","up",0.456690767568459,2.36305292337716e-05,0.000243510757536979,1.48075721979784,0,25,95,"AOX1",98.9226345229654
