"","X","Var1","Var2","log_fold_change","Sensitive"
"545",9100,"PATU8988S","bupivacaine",0.245236549084,TRUE
"546",9101,"PATU8988T","bupivacaine",-0.0143765454228,TRUE
"547",9109,"PANC0203","bupivacaine",0.365011214536,FALSE
"548",9116,"PANC1005","bupivacaine",0.0791927011004,TRUE
"549",9122,"T3M4","bupivacaine",0.136110286881,TRUE
"550",9128,"PANC0504","bupivacaine",NA,NA
"551",9134,"CAPAN2","bupivacaine",0.15507890658,TRUE
"552",9136,"SU8686","bupivacaine",0.824799735502,FALSE
"553",9139,"HUPT3","bupivacaine",0.0640253209831,TRUE
"554",9145,"CFPAC1","bupivacaine",0.170538798987,TRUE
"555",9146,"PANC0327","bupivacaine",-0.362759593278,TRUE
"556",9152,"SW1990","bupivacaine",-0.507625982295,TRUE
"557",9156,"PANC1","bupivacaine",0.345704951346,FALSE
"558",9162,"HS766T","bupivacaine",0.293976674595,TRUE
"559",9171,"PK59","bupivacaine",-0.230594836887,TRUE
"560",9177,"HUPT4","bupivacaine",-0.333673682617,TRUE
"561",9181,"ASPC1","bupivacaine",0.0262373832296,TRUE
"562",9188,"PANC0403","bupivacaine",0.523233234132,FALSE
"563",9191,"DANG","bupivacaine",0.00503436765469,TRUE
"564",9202,"KP4","bupivacaine",0.417082623036,FALSE
"565",9203,"SNU213","bupivacaine",-0.206691863948,TRUE
"566",9206,"HPAC","bupivacaine",0.277069700992,TRUE
"567",9214,"KP2","bupivacaine",0.542478767778,FALSE
"568",9222,"PK1","bupivacaine",0.197952701717,TRUE
"569",9231,"PSN1","bupivacaine",0.310101278661,FALSE
"570",9238,"YAPC","bupivacaine",0.093288817417,TRUE
"571",9279,"PANC0813","bupivacaine",-0.571080802643,TRUE
"572",9311,"PK45H","bupivacaine",-0.0831882592615,TRUE
"573",9335,"TCCPAN2","bupivacaine",0.267750768738,TRUE
"574",9342,"SNU410","bupivacaine",0.21363837959,TRUE
"575",9351,"BXPC3","bupivacaine",0.238027334043,TRUE
"576",9384,"PATU8902","bupivacaine",-0.136751439161,TRUE
"577",9385,"MIAPACA2","bupivacaine",0.195745533839,TRUE
"578",9416,"SUIT2","bupivacaine",-0.139944783803,TRUE
"4829",80668,"PATU8988S","norgestrel",-0.804342747947,TRUE
"4830",80669,"PATU8988T","norgestrel",-0.537172561904,TRUE
"4831",80677,"PANC0203","norgestrel",-0.382772156957,TRUE
"4832",80684,"PANC1005","norgestrel",-0.118313095751,TRUE
"4833",80690,"T3M4","norgestrel",0.596227794161,FALSE
"4834",80696,"PANC0504","norgestrel",NA,NA
"4835",80702,"CAPAN2","norgestrel",-0.179739423034,TRUE
"4836",80704,"SU8686","norgestrel",-2.03716074034,TRUE
"4837",80707,"HUPT3","norgestrel",0.133386466349,TRUE
"4838",80713,"CFPAC1","norgestrel",-0.25106998173,TRUE
"4839",80714,"PANC0327","norgestrel",NA,NA
"4840",80720,"SW1990","norgestrel",-0.261557293529,TRUE
"4841",80724,"PANC1","norgestrel",-0.072148975364,TRUE
"4842",80730,"HS766T","norgestrel",-0.166757445456,TRUE
"4843",80739,"PK59","norgestrel",-0.389097641794,TRUE
"4844",80745,"HUPT4","norgestrel",0.235993942655,TRUE
"4845",80749,"ASPC1","norgestrel",-0.67686049713,TRUE
"4846",80756,"PANC0403","norgestrel",-0.131215218944,TRUE
"4847",80759,"DANG","norgestrel",-0.793237112137,TRUE
"4848",80770,"KP4","norgestrel",0.0510056682335,TRUE
"4849",80771,"SNU213","norgestrel",0.24468039161,TRUE
"4850",80774,"HPAC","norgestrel",-0.362694959999,TRUE
"4851",80782,"KP2","norgestrel",-0.531963159468,TRUE
"4852",80790,"PK1","norgestrel",-0.19121138526,TRUE
"4853",80799,"PSN1","norgestrel",-0.763229653099,TRUE
"4854",80806,"YAPC","norgestrel",0.0211502160681,TRUE
"4855",80847,"PANC0813","norgestrel",-0.130585950598,TRUE
"4856",80879,"PK45H","norgestrel",0.0246163589574,TRUE
"4857",80903,"TCCPAN2","norgestrel",-0.1025030817,TRUE
"4858",80910,"SNU410","norgestrel",-0.498174463628,TRUE
"4859",80919,"BXPC3","norgestrel",0.173631346078,TRUE
"4860",80952,"PATU8902","norgestrel",-0.0381584102564,TRUE
"4861",80953,"MIAPACA2","norgestrel",0.271337979415,TRUE
"4862",80984,"SUIT2","norgestrel",0.358181032558,FALSE
"5713",95436,"PATU8988S","ibuprofen",-0.281154808559,TRUE
"5714",95437,"PATU8988T","ibuprofen",-0.0437046822909,TRUE
