"","...1","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1",23,"lerisetron",NA,"YAPC","trt_cp","up",0.550402276970237,1.95833115197002e-05,0.00021692964302262,1.7716496562558,0.994901324082242,24,97,NA,99.9546994406366
"2",125,"eflornithine",NA,"YAPC","trt_cp","up",0.510541384595976,2.12805318514076e-05,0.00021692964302262,1.64334434352773,0,24,97,"ODC1",99.8227369416214
"3",167,"phentermine","4771","YAPC","trt_cp","up",0.504255779610974,2.1585161141714e-05,0.00021692964302262,1.62311206910412,0.0478058611035848,24,97,"MAOA; MAOB; SLC6A2; SLC6A3; SLC6A4",99.5469944063657
"4",195,"meglitinide",NA,"YAPC","trt_cp","down",-0.505876178467498,2.14981242016265e-05,0.00021692964302262,-1.61365300959566,-0.30583981231392,24,97,NA,-99.7853147404081
"5",235,"bevirimat-dimeglumine",NA,"YAPC","trt_cp","up",0.496228193754085,2.19333089020643e-05,0.00021692964302262,1.59727265978662,0,24,97,NA,99.7016071850626
"6",281,"rifaximin","57507834","YAPC","trt_cp","up",0.491786641051138,2.21073827822394e-05,0.00021692964302262,1.58297607045793,0.881119325927491,24,97,"CYP3A4; NR1I2",99.3175372252423
"7",460,"repaglinide","65981","YAPC","trt_cp","up",0.478994344986677,2.26731228928085e-05,0.00021692964302262,1.54179988374214,1.04468465226187,24,97,"ABCC8; CYP2C8; CYP3A5; INS; KCNJ1; KCNJ11; PPARG; SLCO1B1",99.314582840936
"8",550,"GSK-2334470",NA,"YAPC","trt_cp","down",-0.478644898032867,2.26731228928085e-05,0.00021692964302262,-1.52679017734766,0,24,97,NA,-98.9433152131096
"9",559,"miltefosine",NA,"YAPC","trt_cp","up",0.47398111672214,2.28907152430274e-05,0.00021692964302262,1.52566316973635,1.10304685664767,24,97,"ABCB1; PLA2G1B",99.3165524304735
"10",579,"ciglitazone","2750","YAPC","trt_cp","up",0.472667482231503,2.29342337130712e-05,0.00021692964302262,1.52143480769797,0,24,97,"INS; PPARG",99.2377688489719
"11",611,"MEK-162",NA,"YAPC","trt_cp","up",0.471319859333137,2.30212706531587e-05,0.00021692964302262,1.51709704285841,1.09240171470117,24,97,NA,97.8541321988498
"12",619,"ritonavir","5076","YAPC","trt_cp","up",0.470963302570613,2.30212706531587e-05,0.00021692964302262,1.51594934835896,0,24,97,"CYP1A2; CYP2B6; CYP3A4; CYP3A5; CYP3A7; NR1I2",98.6321200661782
"13",647,"quinine","3034034","YAPC","trt_cp","down",-0.474011766382201,2.28907152430274e-05,0.00021692964302262,-1.51201132997319,0.597174417472006,24,97,"ABCB1; CYP2D6; GP9; KCNB2; KCNN4; SLC29A4",-99.5410856377531
"14",692,"MK-3207",NA,"YAPC","trt_cp","up",0.467732663451498,2.315182606329e-05,0.00021692964302262,1.5055504802504,-0.25596977638392,24,97,"CALCA",99.2436776175845
"15",708,"metergoline","28693","YAPC","trt_cp","up",0.467062980462192,2.31953445333338e-05,0.00021692964302262,1.50339488662834,0.805968322349532,24,97,"HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR6; HTR7; SCN2A",97.7979988970299
"16",765,"tetrindole","160019","YAPC","trt_cp","up",0.464991657378,2.32823814734214e-05,0.00021692964302262,1.49672765616138,0.0918291958131644,24,97,"MAOA",98.2057039313007
"17",782,"topiroxostat",NA,"YAPC","trt_cp","up",0.464270720258668,2.33258999434652e-05,0.00021692964302262,1.49440708436673,0,24,97,"AOX1",99.0043724887733
"18",813,"rilmenidine","5388964","YAPC","trt_cp","down",-0.467683740848227,2.315182606329e-05,0.00021692964302262,-1.49182607934797,0,24,97,"NISCH",-99.0526274324431
"19",848,"TAS-103",NA,"YAPC","trt_cp","down",-0.466193987179383,2.32388630033776e-05,0.00021692964302262,-1.48707403607412,-0.948078536281542,24,97,"TOP1",-98.328803277397
"20",1147,"MBX-2982",NA,"YAPC","trt_cp","up",0.452140150006795,2.38481215839905e-05,0.00021692964302262,1.45536087849851,0.906951269513674,24,97,"HCAR3",99.1008823761128
"21",1197,"lorcaserin",NA,"YAPC","trt_cp","up",0.450841446689987,2.38916400540343e-05,0.00021692964302262,1.45118057732413,0,24,97,NA,98.693177341842
"22",1318,"ALW-II-38-3","24880028","YAPC","trt_cp","down",-0.451861101167956,2.38481215839905e-05,0.00021692964302262,-1.44135473630674,0.0655411799050951,24,97,"DDR1; EPHA2; EPHA4; EPHB2; EPHB4; EPHB6",-95.8845426613094
"23",1361,"AVN-944",NA,"YAPC","trt_cp","down",-0.450523902932334,2.38916400540343e-05,0.00021692964302262,-1.43708931712082,0,24,97,NA,-99.404199164894
"24",1394,"KI-20227",NA,"YAPC","trt_cp","down",-0.449732506240849,2.39351585240781e-05,0.00021692964302262,-1.43456490560006,0,24,97,NA,-98.0540455369101
"25",1535,"phenylbutazone","4781","YAPC","trt_cp","up",0.442788757846588,2.42397878143845e-05,0.00021692964302262,1.42526036583831,-0.295851835268249,24,97,"CYP2C9; PTGIS; PTGR2",97.5064996454739
"26",1584,"mycophenolate-mofetil","5281078","YAPC","trt_cp","down",-0.445907241160785,2.41092324042532e-05,0.00021692964302262,-1.42236300566549,0,24,97,"HCAR2; IMPDH1; IMPDH2",-99.2820846135665
"27",1645,"JNJ-26481585","11538455","YAPC","trt_cp","down",-0.444645257234297,2.41527508742969e-05,0.00021692964302262,-1.41833750644706,-0.660095609377216,24,97,NA,-97.3617348144647
"28",1688,"MC1568",NA,"YAPC","trt_cp","up",0.439616098566277,2.43703432245158e-05,0.00021692964302262,1.41504812479469,0,24,97,NA,95.1134483573623
"29",1695,"veliparib","11960528","YAPC","trt_cp","down",-0.443486702235985,2.42397878143845e-05,0.00021692964302262,-1.41464192669972,0,24,97,"PARP1; PARP2",-94.780587725518
"30",1721,"ticagrelor",NA,"YAPC","trt_cp","down",-0.44282423828948,2.42397878143845e-05,0.00021692964302262,-1.41252878718747,-0.0291529710003705,24,97,"P2RY1; P2RY12",-98.5139446939258
"31",1799,"AZ-20",NA,"YAPC","trt_cp","down",-0.441337217781327,2.43268247544721e-05,0.00021692964302262,-1.40778546219917,0.0488259947085024,24,97,NA,-95.9150712991413
