"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0031175","GO:0031175",1,"GO:0007399",0.445,135,135,"neuron projection development","nervous system development",TRUE,FALSE,TRUE
"GO:0000902","GO:0000902",1,"GO:0007399",0.361,82,82,"cell morphogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0048812","GO:0048812",1,"GO:0007399",0.37,71,71,"neuron projection morphogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0120039","GO:0120039",1,"GO:0007399",0.189,0,0,"plasma membrane bounded cell projection morphogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0048858","GO:0048858",1,"GO:0007399",0.199,3,3,"cell projection morphogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0032990","GO:0032990",1,"GO:0007399",0.238,1,1,"cell part morphogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0048667","GO:0048667",1,"GO:0007399",0.455,8,8,"cell morphogenesis involved in neuron differentiation","nervous system development",TRUE,FALSE,FALSE
"GO:0048666","GO:0048666",1,"GO:0007399",0.537,55,55,"neuron development","nervous system development",TRUE,FALSE,TRUE
"GO:0007399","GO:0007399",1,"GO:0007399",1,335,335,"nervous system development","nervous system development",TRUE,TRUE,TRUE
"GO:0032989","GO:0032989",1,"GO:0007399",0.266,0,0,"cellular component morphogenesis","nervous system development",TRUE,FALSE,TRUE
"GO:0030182","GO:0030182",1,"GO:0007399",0.584,170,170,"neuron differentiation","nervous system development",TRUE,FALSE,TRUE
"GO:0007409","GO:0007409",1,"GO:0007399",0.33,83,83,"axonogenesis","nervous system development",TRUE,FALSE,FALSE
"GO:0048699","GO:0048699",1,"GO:0007399",0.665,8,8,"generation of neurons","nervous system development",TRUE,FALSE,TRUE
"GO:0022008","GO:0022008",1,"GO:0007399",0.713,45,45,"neurogenesis","nervous system development",TRUE,FALSE,TRUE
"GO:0000904","GO:0000904",1,"GO:0007399",0.241,2,2,"cell morphogenesis involved in differentiation","nervous system development",TRUE,FALSE,FALSE
"GO:0120036","GO:0120036",4,"GO:0042391",0.093,1,1,"plasma membrane bounded cell projection organization","regulation of membrane potential",TRUE,FALSE,TRUE
"GO:0061564","GO:0061564",1,"GO:0007399",0.461,19,19,"axon development","nervous system development",TRUE,FALSE,FALSE
"GO:0030030","GO:0030030",4,"GO:0042391",0.11,42,42,"cell projection organization","regulation of membrane potential",TRUE,FALSE,TRUE
"GO:0048167","GO:0048167",2,"GO:0007268",0.566,52,52,"regulation of synaptic plasticity","chemical synaptic transmission",TRUE,FALSE,TRUE
"GO:0098916","GO:0098916",2,"GO:0007268",0.851,0,0,"anterograde trans-synaptic signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0007268","GO:0007268",2,"GO:0007268",1,252,252,"chemical synaptic transmission","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0099537","GO:0099537",2,"GO:0007268",0.746,0,0,"trans-synaptic signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0099536","GO:0099536",2,"GO:0007268",0.674,5,5,"synaptic signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0051641","GO:0051641",4,"GO:0042391",0.154,1,1,"cellular localization","regulation of membrane potential",TRUE,FALSE,TRUE
"GO:0051179","GO:0051179",3,"GO:0055085",0.467,0,0,"localization","transmembrane transport",TRUE,TRUE,TRUE
"GO:0048468","GO:0048468",1,"GO:0007399",0.325,21,21,"cell development","nervous system development",TRUE,FALSE,TRUE
"GO:0050804","GO:0050804",2,"GO:0007268",0.653,65,65,"modulation of chemical synaptic transmission","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0099177","GO:0099177",2,"GO:0007268",0.472,0,0,"regulation of trans-synaptic signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0006810","GO:0006810",3,"GO:0055085",0.728,21,21,"transport","transmembrane transport",TRUE,TRUE,TRUE
"GO:0051234","GO:0051234",3,"GO:0055085",0.594,0,0,"establishment of localization","transmembrane transport",TRUE,TRUE,TRUE
"GO:0014003","GO:0014003",1,"GO:0007399",0.503,24,24,"oligodendrocyte development","nervous system development",TRUE,FALSE,FALSE
"GO:0023052","GO:0023052",2,"GO:0007268",0.394,7,7,"signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0032879","GO:0032879",3,"GO:0055085",0.285,1,1,"regulation of localization","transmembrane transport",TRUE,TRUE,TRUE
"GO:0007154","GO:0007154",4,"GO:0042391",0.176,18,18,"cell communication","regulation of membrane potential",TRUE,TRUE,TRUE
"GO:0022010","GO:0022010",1,"GO:0007399",0.412,13,13,"central nervous system myelination","nervous system development",TRUE,FALSE,FALSE
"GO:0032291","GO:0032291",1,"GO:0007399",0.664,0,0,"axon ensheathment in central nervous system","nervous system development",TRUE,FALSE,FALSE
"GO:0099003","GO:0099003",3,"GO:0055085",0.632,7,7,"vesicle-mediated transport in synapse","transmembrane transport",TRUE,TRUE,TRUE
"GO:0010975","GO:0010975",1,"GO:0007399",0.38,34,34,"regulation of neuron projection development","nervous system development",TRUE,FALSE,FALSE
"GO:0007267","GO:0007267",2,"GO:0007268",0.623,231,231,"cell-cell signaling","chemical synaptic transmission",TRUE,TRUE,TRUE
"GO:0051049","GO:0051049",3,"GO:0055085",0.489,3,3,"regulation of transport","transmembrane transport",TRUE,TRUE,TRUE
"GO:0006836","GO:0006836",3,"GO:0055085",0.584,38,38,"neurotransmitter transport","transmembrane transport",TRUE,TRUE,TRUE
"GO:0001505","GO:0001505",4,"GO:0042391",0.605,3,3,"regulation of neurotransmitter levels","regulation of membrane potential",TRUE,TRUE,TRUE
"GO:0065008","GO:0065008",4,"GO:0042391",0.788,0,0,"regulation of biological quality","regulation of membrane potential",TRUE,TRUE,TRUE
"GO:0007411","GO:0007411",1,"GO:0007399",0.29,188,188,"axon guidance","nervous system development",TRUE,FALSE,FALSE
"GO:0097485","GO:0097485",1,"GO:0007399",0.307,3,3,"neuron projection guidance","nervous system development",TRUE,FALSE,FALSE
