"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0000819","GO:0000819",3,"GO:0051301",0.234,3,3,"sister chromatid segregation","cell division",TRUE,FALSE,FALSE
"GO:0051256","GO:0051256",3,"GO:0051301",0.113,11,11,"mitotic spindle midzone assembly","cell division",TRUE,FALSE,FALSE
"GO:0000022","GO:0000022",3,"GO:0051301",0.134,2,2,"mitotic spindle elongation","cell division",TRUE,FALSE,FALSE
"GO:0051225","GO:0051225",3,"GO:0051301",0.195,46,46,"spindle assembly","cell division",TRUE,FALSE,FALSE
"GO:0051231","GO:0051231",3,"GO:0051301",0.221,0,0,"spindle elongation","cell division",TRUE,FALSE,FALSE
"GO:0000723","GO:0000723",5,"GO:0000723",1,49,49,"telomere maintenance","telomere maintenance",TRUE,FALSE,FALSE
"GO:0098813","GO:0098813",3,"GO:0051301",0.342,1,1,"nuclear chromosome segregation","cell division",TRUE,FALSE,FALSE
"GO:0051255","GO:0051255",3,"GO:0051301",0.192,2,2,"spindle midzone assembly","cell division",TRUE,FALSE,FALSE
"GO:0000070","GO:0000070",3,"GO:0051301",0.175,35,35,"mitotic sister chromatid segregation","cell division",TRUE,FALSE,FALSE
"GO:0032200","GO:0032200",3,"GO:0051301",0.281,27,27,"telomere organization","cell division",TRUE,FALSE,FALSE
"GO:0007059","GO:0007059",3,"GO:0051301",0.543,88,88,"chromosome segregation","cell division",TRUE,TRUE,FALSE
"GO:0090307","GO:0090307",3,"GO:0051301",0.138,50,50,"mitotic spindle assembly","cell division",TRUE,FALSE,FALSE
"GO:0051276","GO:0051276",3,"GO:0051301",0.311,13,13,"chromosome organization","cell division",TRUE,FALSE,FALSE
"GO:0051302","GO:0051302",3,"GO:0051301",0.595,12,12,"regulation of cell division","cell division",TRUE,FALSE,FALSE
"GO:0007051","GO:0007051",3,"GO:0051301",0.265,19,19,"spindle organization","cell division",TRUE,FALSE,FALSE
"GO:0051301","GO:0051301",3,"GO:0051301",1,352,352,"cell division","cell division",TRUE,FALSE,FALSE
"GO:0000280","GO:0000280",3,"GO:0051301",0.281,0,0,"nuclear division","cell division",TRUE,TRUE,FALSE
"GO:1904356","GO:1904356",5,"GO:0000723",0.729,2,2,"regulation of telomere maintenance via telomere lengthening","telomere maintenance",TRUE,FALSE,FALSE
"GO:0048285","GO:0048285",3,"GO:0051301",0.311,0,0,"organelle fission","cell division",TRUE,TRUE,FALSE
"GO:0007052","GO:0007052",3,"GO:0051301",0.208,58,58,"mitotic spindle organization","cell division",TRUE,FALSE,FALSE
"GO:0140014","GO:0140014",3,"GO:0051301",0.229,3,3,"mitotic nuclear division","cell division",TRUE,FALSE,FALSE
"GO:0010990","GO:0010990",1,"GO:0008284",0.214,1,1,"regulation of SMAD protein complex assembly","positive regulation of cell population proliferation",TRUE,FALSE,FALSE
"GO:0010833","GO:0010833",5,"GO:0000723",0.943,10,10,"telomere maintenance via telomere lengthening","telomere maintenance",TRUE,FALSE,FALSE
"GO:1902850","GO:1902850",3,"GO:0051301",0.216,2,2,"microtubule cytoskeleton organization involved in mitosis","cell division",TRUE,FALSE,FALSE
"GO:0044419","GO:0044419",2,"GO:0006954",0.21,0,0,"biological process involved in interspecies interaction between organisms","inflammatory response",TRUE,FALSE,FALSE
"GO:0032204","GO:0032204",5,"GO:0000723",0.755,12,12,"regulation of telomere maintenance","telomere maintenance",TRUE,FALSE,FALSE
"GO:0140694","GO:0140694",7,"GO:0140694",1,0,0,"non-membrane-bounded organelle assembly","non-membrane-bounded organelle assembly",TRUE,FALSE,FALSE
