"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LUAD"
"1","anacardic-acid","167551","A549","trt_cp","down",-0.680736562713175,1.38823919439653e-05,8.85292556538534e-05,-1.61058472465026,0,115,3,NA,-99.6513826518554,FALSE,FALSE
"2","BRD-K40471863","54652529","A549","trt_cp","down",-0.655661281052831,1.49703536950597e-05,8.85292556538534e-05,-1.55125800735527,-1.02835072303145,115,3,NA,-99.5509335854408,FALSE,FALSE
"3","norgestrel","5702096","A549","trt_cp","down",-0.653486739801977,1.51009091051911e-05,8.85292556538534e-05,-1.54611316408758,-0.0352445622621586,115,3,"AR; CYP2E1; PGR; SRD5A1",-99.4593476719452,TRUE,FALSE
"4","BRD-K92993117","60191077","A549","trt_cp","down",-0.64802292470678,1.531850145541e-05,8.85292556538534e-05,-1.53318608243419,0.0150625189657243,115,3,NA,-98.9580871346411,FALSE,FALSE
"5","kinetin-riboside","20345","A549","trt_cp","down",-0.644636635898535,1.54490568655413e-05,8.85292556538534e-05,-1.525174312057,-0.689997449944064,115,3,NA,-97.7093673678405,FALSE,FALSE
"6","BRD-K86618560","54638374","A549","trt_cp","down",-0.643706610986557,1.54925753355851e-05,8.85292556538534e-05,-1.52297392500741,-0.0229199338249202,115,3,NA,-99.1186086819507,FALSE,FALSE
"7","SA-246522","44503093","A549","trt_cp","down",-0.643599684258694,1.54925753355851e-05,8.85292556538534e-05,-1.52272094233543,-0.663922674217063,115,3,NA,-98.842866146695,FALSE,FALSE
"8","BRD-K29107232",NA,"A549","trt_cp","down",-0.642406018768715,1.55796122756726e-05,8.85292556538534e-05,-1.51989679638851,-0.959473114966375,115,3,NA,-99.2387536437406,FALSE,FALSE
"9","FTI-276","395754","A549","trt_cp","down",-0.64167050737475,1.55796122756726e-05,8.85292556538534e-05,-1.51815661746937,0,115,3,"FNTA; FNTB",-98.911801780509,FALSE,FALSE
"10","BRD-K23488072","60191401","A549","trt_cp","down",-0.634240395909025,1.59277600360228e-05,8.85292556538534e-05,-1.5005773883158,0,115,3,NA,-98.2352477743638,FALSE,FALSE
"11","BRD-K39647256","54665081","A549","trt_cp","down",-0.633551138018265,1.59277600360228e-05,8.85292556538534e-05,-1.49894664260445,0.0189919705279421,115,3,NA,-96.8732766091547,FALSE,FALSE
"12","elesclomol","300471","A549","trt_cp","down",-0.62813722118803,1.61888708562855e-05,8.85292556538534e-05,-1.48613761746182,-0.820236009468987,115,3,"TOP2A",-98.2362325691326,FALSE,FALSE
"13","morphothebaine","5351542","A549","trt_cp","down",-0.627948795291386,1.61888708562855e-05,8.85292556538534e-05,-1.48569181230387,-0.742739693925253,115,3,NA,-98.3120617663279,FALSE,FALSE
"14","BRD-A13133631",NA,"A549","trt_cp","down",-0.624353564988876,1.63629447364606e-05,8.85292556538534e-05,-1.47718569800946,-0.485185795098895,115,3,NA,-98.3977389112109,FALSE,FALSE
"15","ST-014366","3156173","A549","trt_cp","down",-0.624329020327064,1.63629447364606e-05,8.85292556538534e-05,-1.47712762670912,-1.01888234311118,115,3,NA,-98.2854723075711,FALSE,FALSE
"16","KM-03949SC","2820381","A549","trt_cp","down",-0.622903479007086,1.64064632065044e-05,8.85292556538534e-05,-1.47375487548629,-0.0147375487548629,115,3,NA,-96.7649491845899,FALSE,FALSE
"17","BRD-K95673125","44497048","A549","trt_cp","down",-0.621568861688358,1.64499816765482e-05,8.85292556538534e-05,-1.47059724537718,-0.94426056548841,115,3,NA,-98.5365949736075,FALSE,FALSE
"18","BRD-K02598395","44496732","A549","trt_cp","down",-0.620708595863855,1.6493500146592e-05,8.85292556538534e-05,-1.46856190443624,-1.37113726272696,115,3,NA,-98.2618372331206,FALSE,FALSE
"19","ecopipam","107930","A549","trt_cp","down",-0.61834317254429,1.66240555567233e-05,8.85292556538534e-05,-1.46296544484453,-1.08939106834711,115,3,"DRD1",-97.1007642007406,FALSE,FALSE
"20","BRD-K49967178","24747246","A549","trt_cp","down",-0.615110052484051,1.67546109668546e-05,8.85292556538534e-05,-1.45531606317884,-0.0203618935759343,115,3,NA,-98.9827070038604,FALSE,FALSE
"21","medrysone","5702081","A549","trt_cp","down",-0.613941586663982,1.67981294368984e-05,8.85292556538534e-05,-1.45255153824488,0,115,3,"NR3C1",-98.8911210903648,FALSE,FALSE
"22","5-methylhydantoin","69216","A549","trt_cp","down",-0.613673256824407,1.67981294368984e-05,8.85292556538534e-05,-1.45191668481632,0.35714371064192,115,3,NA,-96.8663830457733,FALSE,FALSE
"23","ARG-A1-2","2785467","A549","trt_cp","down",-0.609954135594527,1.69722033170735e-05,8.85292556538534e-05,-1.44311745150043,-0.0144311745150043,115,3,NA,-96.3473962026314,FALSE,FALSE
"24","methylprednisolone","6741","A549","trt_cp","down",-0.608720489199713,1.70157217871173e-05,8.85292556538534e-05,-1.44019871296348,-0.612959211175611,115,3,"CRP; IL10; IL6; IL8; NR3C1; TAT",-99.1580004727015,TRUE,FALSE
"25","BRD-A93015352","3124281","A549","trt_cp","down",-0.608697223400193,1.70157217871173e-05,8.85292556538534e-05,-1.44014366737996,-0.567302937276819,115,3,NA,-98.5503821003703,FALSE,FALSE
"26","clinofibrate",NA,"A549","trt_cp","down",-0.608314492376062,1.70592402571611e-05,8.85292556538534e-05,-1.43923814713192,0,115,3,"PPARA; PPARD; PPARG",-98.8793035531395,FALSE,FALSE
"27","spironolactone","11869580","A549","trt_cp","down",-0.60783007380456,1.70592402571611e-05,8.85292556538534e-05,-1.43809203982062,0,115,3,"AR; CACNA1A; CACNA1B; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNA2D1; CACNA2D2; CACNA2D3; CACNB1; CACNB2; CACNB3; CACNB4; CACNG1; CYP11B2; GPER1; KCNA5; KCND3; NR1I2; NR3C1; NR3C2; PGR; SCNN1A; SHBG; SRD5A1; SRD5A2; SRD5A3",-99.1619396517766,TRUE,FALSE
"28","BRD-A96799240",NA,"A549","trt_cp","down",-0.604012292778658,1.72333141373362e-05,8.85292556538534e-05,-1.42905938293222,-0.539190747549633,115,3,NA,-97.2307571102182,FALSE,FALSE
"29","BRD-K96539190","44498644","A549","trt_cp","down",-0.603029789933803,1.727683260738e-05,8.85292556538534e-05,-1.42673483602153,0.0157656129839374,115,3,NA,-97.4690774442606,FALSE,FALSE
"30","BRD-K18978393",NA,"A549","trt_cp","down",-0.601294213757171,1.73638695474675e-05,8.85292556538534e-05,-1.42262855962672,-0.978530379041163,115,3,NA,-95.3901756873867,FALSE,FALSE
"31","SA-1459008","54657757","A549","trt_cp","down",-0.600358210279541,1.74073880175113e-05,8.85292556538534e-05,-1.42041402762439,-1.04830019250751,115,3,NA,-97.7182305207595,FALSE,FALSE
"32","atrasentan",NA,"A549","trt_cp","down",-0.599481042041343,1.74509064875551e-05,8.85292556538534e-05,-1.41833869651574,0,115,3,"EDNRA",-97.7694398487355,FALSE,FALSE
"33","floxuridine","3363","A549","trt_cp","down",-0.598435219823687,1.74944249575989e-05,8.85292556538534e-05,-1.415864339502,-0.921951970401693,115,3,"TYMS",-98.0087449775467,TRUE,FALSE
"34","BRD-K82580504","44141938","A549","trt_cp","down",-0.597623998682987,1.74944249575989e-05,8.85292556538534e-05,-1.41394503554642,-0.0141394503554642,115,3,NA,-97.1037185850469,FALSE,FALSE
"35","BRD-K18480277",NA,"A549","trt_cp","down",-0.597342892720883,1.75379434276426e-05,8.85292556538534e-05,-1.41327995452482,-0.868898366925682,115,3,NA,-99.048688253368,FALSE,FALSE
"36","ursolic-acid","64945","A549","trt_cp","down",-0.596551475152742,1.75379434276426e-05,8.85292556538534e-05,-1.41140750471694,0,115,3,NA,-98.3445599936973,FALSE,FALSE
"37","SA-1457187","54657735","A549","trt_cp","down",-0.596261210733735,1.75814618976864e-05,8.85292556538534e-05,-1.41072075529731,-0.0190746647396174,115,3,NA,-97.5596785629875,FALSE,FALSE
"38","BRD-K08115555",NA,"A549","trt_cp","down",-0.594780289489409,1.76249803677302e-05,8.85292556538534e-05,-1.40721697826348,0.601341816033497,115,3,NA,-97.231741904987,FALSE,FALSE
"39","diflorasone","52897293","A549","trt_cp","down",-0.594483685064795,1.7668498837774e-05,8.85292556538534e-05,-1.40651522874434,-0.701199168482698,115,3,"NR3C1; PLA2G1B",-97.5892224060506,TRUE,FALSE
"40","BRD-K53638321","44507961","A549","trt_cp","down",-0.594218046257375,1.7668498837774e-05,8.85292556538534e-05,-1.40588674214771,-1.31438529042215,115,3,NA,-97.80587725518,FALSE,FALSE
"41","AT-9283","11696609","A549","trt_cp","down",-0.592200758585239,1.77555357778615e-05,8.85292556538534e-05,-1.40111395207306,0,115,3,"ABL1; AURKA; AURKB; BCR; FLT3; JAK2; RPS6KA6; STK17A",-98.2726699755771,FALSE,FALSE
"42","PATI-1-2-3","23948194","A549","trt_cp","down",-0.591753378651783,1.77555357778615e-05,8.85292556538534e-05,-1.40005547611274,0,115,3,NA,-97.4385488064287,FALSE,FALSE
"43","pyrrolidine-dithiocarbamate","517348","A549","trt_cp","down",-0.590802397957446,1.77990542479053e-05,8.85292556538534e-05,-1.39780550885135,0,115,3,"HSD11B1; RELA",-97.120460096116,FALSE,FALSE
"44","I-BET-762",NA,"A549","trt_cp","down",-0.58977582298147,1.78425727179491e-05,8.85292556538534e-05,-1.3953766897375,0,115,3,NA,-98.1200267864177,FALSE,FALSE
"45","barasertib-HQPA","16007391","A549","trt_cp","down",-0.589736569280689,1.78425727179491e-05,8.85292556538534e-05,-1.39528381767167,-0.793265869664416,115,3,NA,-95.217836602852,FALSE,FALSE
"46","yohimbine","2866","A549","trt_cp","down",-0.588610310029023,1.78860911879929e-05,8.85292556538534e-05,-1.39261915112357,0,115,3,"ADRA2B; ADRA2C; DRD3; HTR1B; HTR1D; HTR1E; HTR1F; HTR2B; HTR5A; HTR7; KCNJ1; KCNJ10; KCNJ11; KCNJ12; KCNJ14; KCNJ15; KCNJ8",-96.9816040337194,FALSE,FALSE
