"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa00982","Drug metabolism - cytochrome P450","8/30","853/20540",2.21868400956617e-05,0.0053248416229588,0.00453078629321933,"isotretinoin/estradiol/triamcinolone/everolimus/phenelzine/ritonavir/axitinib/voriconazole",8,5.39685977988743
"2","hsa00830","Retinol metabolism","7/30","732/20540",7.05141655567647e-05,0.00564113324454117,0.00479991162035521,"isotretinoin/estradiol/triamcinolone/everolimus/ritonavir/axitinib/voriconazole",7,5.3391577736638
"3","hsa05204","Chemical carcinogenesis - DNA adducts","7/30","732/20540",7.05141655567647e-05,0.00564113324454117,0.00479991162035521,"isotretinoin/estradiol/triamcinolone/everolimus/ritonavir/axitinib/voriconazole",7,5.3391577736638
"4","hsa00980","Metabolism of xenobiotics by cytochrome P450","7/30","869/20540",0.000205229735799084,0.012313784147945,0.0104775180907953,"isotretinoin/estradiol/triamcinolone/everolimus/ritonavir/axitinib/voriconazole",7,4.55852345153372
"5","hsa04726","Serotonergic synapse","8/30","1377/20540",0.000618149544465083,0.029671178134324,0.025246528763416,"pseudoephedrine/isotretinoin/estradiol/phenelzine/tetrabenazine/amisulpride/voriconazole/clomipramine",8,3.67906660742748
"6","hsa04640","Hematopoietic cell lineage","5/30","509/20540",0.000782117682274106,0.0312847072909643,0.0266194439230134,"pseudoephedrine/dasatinib/pomalidomide/axitinib/ezetimibe",5,3.62611335567688
"7","hsa00100","Steroid biosynthesis","4/30","318/20540",0.00112439147519973,0.0385505648639907,0.0328017964193605,"estradiol/tioconazole/ezetimibe/voriconazole",4,3.41727199620886
"8","hsa04721","Synaptic vesicle cycle","4/30","357/20540",0.00172045582216502,0.0461920153875319,0.0393037323911456,"pseudoephedrine/phenelzine/tetrabenazine/clomipramine",4,3.23643579283158
"9","hsa00140","Steroid hormone biosynthesis","6/30","906/20540",0.00173220057703245,0.0461920153875319,0.0393037323911456,"isotretinoin/estradiol/triamcinolone/everolimus/ritonavir/axitinib",6,3.23643579283158
"10","hsa04940","Type I diabetes mellitus","3/30","192/20540",0.00271092775737746,0.0603412222697254,0.0513429698259944,"pseudoephedrine/pomalidomide/phenelzine",3,2.96922725897153
"11","hsa04540","Gap junction","6/30","994/20540",0.00276563935402908,0.0603412222697254,0.0513429698259944,"pseudoephedrine/mebendazole/labetalol/dasatinib/axitinib/clomipramine",6,2.96922725897153
"12","hsa05205","Proteoglycans in cancer","8/30","1790/20540",0.00335212673364605,0.0643155937226685,0.0547246718517443,"pseudoephedrine/dasatinib/estradiol/everolimus/pomalidomide/norgestimate/vismodegib/axitinib",8,2.90544063190468
"13","hsa05224","Breast cancer","6/30","1048/20540",0.003597759001478,0.0643155937226685,0.0547246718517443,"pseudoephedrine/dasatinib/estradiol/everolimus/norgestimate/axitinib",6,2.90544063190468
"14","hsa00591","Linoleic acid metabolism","4/30","443/20540",0.00375174296715566,0.0643155937226685,0.0547246718517443,"isotretinoin/estradiol/ritonavir/voriconazole",4,2.90544063190468
"15","hsa04136","Autophagy - other","2/30","77/20540",0.00563743798983152,0.0901990078373044,0.0767482785984081,"estradiol/everolimus",2,2.56722432145159
"16","hsa05014","Amyotrophic lateral sclerosis","6/30","1174/20540",0.00626012259440191,0.0939018389160286,0.0798989331127612,"pseudoephedrine/mebendazole/dasatinib/estradiol/everolimus/pomalidomide",6,2.52699277908052
"17","hsa00232","Caffeine metabolism","2/30","90/20540",0.00762621403042129,0.107664198076536,0.09160901064407,"estradiol/ritonavir",2,2.39022564266327
"18","hsa05012","Parkinson disease","6/30","1257/20540",0.00867039974199352,0.115605329893247,0.0983659385933768,"pseudoephedrine/mebendazole/estradiol/phenelzine/tetrabenazine/clomipramine",6,2.31906068735487
