"","Var1","Var2","log_fold_change","Sensitive"
"21599","GOS3","maraviroc",0.527476096192,FALSE
"21627","GAMG","maraviroc",0.481363249433,FALSE
"21629","GMS10","maraviroc",0.00944078038528,TRUE
"21665","NMCG1","maraviroc",0.530339380687,FALSE
"21681","KALS1","maraviroc",0.297355880463,TRUE
"21688","DKMG","maraviroc",0.241392999065,TRUE
"21701","AM38","maraviroc",-0.276377944239,TRUE
"21712","SNU466","maraviroc",-0.0880478101443,TRUE
"21750","SNU1105","maraviroc",0.0268566255241,TRUE
"21753","SF295","maraviroc",-0.473928350107,TRUE
"21792","KNS60","maraviroc",-0.214322825226,TRUE
"21804","CAS1","maraviroc",-0.267848880174,TRUE
"21808","YH13","maraviroc",0.404542445377,FALSE
"21816","KNS81","maraviroc",0.725191409755,FALSE
"21850","SNU489","maraviroc",1.09261301236,FALSE
"21859","A172","maraviroc",NA,NA
"21866","YKG1","maraviroc",0.280844761662,TRUE
"21867","T98G","maraviroc",-0.566921271883,TRUE
"21878","LN229","maraviroc",0.249867611401,TRUE
"21893","KNS42","maraviroc",0.106768218662,TRUE
"21894","SNU201","maraviroc",0.378277753939,FALSE
"21961","GB1","maraviroc",0.609653472191,FALSE
"21971","GI1","maraviroc",0.464342007023,FALSE
"22008","LN18","maraviroc",0.479776561742,FALSE
"22038","DBTRG05MG","maraviroc",0.397143645558,FALSE
"389663","GOS3","saxagliptin",-0.338733809924,TRUE
"389691","GAMG","saxagliptin",-0.405806388151,TRUE
"389693","GMS10","saxagliptin",-0.198773885277,TRUE
"389729","NMCG1","saxagliptin",-0.0364710510967,TRUE
"389745","KALS1","saxagliptin",0.156490336922,TRUE
"389752","DKMG","saxagliptin",-0.396633116337,TRUE
"389765","AM38","saxagliptin",NA,NA
"389776","SNU466","saxagliptin",0.247353759253,TRUE
"389814","SNU1105","saxagliptin",-0.0875263842576,TRUE
"389817","SF295","saxagliptin",-0.0758650977758,TRUE
"389856","KNS60","saxagliptin",-0.361607755428,TRUE
"389868","CAS1","saxagliptin",-0.221046214002,TRUE
"389872","YH13","saxagliptin",0.778022889536,FALSE
"389880","KNS81","saxagliptin",-0.324106195903,TRUE
"389914","SNU489","saxagliptin",-0.535189262847,TRUE
"389923","A172","saxagliptin",0.529033128973,FALSE
"389930","YKG1","saxagliptin",-0.709532848033,TRUE
"389931","T98G","saxagliptin",-0.105904190634,TRUE
"389942","LN229","saxagliptin",-0.892837230908,TRUE
"389957","KNS42","saxagliptin",-0.187897103081,TRUE
"389958","SNU201","saxagliptin",-1.17918147353,TRUE
"390025","GB1","saxagliptin",-0.567971502894,TRUE
"390035","GI1","saxagliptin",0.445291402448,FALSE
"390072","LN18","saxagliptin",-0.324816847556,TRUE
"390102","DBTRG05MG","saxagliptin",-0.509184660448,TRUE
"397615","GOS3","thioridazine",-0.381869218834,TRUE
"397643","GAMG","thioridazine",0.496331710393,FALSE
"397645","GMS10","thioridazine",0.18690451594,TRUE
"397681","NMCG1","thioridazine",0.119296177136,TRUE
"397697","KALS1","thioridazine",-0.691297201861,TRUE
"397704","DKMG","thioridazine",-0.621946365676,TRUE
"397717","AM38","thioridazine",NA,NA
"397728","SNU466","thioridazine",0.201958406926,TRUE
"397766","SNU1105","thioridazine",-0.660874157319,TRUE
"397769","SF295","thioridazine",0.542654504185,FALSE
"397808","KNS60","thioridazine",0.0747962070268,TRUE
"397820","CAS1","thioridazine",-0.865456626437,TRUE
"397824","YH13","thioridazine",-0.488252206634,TRUE
"397832","KNS81","thioridazine",-0.423773678287,TRUE
"397866","SNU489","thioridazine",0.369600504294,FALSE
"397875","A172","thioridazine",0.269913273866,TRUE
"397882","YKG1","thioridazine",-0.337528424596,TRUE
"397883","T98G","thioridazine",-0.183868944974,TRUE
"397894","LN229","thioridazine",0.024828324705,TRUE
"397909","KNS42","thioridazine",-0.488312601058,TRUE
"397910","SNU201","thioridazine",-1.01100751859,TRUE
"397977","GB1","thioridazine",-0.0930943289097,TRUE
"397987","GI1","thioridazine",-0.220570032819,TRUE
"398024","LN18","thioridazine",0.0961973423036,TRUE
"398054","DBTRG05MG","thioridazine",-0.250114602956,TRUE
"634471","GOS3","dabrafenib",0.0545827485488,TRUE
"634499","GAMG","dabrafenib",-0.566709146412,TRUE
"634501","GMS10","dabrafenib",0.168437566217,TRUE
"634537","NMCG1","dabrafenib",-1.56871773762,TRUE
"634553","KALS1","dabrafenib",-0.339125114437,TRUE
"634560","DKMG","dabrafenib",0.0510185266263,TRUE
"634573","AM38","dabrafenib",-1.20584574577,TRUE
"634584","SNU466","dabrafenib",0.382617178741,FALSE
"634622","SNU1105","dabrafenib",-0.38093041418,TRUE
"634625","SF295","dabrafenib",0.435811664817,FALSE
"634664","KNS60","dabrafenib",0.112156420011,TRUE
"634676","CAS1","dabrafenib",0.0258931048199,TRUE
"634680","YH13","dabrafenib",1.03984879827,FALSE
"634688","KNS81","dabrafenib",0.156283546193,TRUE
"634722","SNU489","dabrafenib",-0.327508525589,TRUE
"634731","A172","dabrafenib",NA,NA
"634738","YKG1","dabrafenib",1.01846121484,FALSE
"634739","T98G","dabrafenib",-0.340000864938,TRUE
"634750","LN229","dabrafenib",0.48032950553,FALSE
"634765","KNS42","dabrafenib",0.23661996096,TRUE
"634766","SNU201","dabrafenib",-0.435330292309,TRUE
"634833","GB1","dabrafenib",-0.147391627855,TRUE
"634843","GI1","dabrafenib",-0.528570087502,TRUE
"634880","LN18","dabrafenib",-0.0861964549542,TRUE
"634910","DBTRG05MG","dabrafenib",-2.57410809882,TRUE
"640719","GOS3","sulfasalazine",-1.37211093351,TRUE
"640747","GAMG","sulfasalazine",-0.884553744104,TRUE
"640749","GMS10","sulfasalazine",-0.812684326158,TRUE
"640785","NMCG1","sulfasalazine",-0.990190904381,TRUE
"640801","KALS1","sulfasalazine",-1.21030530416,TRUE
"640808","DKMG","sulfasalazine",-0.276448704885,TRUE
"640821","AM38","sulfasalazine",0.0601480142669,TRUE
"640832","SNU466","sulfasalazine",0.13590004501,TRUE
"640870","SNU1105","sulfasalazine",-0.83549230337,TRUE
"640873","SF295","sulfasalazine",-0.174280706787,TRUE
"640912","KNS60","sulfasalazine",-0.435397282449,TRUE
"640924","CAS1","sulfasalazine",-1.68971898011,TRUE
"640928","YH13","sulfasalazine",-1.14026497804,TRUE
"640936","KNS81","sulfasalazine",-0.466775265445,TRUE
