"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa04015","Rap1 signaling pathway","9/10","1566/20540",7.9392469716156e-10,1.57991014735151e-07,6.43496859804633e-08,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/simvastatin/itraconazole/erlotinib",9,16.5589337827847
"2","hsa05205","Proteoglycans in cancer","9/10","1790/20540",2.6241173644518e-09,2.61099677762954e-07,1.06345808980415e-07,"dabrafenib/toremifene/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/itraconazole/erlotinib",9,16.0565697038772
"3","hsa04810","Regulation of actin cytoskeleton","8/10","1187/20540",4.93002481382701e-09,3.27024979317192e-07,1.3319716163673e-07,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/simvastatin/erlotinib",8,15.8314353881007
"4","hsa04934","Cushing syndrome","7/10","945/20540",4.53582911585276e-08,2.25657498513675e-06,9.19102215580691e-07,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib/simvastatin/erlotinib",7,13.8998684959872
"5","hsa01521","EGFR tyrosine kinase inhibitor resistance","7/10","1052/20540",9.49589798747124e-08,3.77936739901355e-06,1.53933504217955e-06,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib/itraconazole/erlotinib",7,13.3841600255797
"6","hsa04014","Ras signaling pathway","8/10","1836/20540",1.53382766395291e-07,5.08719508544382e-06,2.07201280919955e-06,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/itraconazole/erlotinib",8,13.08699005154
"7","hsa05214","Glioma","6/10","816/20540",7.06941995933032e-07,2.00973510272391e-05,8.18564416343511e-06,"dabrafenib/trametinib/sirolimus/trifluoperazine/selumetinib/erlotinib",6,11.7131286497571
"8","hsa05206","MicroRNAs in cancer","7/10","1500/20540",1.07749713222134e-06,2.68027411640059e-05,1.09167472606636e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib/itraconazole/erlotinib",7,11.4252125019222
"9","hsa04510","Focal adhesion","7/10","1575/20540",1.50171433231621e-06,3.32045724589917e-05,1.35242109460056e-05,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib/itraconazole/erlotinib",7,11.2110290753398
"10","hsa05210","Colorectal cancer","6/10","949/20540",1.71386707362338e-06,3.41059547651053e-05,1.38913436493685e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib/erlotinib",6,11.1842446708608
"11","hsa04012","ErbB signaling pathway","6/10","987/20540",2.15617960744547e-06,3.9007249261968e-05,1.58876392127561e-05,"dabrafenib/trametinib/sirolimus/trifluoperazine/selumetinib/erlotinib",6,11.0499691590792
"12","hsa05226","Gastric cancer","6/10","1023/20540",2.65798445611209e-06,4.40782422305254e-05,1.79530529053185e-05,"dabrafenib/trametinib/sirolimus/selumetinib/itraconazole/erlotinib",6,10.9277503792009
"13","hsa05224","Breast cancer","6/10","1048/20540",3.06006034727822e-06,4.6842462239105e-05,1.90789187644067e-05,"dabrafenib/toremifene/trametinib/sirolimus/selumetinib/erlotinib",6,10.866926562082
"14","hsa04921","Oxytocin signaling pathway","6/10","1148/20540",5.20214685499993e-06,7.03934366064227e-05,2.86712225268159e-05,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib/erlotinib",6,10.4596166376521
"15","hsa05163","Human cytomegalovirus infection","7/10","1904/20540",5.42782025863222e-06,7.03934366064227e-05,2.86712225268159e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/erlotinib",7,10.4596166376521
"16","hsa04371","Apelin signaling pathway","6/10","1167/20540",5.72277278934017e-06,7.03934366064227e-05,2.86712225268159e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib",6,10.4596166376521
"17","hsa04072","Phospholipase D signaling pathway","6/10","1177/20540",6.01350965984516e-06,7.03934366064227e-05,2.86712225268159e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib/erlotinib",6,10.4596166376521
"18","hsa04218","Cellular senescence","6/10","1248/20540",8.44636346113012e-06,8.9650424848089e-05,3.65145872166245e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib",6,10.217798727444
"19","hsa01522","Endocrine resistance","6/10","1259/20540",8.886769603446e-06,8.9650424848089e-05,3.65145872166245e-05,"dabrafenib/toremifene/trametinib/sirolimus/selumetinib/erlotinib",6,10.217798727444
"20","hsa05160","Hepatitis C","6/10","1262/20540",9.01009294955668e-06,8.9650424848089e-05,3.65145872166245e-05,"dabrafenib/trametinib/atorvastatin/selumetinib/simvastatin/erlotinib",6,10.217798727444
"21","hsa05218","Melanoma","5/10","700/20540",9.90508409698086e-06,9.38624635856758e-05,3.82301491462419e-05,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,10.1718861089755
"22","hsa04650","Natural killer cell mediated cytotoxicity","5/10","707/20540",1.03966645139352e-05,9.40425562851408e-05,3.83035008408138e-05,"dabrafenib/trametinib/atorvastatin/selumetinib/simvastatin",5,10.1699692601896
"23","hsa04915","Estrogen signaling pathway","6/10","1374/20540",1.47284145857435e-05,0.000127432804459259,5.19033374417507e-05,"dabrafenib/toremifene/trametinib/trifluoperazine/selumetinib/erlotinib",6,9.86612746462388
"24","hsa04066","HIF-1 signaling pathway","6/10","1400/20540",1.64096557501724e-05,0.000136063395595179,5.54185742440031e-05,"trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib/erlotinib",6,9.80059574524068
"25","hsa04928","Parathyroid hormone synthesis, secretion and action","5/10","806/20540",1.96455517535871e-05,0.000156378591958553,6.36929467379456e-05,"dabrafenib/trametinib/atorvastatin/selumetinib/erlotinib",5,9.66143672776565
"26","hsa05165","Human papillomavirus infection","6/10","1478/20540",2.24198865034356e-05,0.000171598362083988,6.98919538771068e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib/erlotinib",6,9.56856002440433
"27","hsa04150","mTOR signaling pathway","5/10","841/20540",2.41332989231758e-05,0.000177871351322666,7.2446940237214e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib",5,9.53265612284008
"28","hsa05167","Kaposi sarcoma-associated herpesvirus infection","6/10","1557/20540",3.02312171307238e-05,0.000214857578893358,8.75114180099899e-05,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib",6,9.34374128157124
"29","hsa05231","Choline metabolism in cancer","5/10","912/20540",3.56907996322136e-05,0.000244912728510707,9.97528701154427e-05,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,9.21281472952109
"30","hsa05170","Human immunodeficiency virus 1 infection","6/10","1673/20540",4.56054253245215e-05,0.000302515987985993,0.000123214657894321,"dabrafenib/trametinib/atorvastatin/sirolimus/trifluoperazine/selumetinib",6,9.00158253752704
"31","hsa05230","Central carbon metabolism in cancer","5/10","971/20540",4.82602082964285e-05,0.000309799401644816,0.000126181189773345,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,8.97779166989072
"32","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","5/10","1027/20540",6.31645365224859e-05,0.000392804461499209,0.000159989122112876,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,8.74040473183618
"33","hsa05212","Pancreatic cancer","5/10","1067/20540",7.58474609885199e-05,0.000457383173839863,0.000186292009445488,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,8.58819517206837
"34","hsa05225","Hepatocellular carcinoma","5/10","1131/20540",0.000100182974525579,0.000572017943411336,0.000232982711677719,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,8.36454630595951
"35","hsa04912","GnRH signaling pathway","5/10","1132/20540",0.000100606170951742,0.000572017943411336,0.000232982711677719,"dabrafenib/trametinib/trifluoperazine/selumetinib/erlotinib",5,8.36454630595951
"36","hsa04722","Neurotrophin signaling pathway","5/10","1164/20540",0.000114900876817681,0.000635146513519956,0.000258694956577819,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib",5,8.25986096421622
"37","hsa04919","Thyroid hormone signaling pathway","5/10","1175/20540",0.000120163187505779,0.00064628308955811,0.000263230880169132,"dabrafenib/toremifene/trametinib/sirolimus/selumetinib",5,8.24247903952469
"38","hsa04935","Growth hormone synthesis, secretion and action","5/10","1217/20540",0.000142003019391474,0.000743647391023769,0.000302887326679874,"dabrafenib/trametinib/sirolimus/trifluoperazine/selumetinib",5,8.10214968075399
"39","hsa04613","Neutrophil extracellular trap formation","5/10","1237/20540",0.000153429300413644,0.000782882840572183,0.000318867911790839,"dabrafenib/trametinib/sirolimus/selumetinib/simvastatin",5,8.05073361055112
"40","hsa04270","Vascular smooth muscle contraction","5/10","1253/20540",0.000163074084155711,0.000811293568674662,0.000330439591578677,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib",5,8.01508669426311
"41","hsa05213","Endometrial cancer","4/10","647/20540",0.00017603462848894,0.000835988549052841,0.000340497848595973,"dabrafenib/trametinib/selumetinib/erlotinib",4,7.98510175076185
"42","hsa05215","Prostate cancer","5/10","1274/20540",0.000176439794272459,0.000835988549052841,0.000340497848595973,"dabrafenib/trametinib/sirolimus/selumetinib/erlotinib",5,7.98510175076185
"43","hsa05219","Bladder cancer","4/10","656/20540",0.000185660582506238,0.000844634303631084,0.00034401926146307,"dabrafenib/trametinib/selumetinib/erlotinib",4,7.9748129095332
"44","hsa04550","Signaling pathways regulating pluripotency of stem cells","4/10","657/20540",0.000186753313365667,0.000844634303631084,0.00034401926146307,"dabrafenib/trametinib/sirolimus/selumetinib",4,7.9748129095332
"45","hsa04068","FoxO signaling pathway","5/10","1326/20540",0.00021320482908395,0.000942839133060133,0.000384018054724307,"dabrafenib/trametinib/atorvastatin/selumetinib/erlotinib",5,7.86482098897062
"46","hsa04916","Melanogenesis","4/10","710/20540",0.000251676665787269,0.00108877514112318,0.000443457740632029,"dabrafenib/trametinib/trifluoperazine/selumetinib",4,7.72090804681546
"47","hsa04062","Chemokine signaling pathway","5/10","1400/20540",0.000275448717865781,0.00114904815936808,0.000468006920239841,"dabrafenib/trametinib/atorvastatin/sirolimus/selumetinib",5,7.66702747531868
"48","hsa00830","Retinol metabolism","4/10","732/20540",0.000282931456326813,0.00114904815936808,0.000468006920239841,"toremifene/atorvastatin/simvastatin/itraconazole",4,7.66702747531868
"49","hsa05204","Chemical carcinogenesis - DNA adducts","4/10","732/20540",0.000282931456326813,0.00114904815936808,0.000468006920239841,"toremifene/atorvastatin/simvastatin/itraconazole",4,7.66702747531868
"50","hsa04910","Insulin signaling pathway","5/10","1427/20540",0.000301352234722125,0.00119938189419406,0.000488507833128498,"dabrafenib/trametinib/sirolimus/trifluoperazine/selumetinib",5,7.62415505154654
"51","hsa04144","Endocytosis","4/10","758/20540",0.000323396842961729,0.00126188179900753,0.000513964022870033,"atorvastatin/sirolimus/simvastatin/erlotinib",4,7.57335728937511
"52","hsa04720","Long-term potentiation","4/10","777/20540",0.000355510621697261,0.00136051180226452,0.000554135989285205,"dabrafenib/trametinib/trifluoperazine/selumetinib",4,7.4981004333155
"53","hsa04022","cGMP-PKG signaling pathway","5/10","1509/20540",0.000391691200750982,0.00147068960281973,0.000599011369569526,"dabrafenib/trametinib/atorvastatin/trifluoperazine/selumetinib",5,7.42022997911155
"54","hsa04976","Bile secretion","4/10","810/20540",0.000416689941559621,0.00153557959945119,0.00062544104288676,"atorvastatin/trifluoperazine/simvastatin/itraconazole",4,7.37705348847608
"55","hsa05221","Acute myeloid leukemia","4/10","827/20540",0.000451015672414477,0.00163185670564511,0.000664654675137124,"dabrafenib/trametinib/sirolimus/selumetinib",4,7.31624293769192
"56","hsa00982","Drug metabolism - cytochrome P450","4/10","853/20540",0.00050740377656235,0.00180309556314121,0.00073440020291919,"toremifene/atorvastatin/simvastatin/itraconazole",4,7.21645644235194
"57","hsa00980","Metabolism of xenobiotics by cytochrome P450","4/10","869/20540",0.000544534416637861,0.00188470034405802,0.000767637802128896,"toremifene/atorvastatin/simvastatin/itraconazole",4,7.17219254787176
