"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa05206","MicroRNAs in cancer","17/41","1500/20464",1.29669142251526e-09,3.35843078431453e-07,1.37858772288465e-07,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/erlotinib",17
"2","hsa01521","EGFR tyrosine kinase inhibitor resistance","14/41","1052/20464",7.90528319311081e-09,5.97318196797762e-07,2.45190562392091e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/pentoxifylline/as-605240/erlotinib",14
"3","hsa04630","JAK-STAT signaling pathway","13/41","880/20464",9.06105036804923e-09,5.97318196797762e-07,2.45190562392091e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/pentoxifylline/as-605240/erlotinib",13
"4","hsa05165","Human papillomavirus infection","16/41","1478/20464",9.22499145633609e-09,5.97318196797762e-07,2.45190562392091e-07,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",16
"5","hsa05214","Glioma","12/41","816/20464",4.05310129826036e-08,2.09950647249887e-06,8.6181732868273e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib",12
"6","hsa05218","Melanoma","11/41","700/20464",8.59261353265338e-08,3.70914484159538e-06,1.52255081894385e-06,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/as-605240/erlotinib",11
"7","hsa04915","Estrogen signaling pathway","14/41","1374/20464",2.23549766619484e-07,7.72217290448794e-06,3.16984134669084e-06,"ly-456236/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/vandetanib/obatoclax/lapatinib/as-605240/gabapentin/erlotinib",14
"8","hsa05014","Amyotrophic lateral sclerosis","13/41","1174/20464",2.6627150338727e-07,7.72217290448794e-06,3.16984134669084e-06,"fludarabine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/obatoclax/l-693403/lapatinib/pentoxifylline/gabapentin",13
"9","hsa05230","Central carbon metabolism in cancer","12/41","971/20464",2.68338054596106e-07,7.72217290448794e-06,3.16984134669084e-06,"az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/sgx-523/lapatinib/as-605240/erlotinib",12
"10","hsa05220","Chronic myeloid leukemia","11/41","822/20464",4.30087580137177e-07,1.05121003268329e-05,4.31506658406879e-06,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/obatoclax/as-605240",11
"11","hsa05226","Gastric cancer","12/41","1023/20464",4.69233215670565e-07,1.05121003268329e-05,4.31506658406879e-06,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/erlotinib",12
"12","hsa04725","Cholinergic synapse","12/41","1042/20464",5.70930157247655e-07,1.05121003268329e-05,4.31506658406879e-06,"thioridazine/flupirtine/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/obatoclax/ambenonium/pentoxifylline/as-605240/gabapentin",12
"13","hsa01522","Endocrine resistance","13/41","1259/20464",5.9254245458432e-07,1.05121003268329e-05,4.31506658406879e-06,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/spironolactone/vandetanib/obatoclax/lapatinib/as-605240/erlotinib",13
"14","hsa05224","Breast cancer","12/41","1048/20464",6.06901036980039e-07,1.05121003268329e-05,4.31506658406879e-06,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/spironolactone/vandetanib/lapatinib/as-605240/erlotinib",12
"15","hsa05160","Hepatitis C","13/41","1262/20464",6.08808899237428e-07,1.05121003268329e-05,4.31506658406879e-06,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/icosapent/erlotinib",13
"16","hsa05152","Tuberculosis","13/41","1298/20464",8.37788001601097e-07,1.35616932759178e-05,5.56688080011255e-06,"ski-ii/fludarabine/thioridazine/bi-2536/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/pentoxifylline",13
"17","hsa04068","FoxO signaling pathway","13/41","1326/20464",1.06637842980975e-06,1.5745695656734e-05,6.46338248864107e-06,"ly-456236/bi-2536/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",13
"18","hsa04015","Rap1 signaling pathway","14/41","1566/20464",1.09429545104715e-06,1.5745695656734e-05,6.46338248864107e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/rimonabant/nifedipine/vandetanib/sgx-523/lapatinib/pentoxifylline/as-605240/gabapentin/erlotinib",14
"19","hsa05031","Amphetamine addiction","11/41","916/20464",1.25089241866837e-06,1.67608295956784e-05,6.88008042740709e-06,"entinostat/thioridazine/vorinostat/piceatannol/ly-294002/panobinostat/nifedipine/spironolactone/as-605240/gabapentin/tetrindole",11
"20","hsa05034","Alcoholism","12/41","1131/20464",1.35898618343338e-06,1.67608295956784e-05,6.88008042740709e-06,"entinostat/fludarabine/thioridazine/az-628/vemurafenib/vorinostat/panobinostat/nifedipine/pentoxifylline/as-605240/gabapentin/tetrindole",12
"21","hsa05225","Hepatocellular carcinoma","12/41","1131/20464",1.35898618343338e-06,1.67608295956784e-05,6.88008042740709e-06,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/erlotinib",12
"22","hsa04921","Oxytocin signaling pathway","12/41","1148/20464",1.58950189878612e-06,1.87127723538911e-05,7.68132496542575e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/vandetanib/lapatinib/as-605240/gabapentin/erlotinib",12
"23","hsa04213","Longevity regulating pathway - multiple species","9/41","578/20464",1.68036131833292e-06,1.89223296281837e-05,7.76734522433065e-06,"entinostat/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/as-605240",9
"24","hsa05210","Colorectal cancer","11/41","949/20464",1.76724644110678e-06,1.90715345102774e-05,7.82859169086777e-06,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/as-605240/erlotinib",11
"25","hsa04072","Phospholipase D signaling pathway","12/41","1177/20464",2.06385891719422e-06,2.13815783821321e-05,8.77683160575224e-06,"ly-456236/ski-ii/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib",12
"26","hsa05223","Non-small cell lung cancer","11/41","973/20464",2.25287968211616e-06,2.24421476026187e-05,9.21218007666932e-06,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/as-605240/erlotinib",11
"27","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","11/41","1027/20464",3.79672453534542e-06,3.6420431653869e-05,1.4950065421828e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",11
"28","hsa05213","Endometrial cancer","9/41","647/20464",4.22799744299315e-06,3.91089763476866e-05,1.60536745015905e-05,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/vandetanib/lapatinib/as-605240/erlotinib",9
"29","hsa05215","Prostate cancer","12/41","1274/20464",4.69404780072401e-06,4.19227027719834e-05,1.72086688883167e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/spironolactone/vandetanib/obatoclax/lapatinib/as-605240/erlotinib",12
"30","hsa05212","Pancreatic cancer","11/41","1067/20464",5.47756639282529e-06,4.7289656524725e-05,1.94117265149247e-05,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/as-605240/erlotinib",11
"31","hsa04261","Adrenergic signaling in cardiomyocytes","11/41","1089/20464",6.65577809150163e-06,5.56079524419007e-05,2.28262678180531e-05,"thioridazine/flupirtine/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/obatoclax/as-605240/gabapentin/icosapent",11
"32","hsa04014","Ras signaling pathway","14/41","1836/20464",7.16470721258909e-06,5.7989349001893e-05,2.3803796989194e-05,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/gabapentin/erlotinib",14
"33","hsa05131","Shigellosis","13/41","1579/20464",7.41484420646516e-06,5.81952924083175e-05,2.38883338071126e-05,"fludarabine/thioridazine/piceatannol/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/pentoxifylline/as-605240/erlotinib",13
"34","hsa05231","Choline metabolism in cancer","10/41","912/20464",9.35454436155817e-06,7.12596173424578e-05,2.92510520284017e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib",10
"35","hsa05163","Human cytomegalovirus infection","14/41","1904/20464",1.09103340260561e-05,8.07364717928152e-05,3.31411650114787e-05,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/lapatinib/pentoxifylline/as-605240/erlotinib",14
"36","hsa05169","Epstein-Barr virus infection","12/41","1405/20464",1.27489454243664e-05,8.97142432923268e-05,3.68264115932738e-05,"entinostat/fludarabine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/vandetanib/obatoclax/pentoxifylline/as-605240",12
"37","hsa04371","Apelin signaling pathway","11/41","1167/20464",1.28163204703324e-05,8.97142432923268e-05,3.68264115932738e-05,"ski-ii/az-628/vemurafenib/vorinostat/pi-103/ly-294002/panobinostat/nifedipine/ku-0063794/as-605240/icosapent",11
"38","hsa05170","Human immunodeficiency virus 1 infection","13/41","1673/20464",1.38836187842742e-05,9.46278227665006e-05,3.88433655737312e-05,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/obatoclax/pentoxifylline/as-605240",13
"39","hsa05016","Huntington disease","11/41","1185/20464",1.47994753409486e-05,9.82836952129666e-05,4.03440488376738e-05,"entinostat/fludarabine/vorinostat/piceatannol/pi-103/ly-294002/panobinostat/ku-0063794/spironolactone/gabapentin/icosapent",11
