"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approval","clinical_trial_GBM"
"1","vorinostat","5311","GI1","trt_cp","down",-0.385549746680637,2.67203406068799e-05,0.000299851269917558,-1.39003280035617,-1.46933979541659,52,55,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9",-97.6325533758765,TRUE,TRUE
"2","rucaparib","9931954","GI1","trt_cp","down",-0.384486549549872,2.68073775469674e-05,0.000299851269917558,-1.38619962734093,-0.879081063161887,52,55,"PARP1; PARP2; PARP3; TNKS2",-97.7083825730718,TRUE,TRUE
"3","lapatinib","208908","GI1","trt_cp","down",-0.368474721799242,2.75036730676679e-05,0.000299851269917558,-1.32847175705014,-0.952866514841809,52,55,"CYP3A5; EGFR; ERBB2; ERBB4",-92.9321279445364,TRUE,TRUE
"4","nimodipine","4497","GI1","trt_cp","down",-0.360196563051705,2.78953392980619e-05,0.000299851269917558,-1.29862629019482,-0.738114659475119,52,55,"AHR; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CFTR; NR3C2",-92.1669424092019,TRUE,FALSE
"5","pamidronate",NA,"GI1","trt_cp","down",-0.358832403995712,2.79388577681057e-05,0.000299851269917558,-1.29370805111139,0,52,55,"FDPS",-94.7136216812416,TRUE,FALSE
"6","pentoxifylline","4740","GI1","trt_cp","down",-0.35603304058017,2.81782093533464e-05,0.000299851269917558,-1.28361543141388,0.825358677499584,52,55,"ACHE; ADORA1; ADORA2A; ADRA2B; CHIA; F3; ICAM1; IFNG; IL10; IL6; ITGAM; LTA; MPO; NT5E; PDE4A; PDE4B; PDE5A; TNF",-92.4988182462775,TRUE,TRUE
"7","imatinib","123596","GI1","trt_cp","down",-0.348190117169516,2.97013558048787e-05,0.000299851269917558,-1.25533913014445,0,52,55,"ABCG2; ABL1; ABL2; BCR; CRKL; CSF1R; CYP2C8; CYP3A5; DDR1; DDR2; ETV6; FIP1L1; FYN; KIT; LYN; MCL1; NQO2; NTRK1; NUP214; PDGFRA; PDGFRB; RET; STAT5A; YES1",-90.928070590089,TRUE,TRUE
"8","galantamine","9651","GI1","trt_cp","down",-0.344984048386892,3.03976513255791e-05,0.000299851269917558,-1.24378020472325,0.691764484731084,52,55,"ACHE; BCHE; CHRNA1; CHRNA10; CHRNA2; CHRNA3; CHRNA4; CHRNA5; CHRNA6; CHRNA7; CHRNA9; CHRNB1; CHRNB2; CHRNB3; CHRNB4; CHRND; CHRNE; CHRNG",-90.718309304341,TRUE,FALSE
"9","thioridazine","5452","GI1","trt_cp","down",-0.340118408181419,3.3356907288556e-05,0.000302887757641879,-1.22623798212145,-0.814810437348094,52,55,"ADRA1A; ADRA1B; CHRNA7; DRD1; HRH1; HTR1E; HTR6; HTR7; KCNH2; MALT1",-89.1938470022847,TRUE,FALSE
"10","gabapentin","3446","GI1","trt_cp","down",-0.340104976460968,3.3356907288556e-05,0.000302887757641879,-1.22618955638093,0,52,55,"ADORA1; BCAT1; BCAT2; CACNA1B; CACNA2D1; CACNA2D2; GABBR1; GABBR2; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B",-89.6635941069881,TRUE,FALSE
"11","atorvastatin","2250","GI1","trt_cp","down",-0.337102351949466,3.62291263114454e-05,0.000311582146368206,-1.21536411402472,-0.796026913704883,52,55,"AHR; APOA1; APOB; APOE; CCL2; CD40LG; CETP; CRP; CYP3A5; DPP4; FASLG; HMGCR; IL6; LDLR; LPL; MTTP; PON1; RHOA; SERPINE1; SLCO1B1; VCAM1",-88.1479949578508,TRUE,TRUE
"12","floxuridine","3363","GI1","trt_cp","down",-0.330283269712452,4.80226316933093e-05,0.000364700479595049,-1.19077909468706,-0.933949187347279,52,55,"TYMS",-91.2944142440715,TRUE,FALSE
"13","spironolactone","11869580","GI1","trt_cp","down",-0.329925170045752,4.80226316933093e-05,0.000364700479595049,-1.18948802839329,0,52,55,"AR; CACNA1A; CACNA1B; CACNA1C; CACNA1D; CACNA1F; CACNA1G; CACNA1H; CACNA1I; CACNA1S; CACNA2D1; CACNA2D2; CACNA2D3; CACNB1; CACNB2; CACNB3; CACNB4; CACNG1; CYP11B2; GPER1; KCNA5; KCND3; NR1I2; NR3C1; NR3C2; PGR; SCNN1A; SHBG; SRD5A1; SRD5A2; SRD5A3",-84.8154494603325,TRUE,FALSE
"14","dasatinib","3062316","GI1","trt_cp","down",-0.32951605152358,4.80226316933093e-05,0.000364700479595049,-1.1880130224571,-0.99988004307535,52,55,"ABL1; ABL2; ACVRL1; BCR; BLK; BMPR1B; BMX; BTK; CSK; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; ERBB3; ERBB4; FGR; FRK; FYN; GAK; HCK; HSPA8; KIT; LCK; LIMK1; LIMK2; LYN; MAP2K5; MAP3K19; MAP3K20; MAP4K5; MAPK14; MLTK; NEK11; NLK; NR4A3; PDGFRA; PDGFRB; PPAT; PTK6; RIPK2; SIK1; SIK2; SIK3; SRC; SRMS; STAT5B; TEC; TESK1; TNK2; TNNI3K; TXK; TYK2; YES1",-89.256873867486,TRUE,TRUE
