,name,moa,targets,status,GBM_CT,NCS,WTCS_Pval,Tau,FDA_database
1,SC-144,P glycoprotein inhibitor,,Preclinical,FALSE,-1.65160389,2.34E-05,-99.44556055,NA
2,API-001,sigma receptor antagonist,SIGMAR1,Phase 2,FALSE,-1.513269887,2.51E-05,-97.66899078,NA
3,CP-339818,potassium channel blocker,KCNA3,Preclinical,FALSE,-1.482797823,2.55E-05,-97.10962735,NA
4,stemregenin-1,aryl hydrocarbon receptor antagonist,AHR,Preclinical,FALSE,-1.449682905,2.59E-05,-95.35472308,NA
5,CGM-097,selective inhibitor of p53-Mdm2 interaction,NA,NA,FALSE,-1.438155716,2.60E-05,-97.47301662,NA
6,AZD-5363/capivasertib,selective ATP-competitive pan-AKT kinase inhibitor,NA,NA,FALSE,-1.43617082,2.60E-05,-96.17308753,NA
7,entinostat,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC9",Phase 3,FALSE,-1.434199841,2.61E-05,-96.99145198,NA
8,GS-9973,SYK inhibitor,SYK,Phase 2,FALSE,-1.421132605,2.62E-05,-96.50397857,NA
9,Ro-20-1724,phosphodiesterase inhibitor,"PDE3A, PDE4A, PDE4B, PDE4C, PDE4D",Preclinical,FALSE,-1.380085389,2.67E-05,-96.33262428,NA
10,N20C,glutamate receptor antagonist,,Preclinical,FALSE,-1.365275731,2.69E-05,-95.9140865,NA
11,LY-456236,Selective mGlu1 antagonist,NA,NA,FALSE,-1.361178857,2.69E-05,-97.01114788,NA
12,SKI-II,sphingosine kinase inhibitor,SPHK1,Preclinical,FALSE,-1.346579757,2.71E-05,-94.20842196,NA
13,taselisib,PI3K inhibitor,PIK3CA,Phase 3,FALSE,-1.320280181,2.75E-05,-91.8478689,NA
14,fludarabine,ribonucleotide reductase inhibitor,"ADA, DCK, POLA1, RRM1, RRM2",Launched,TRUE,-1.318214923,2.75E-05,-92.47321358,Prescription/Discontinued
15,SM-21,sigma receptor antagonist,PGRMC1,Preclinical,FALSE,-1.305579277,2.76E-05,-93.74655322,NA
16,rucaparib,PARP inhibitor,"PARP1, PARP2",Phase 3,TRUE,-1.295509599,2.78E-05,-95.6137241,Prescription
