,pert,PCID,cell,type,trend,WTCS,WTCS_Pval,WTCS_FDR,NCS,NCSct,N_upset,N_downset,t_gn_sym,jlf_tau,FDA-approved,FRDA-CT,
1,YL-54,73707438,1HAE,trt_cp,down,-0.4162084,2.54E-05,0.000549895,-1.578377469,0.646492708,128,100,NA,-99.59426456,,,
2,BRD-K68144790,NA,1HAE,trt_cp,up,0.384470082,2.68E-05,0.000549895,1.57585206,0.77600282,128,100,NA,99.55979674,,,
3,cortisone,222786,1HAE,trt_cp,up,0.379370892,2.70E-05,0.000549895,1.554951683,0,128,100,AKR1D1; HSD11B2; NR3C1; SRD5A1; SRD5A3,99.31556764,,,
4,BRD-K03670461,NA,1HAE,trt_cp,up,0.364316768,2.77E-05,0.000549895,1.493248388,0,128,100,NA,99.11269991,,,
5,tyrphostin-A9,5614,1HAE,trt_cp,down,-0.393350952,2.64E-05,0.000549895,-1.491695699,-1.062376448,128,100,NA,-97.4208225,,,
6,cediranib,9933475,1HAE,trt_cp,up,0.362380262,2.78E-05,0.000549895,1.485311106,0,128,100,CSF1R; DDR1; DDR2; EPHA6; FGFR2; FGFR3; FLT1; FLT3; FLT4; KDR; KIT; PDGFRA; PDGFRB; RET; SLK; STK10; STK35,98.00874498,,,
7,BI-78D3,2747117,1HAE,trt_cp,down,-0.390402538,2.65E-05,0.000549895,-1.480514497,0,128,100,MAPK8,-98.68825337,,,
8,MK-2206,24964624,1HAE,trt_cp,up,0.352668253,2.85E-05,0.000549895,1.445503873,0,128,100,AKT1; AKT2; AKT3,98.24214134,,,
9,CCT-018159,984170,1HAE,trt_cp,down,-0.375646662,2.72E-05,0.000549895,-1.42455613,-1.053043018,128,100,NA,-99.0398251,,,
10,BMS-345541,9813758,1HAE,trt_cp,down,-0.366126013,2.76E-05,0.000549895,-1.388451196,0,128,100,CHUK; IKBKB,-96.71373986,,,
11,decitabine,451668,1HAE,trt_cp,down,-0.364339402,2.77E-05,0.000549895,-1.381675868,0,128,100,DNMT1,-97.87481289,YES,no,https://academic.oup.com/hmg/article/29/23/3818/6039275
12,BRD-K37846922,NA,1HAE,trt_cp,down,-0.360704541,2.79E-05,0.000549895,-1.36789147,-0.082853824,128,100,NA,-97.36862838,,,"3,3'-diindolylmethane"
13,BRD-K61463582,1674,1HAE,trt_cp,up,0.328135618,5.31E-05,0.000701645,1.344950397,0,128,100,NA,98.18108406,,,
14,JNJ-26481585,11538455,1HAE,trt_cp,up,0.326043251,5.94E-05,0.000757407,1.336374281,0,128,100,NA,95.18435358,,,
15,EI-247,73707420,1HAE,trt_cp,down,-0.351834317,2.87E-05,0.000549895,-1.334253126,0,128,100,INSR,-96.75707083,,,
16,rottlerin,5281847,1HAE,trt_cp,down,-0.349206959,2.94E-05,0.000549895,-1.324289457,-0.887232171,128,100,KCNH2; TGM2,-96.27747577,,,
17,SYK-inhibitor,6419747,1HAE,trt_cp,up,0.31704219,0.000111842,0.001217902,1.299481057,0,128,100,NA,94.68407784,,,
18,TPCA-1,9903786,1HAE,trt_cp,down,-0.338848173,3.44E-05,0.000557763,-1.285006073,-1.058156674,128,100,CDC42BPB; EPHB1; IKBKB; MAP3K9; NTRK3; NUAK1; RET; TNK2; TYK2,-94.97262271,,,
