"","X","Var1","Var2","log_fold_change","Sensitive"
"17151",389663,"GOS3","saxagliptin",-0.338733809924,TRUE
"17152",389691,"GAMG","saxagliptin",-0.405806388151,TRUE
"17153",389693,"GMS10","saxagliptin",-0.198773885277,TRUE
"17154",389729,"NMCG1","saxagliptin",-0.0364710510967,TRUE
"17155",389745,"KALS1","saxagliptin",0.156490336922,TRUE
"17156",389752,"DKMG","saxagliptin",-0.396633116337,TRUE
"17157",389765,"AM38","saxagliptin",NA,NA
"17158",389776,"SNU466","saxagliptin",0.247353759253,TRUE
"17159",389814,"SNU1105","saxagliptin",-0.0875263842576,TRUE
"17160",389817,"SF295","saxagliptin",-0.0758650977758,TRUE
"17161",389856,"KNS60","saxagliptin",-0.361607755428,TRUE
"17162",389868,"CAS1","saxagliptin",-0.221046214002,TRUE
"17163",389872,"YH13","saxagliptin",0.778022889536,FALSE
"17164",389880,"KNS81","saxagliptin",-0.324106195903,TRUE
"17165",389914,"SNU489","saxagliptin",-0.535189262847,TRUE
"17166",389923,"A172","saxagliptin",0.529033128973,FALSE
"17167",389930,"YKG1","saxagliptin",-0.709532848033,TRUE
"17168",389931,"T98G","saxagliptin",-0.105904190634,TRUE
"17169",389942,"LN229","saxagliptin",-0.892837230908,TRUE
"17170",389957,"KNS42","saxagliptin",-0.187897103081,TRUE
"17171",389958,"SNU201","saxagliptin",-1.17918147353,TRUE
"17172",390025,"GB1","saxagliptin",-0.567971502894,TRUE
"17173",390035,"GI1","saxagliptin",0.445291402448,FALSE
"17174",390072,"LN18","saxagliptin",-0.324816847556,TRUE
"17175",390102,"DBTRG05MG","saxagliptin",-0.509184660448,TRUE
"17501",397615,"GOS3","thioridazine",-0.381869218834,TRUE
"17502",397643,"GAMG","thioridazine",0.496331710393,FALSE
"17503",397645,"GMS10","thioridazine",0.18690451594,TRUE
"17504",397681,"NMCG1","thioridazine",0.119296177136,TRUE
"17505",397697,"KALS1","thioridazine",-0.691297201861,TRUE
"17506",397704,"DKMG","thioridazine",-0.621946365676,TRUE
"17507",397717,"AM38","thioridazine",NA,NA
"17508",397728,"SNU466","thioridazine",0.201958406926,TRUE
"17509",397766,"SNU1105","thioridazine",-0.660874157319,TRUE
"17510",397769,"SF295","thioridazine",0.542654504185,FALSE
"17511",397808,"KNS60","thioridazine",0.0747962070268,TRUE
"17512",397820,"CAS1","thioridazine",-0.865456626437,TRUE
"17513",397824,"YH13","thioridazine",-0.488252206634,TRUE
"17514",397832,"KNS81","thioridazine",-0.423773678287,TRUE
"17515",397866,"SNU489","thioridazine",0.369600504294,FALSE
"17516",397875,"A172","thioridazine",0.269913273866,TRUE
"17517",397882,"YKG1","thioridazine",-0.337528424596,TRUE
"17518",397883,"T98G","thioridazine",-0.183868944974,TRUE
"17519",397894,"LN229","thioridazine",0.024828324705,TRUE
"17520",397909,"KNS42","thioridazine",-0.488312601058,TRUE
"17521",397910,"SNU201","thioridazine",-1.01100751859,TRUE
"17522",397977,"GB1","thioridazine",-0.0930943289097,TRUE
"17523",397987,"GI1","thioridazine",-0.220570032819,TRUE
"17524",398024,"LN18","thioridazine",0.0961973423036,TRUE
"17525",398054,"DBTRG05MG","thioridazine",-0.250114602956,TRUE
"28301",642991,"GOS3","rivastigmine",-0.271019437404,TRUE
"28302",643019,"GAMG","rivastigmine",0.32377453146,FALSE
"28303",643021,"GMS10","rivastigmine",-0.271397075422,TRUE
"28304",643057,"NMCG1","rivastigmine",0.0995943437068,TRUE
"28305",643073,"KALS1","rivastigmine",-0.404951911364,TRUE
"28306",643080,"DKMG","rivastigmine",-0.128401796885,TRUE
"28307",643093,"AM38","rivastigmine",NA,NA
"28308",643104,"SNU466","rivastigmine",0.747533057365,FALSE
"28309",643142,"SNU1105","rivastigmine",0.0727280616608,TRUE
"28310",643145,"SF295","rivastigmine",0.337133611999,FALSE
"28311",643184,"KNS60","rivastigmine",-0.430211637866,TRUE
"28312",643196,"CAS1","rivastigmine",-0.234079872606,TRUE
"28313",643200,"YH13","rivastigmine",-0.337323231669,TRUE
"28314",643208,"KNS81","rivastigmine",-0.241381535262,TRUE
"28315",643242,"SNU489","rivastigmine",0.308603016959,FALSE
"28316",643251,"A172","rivastigmine",0.678036818683,FALSE
"28317",643258,"YKG1","rivastigmine",-0.0148301725711,TRUE
"28318",643259,"T98G","rivastigmine",-0.334928220583,TRUE
"28319",643270,"LN229","rivastigmine",0.215459888102,TRUE
"28320",643285,"KNS42","rivastigmine",-0.205464744621,TRUE
"28321",643286,"SNU201","rivastigmine",-0.0499514974247,TRUE
"28322",643353,"GB1","rivastigmine",-0.137968337129,TRUE
"28323",643363,"GI1","rivastigmine",-0.745038774185,TRUE
"28324",643400,"LN18","rivastigmine",0.711658523748,FALSE
"28325",643430,"DBTRG05MG","rivastigmine",0.0909568539751,TRUE
"31576",717399,"GOS3","vardenafil",-0.180785274322,TRUE
"31577",717427,"GAMG","vardenafil",-0.0368812148146,TRUE
"31578",717429,"GMS10","vardenafil",-0.282361975581,TRUE
"31579",717465,"NMCG1","vardenafil",0.110856988821,TRUE
"31580",717481,"KALS1","vardenafil",-0.115597700711,TRUE
"31581",717488,"DKMG","vardenafil",-0.26490453045,TRUE
"31582",717501,"AM38","vardenafil",-0.258253171499,TRUE
"31583",717512,"SNU466","vardenafil",-0.303298920447,TRUE
"31584",717550,"SNU1105","vardenafil",-0.500266625857,TRUE
"31585",717553,"SF295","vardenafil",0.690824330945,FALSE
"31586",717592,"KNS60","vardenafil",-0.11849608055,TRUE
"31587",717604,"CAS1","vardenafil",0.166684789622,TRUE
"31588",717608,"YH13","vardenafil",-0.701194836062,TRUE
"31589",717616,"KNS81","vardenafil",0.104844245711,TRUE
"31590",717650,"SNU489","vardenafil",-0.616207411378,TRUE
"31591",717659,"A172","vardenafil",-0.353582185131,TRUE
"31592",717666,"YKG1","vardenafil",0.796980697938,FALSE
"31593",717667,"T98G","vardenafil",-0.239639709965,TRUE
"31594",717678,"LN229","vardenafil",-0.00890483042535,TRUE
"31595",717693,"KNS42","vardenafil",0.0313514821698,TRUE
"31596",717694,"SNU201","vardenafil",-0.386416593484,TRUE
"31597",717761,"GB1","vardenafil",-0.833131581856,TRUE
"31598",717771,"GI1","vardenafil",0.14868025602,TRUE
"31599",717808,"LN18","vardenafil",-0.261733169555,TRUE
"31600",717838,"DBTRG05MG","vardenafil",-0.329787842305,TRUE
