"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa05206","MicroRNAs in cancer","31/81","1500/20464",3.09888117963943e-15,8.61488967939762e-13,2.80530296262096e-13,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/atorvastatin/erlotinib/masitinib/imatinib/tetrandrine/benzbromarone/pac-1/digoxin/dabrafenib/quizartinib/crizotinib/lomerizine/gefitinib/sulfasalazine/abt-737",31
"2","hsa01521","EGFR tyrosine kinase inhibitor resistance","23/81","1052/20464",9.76299547079457e-12,1.35705637044044e-09,4.41904005520175e-10,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/pentoxifylline/as-605240/atorvastatin/erlotinib/masitinib/imatinib/emetine/dabrafenib/quizartinib/crizotinib/gefitinib/abt-737",23
"3","hsa04630","JAK-STAT signaling pathway","21/81","880/20464",1.87423324540013e-11,1.73678947407078e-09,5.6555810212074e-10,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/pentoxifylline/as-605240/atorvastatin/erlotinib/masitinib/imatinib/dabrafenib/quizartinib/oxypurinol/gefitinib/abt-737",21
"4","hsa05165","Human papillomavirus infection","26/81","1478/20464",3.98892585088799e-11,2.77230346636715e-09,9.02756903095703e-10,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/lapatinib/pentoxifylline/as-605240/atorvastatin/erlotinib/masitinib/imatinib/pac-1/dabrafenib/sitagliptin/quizartinib/gefitinib/sulfasalazine/abt-737",26
"5","hsa04072","Phospholipase D signaling pathway","23/81","1177/20464",9.27932403454177e-11,5.15930416320522e-09,1.68004603572756e-09,"ly-456236/ski-ii/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/as-605240/atorvastatin/erlotinib/masitinib/imatinib/anandamide/dabrafenib/indoprofen/enalaprilat/quizartinib/reparixin/gefitinib/tolvaptan",23
"6","hsa04015","Rap1 signaling pathway","26/81","1566/20464",1.42359324403305e-10,6.59598203068647e-09,2.14787752608496e-09,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/rimonabant/nifedipine/vandetanib/sgx-523/lapatinib/pentoxifylline/as-605240/gabapentin/atorvastatin/erlotinib/masitinib/imatinib/amantadine/anandamide/dabrafenib/bepridil/zm-241385/quizartinib/crizotinib/gefitinib/cv-1808",26
"7","hsa05218","Melanoma","18/81","700/20464",2.01337195335723e-10,7.99596290047586e-09,2.60375921787552e-09,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/as-605240/erlotinib/masitinib/imatinib/dabrafenib/quizartinib/crizotinib/gefitinib/abt-737",18
"8","hsa04014","Ras signaling pathway","27/81","1836/20464",8.46090176294595e-10,2.94016336262372e-08,9.574178310702e-09,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/gabapentin/atorvastatin/erlotinib/masitinib/imatinib/amantadine/anandamide/dabrafenib/sitagliptin/bepridil/quizartinib/crizotinib/gefitinib/sulfasalazine/abt-737",27
"9","hsa05163","Human cytomegalovirus infection","27/81","1904/20464",1.8837560326856e-09,5.81871307873995e-08,1.8947721498358e-08,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/lapatinib/pentoxifylline/as-605240/doxycycline/atorvastatin/erlotinib/masitinib/imatinib/pac-1/dabrafenib/sitagliptin/indoprofen/bepridil/quizartinib/reparixin/gefitinib/sulfasalazine",27
"10","hsa05214","Glioma","18/81","816/20464",2.31661563334104e-09,6.44019146068809e-08,2.09714678386663e-08,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib/masitinib/imatinib/dabrafenib/bepridil/quizartinib/gefitinib",18
"11","hsa04725","Cholinergic synapse","20/81","1042/20464",2.78143539388186e-09,7.02944581362869e-08,2.28902817104153e-08,"thioridazine/flupirtine/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/obatoclax/ambenonium/pentoxifylline/as-605240/gabapentin/imatinib/galantamine/amantadine/physostigmine/bepridil/lomerizine/gefitinib/abt-737",20
"12","hsa05226","Gastric cancer","19/81","1023/20464",1.2786843089367e-08,2.96228531570336e-07,9.64621496215406e-08,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/sgx-523/lapatinib/as-605240/erlotinib/tetrandrine/digoxin/dabrafenib/crizotinib/lomerizine/gefitinib/abt-737",19
"13","hsa05170","Human immunodeficiency virus 1 infection","24/81","1673/20464",1.6119187010787e-08,3.44702614538368e-07,1.12246970277545e-07,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/obatoclax/pentoxifylline/as-605240/doxycycline/atorvastatin/imatinib/pac-1/dabrafenib/sitagliptin/bepridil/crizotinib/gefitinib/sulfasalazine/abt-737",24
"14","hsa05014","Amyotrophic lateral sclerosis","20/81","1174/20464",2.08424751346999e-08,3.86627903407686e-07,1.25899279413332e-07,"fludarabine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/obatoclax/l-693403/lapatinib/pentoxifylline/gabapentin/imatinib/amantadine/pac-1/enflurane/gefitinib/sulfasalazine/abt-737",20
"15","hsa05152","Tuberculosis","21/81","1298/20464",2.08612178097672e-08,3.86627903407686e-07,1.25899279413332e-07,"ski-ii/fludarabine/thioridazine/bi-2536/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/pentoxifylline/atorvastatin/pac-1/dabrafenib/bepridil/crizotinib/gefitinib/sulfasalazine/abt-737",21
"16","hsa05230","Central carbon metabolism in cancer","18/81","971/20464",3.42134573462505e-08,5.94458821391103e-07,1.93576140248523e-07,"az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/sgx-523/lapatinib/as-605240/erlotinib/masitinib/imatinib/dabrafenib/quizartinib/crizotinib/gefitinib",18
"17","hsa04022","cGMP-PKG signaling pathway","22/81","1509/20464",5.70481599607279e-08,8.90210569026416e-07,2.89883032700764e-07,"thioridazine/papaverine/az-628/vemurafenib/pi-103/ly-294002/nifedipine/spironolactone/pentoxifylline/as-605240/gabapentin/icosapent/atorvastatin/zardaverine/zibotentan/digoxin/dabrafenib/orciprenaline/bepridil/zm-241385/gefitinib/abt-737",22
"18","hsa04726","Serotonergic synapse","21/81","1377/20464",5.76395332463147e-08,8.90210569026416e-07,2.89883032700764e-07,"thioridazine/az-628/vemurafenib/suprofen/ly-294002/nifedipine/spironolactone/as-605240/gabapentin/tetrindole/imatinib/benzbromarone/pac-1/zk-93423/enflurane/dabrafenib/sitagliptin/bepridil/lomerizine/gefitinib/sulfasalazine",21
"19","hsa05034","Alcoholism","19/81","1131/20464",6.32371554722385e-08,9.25259432699069e-07,3.01296142416206e-07,"entinostat/fludarabine/thioridazine/az-628/vemurafenib/vorinostat/panobinostat/nifedipine/pentoxifylline/as-605240/gabapentin/tetrindole/amantadine/dabrafenib/bepridil/zm-241385/crizotinib/gefitinib/cv-1808",19
"20","hsa05160","Hepatitis C","20/81","1262/20464",6.8815410610209e-08,9.56534207481905e-07,3.11480279604104e-07,"fludarabine/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/icosapent/atorvastatin/erlotinib/pac-1/dabrafenib/sitagliptin/gefitinib/sulfasalazine/abt-737",20
"21","hsa05169","Epstein-Barr virus infection","21/81","1405/20464",8.12044050100707e-08,1.07499164727617e-06,3.50054076735142e-07,"entinostat/fludarabine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/vandetanib/obatoclax/pentoxifylline/as-605240/doxycycline/atorvastatin/masitinib/imatinib/pac-1/crizotinib/gefitinib/sulfasalazine/abt-737",21
"22","hsa04722","Neurotrophin signaling pathway","19/81","1164/20464",9.93088389034879e-08,1.25490260068953e-06,4.08639241421051e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/vandetanib/obatoclax/as-605240/atorvastatin/imatinib/dabrafenib/sitagliptin/bepridil/crizotinib/gefitinib/sulfasalazine/abt-737",19
"23","hsa05224","Breast cancer","18/81","1048/20464",1.08242136339698e-07,1.30831799575809e-06,4.26033122435425e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/spironolactone/vandetanib/lapatinib/as-605240/erlotinib/masitinib/imatinib/dabrafenib/quizartinib/gefitinib/sulfasalazine",18
"24","hsa05220","Chronic myeloid leukemia","16/81","822/20464",1.15720844415599e-07,1.34043311448069e-06,4.36490904374628e-07,"entinostat/fludarabine/az-628/vemurafenib/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/obatoclax/as-605240/imatinib/dabrafenib/gefitinib/sulfasalazine/abt-737",16
"25","hsa05221","Acute myeloid leukemia","16/81","827/20464",1.2567514977666e-07,1.39750766551645e-06,4.55076331822851e-07,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/pentoxifylline/as-605240/icosapent/masitinib/imatinib/dabrafenib/quizartinib/gefitinib/sulfasalazine/abt-737",16
"26","hsa04261","Adrenergic signaling in cardiomyocytes","18/81","1089/20464",1.91724937173203e-07,2.04998202054425e-06,6.67544315663784e-07,"thioridazine/flupirtine/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/obatoclax/as-605240/gabapentin/icosapent/digoxin/orciprenaline/enalaprilat/bepridil/lomerizine/gefitinib/abt-737",18
"27","hsa05223","Non-small cell lung cancer","17/81","973/20464",2.04590753131636e-07,2.10652701372574e-06,6.85957300948176e-07,"fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/sgx-523/lapatinib/as-605240/erlotinib/imatinib/dabrafenib/quizartinib/crizotinib/gefitinib/abt-737",17
"28","hsa05168","Herpes simplex virus 1 infection","18/81","1122/20464",2.98013908842755e-07,2.8701490683653e-06,9.34618780308276e-07,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/obatoclax/pentoxifylline/as-605240/doxycycline/atorvastatin/pac-1/sitagliptin/crizotinib/gefitinib/sulfasalazine/abt-737",18
"29","hsa05020","Prion disease","20/81","1382/20464",2.99404039505733e-07,2.8701490683653e-06,9.34618780308276e-07,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/nifedipine/spironolactone/pentoxifylline/as-605240/gabapentin/atorvastatin/imatinib/amantadine/pac-1/enflurane/bepridil/lomerizine/gefitinib/sulfasalazine/abt-737",20
"30","hsa04071","Sphingolipid signaling pathway","20/81","1401/20464",3.72297102991659e-07,3.44995315438937e-06,1.12342283709764e-06,"ski-ii/fludarabine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/obatoclax/pentoxifylline/as-605240/gabapentin/atorvastatin/imatinib/benzbromarone/anandamide/dabrafenib/zm-241385/gefitinib/sulfasalazine/abt-737",20
"31","hsa05215","Prostate cancer","19/81","1274/20464",4.01179947708481e-07,3.59767824074057e-06,1.17152718176331e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/spironolactone/vandetanib/obatoclax/lapatinib/as-605240/erlotinib/masitinib/imatinib/dabrafenib/quizartinib/gefitinib/sulfasalazine/abt-737",19
"32","hsa05231","Choline metabolism in cancer","16/81","912/20464",4.68961080628315e-07,4.07409938795849e-06,1.32666621493537e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/lapatinib/as-605240/erlotinib/masitinib/imatinib/anandamide/dabrafenib/quizartinib/gefitinib",16
"33","hsa04928","Parathyroid hormone synthesis, secretion and action","15/81","806/20464",5.39025077348323e-07,4.5408779243283e-06,1.47866528395393e-06,"papaverine/az-628/vemurafenib/ly-294002/vandetanib/obatoclax/lapatinib/pentoxifylline/atorvastatin/erlotinib/zardaverine/anandamide/dabrafenib/gefitinib/abt-737",15
"34","hsa04650","Natural killer cell mediated cytotoxicity","14/81","707/20464",6.49973812149908e-07,5.31449175816689e-06,1.73058042863443e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/pentoxifylline/as-605240/atorvastatin/imatinib/pac-1/dabrafenib/sitagliptin/gefitinib/sulfasalazine",14
"35","hsa04810","Regulation of actin cytoskeleton","18/81","1187/20464",6.78697430227887e-07,5.39079673152436e-06,1.75542793983754e-06,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/atorvastatin/erlotinib/masitinib/imatinib/dabrafenib/enalaprilat/bepridil/quizartinib/gefitinib",18
"36","hsa04068","FoxO signaling pathway","19/81","1326/20464",7.36756914476055e-07,5.68940061734287e-06,1.85266358610938e-06,"ly-456236/bi-2536/az-628/vemurafenib/piceatannol/pi-103/dasatinib/ly-294002/vandetanib/lapatinib/pentoxifylline/as-605240/atorvastatin/erlotinib/dabrafenib/sitagliptin/crizotinib/gefitinib/sulfasalazine",19
"37","hsa05210","Colorectal cancer","16/81","949/20464",7.94439427635868e-07,5.96903137521003e-06,1.94372093248036e-06,"fludarabine/az-628/vemurafenib/pi-103/ly-294002/ku-0063794/vandetanib/obatoclax/lapatinib/as-605240/atorvastatin/erlotinib/pac-1/dabrafenib/gefitinib/abt-737",16
"38","hsa04064","NF-kappa B signaling pathway","14/81","747/20464",1.24793205663431e-06,9.12960820379838e-06,2.97291293270224e-06,"rucaparib/thioridazine/dasatinib/ly-294002/vandetanib/obatoclax/pentoxifylline/atorvastatin/masitinib/imatinib/crizotinib/gefitinib/sulfasalazine/abt-737",14
"39","hsa04666","Fc gamma R-mediated phagocytosis","13/81","643/20464",1.3593743222571e-06,9.68989901506341e-06,3.15536279930123e-06,"ski-ii/az-628/vemurafenib/pi-103/dasatinib/ly-294002/vandetanib/as-605240/masitinib/imatinib/anandamide/dabrafenib/gefitinib",13
