"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"GO:0031929","BP","GO:0031929","TOR signaling","11/41","389/22568",6.89044275261898e-11,3.28536310444873e-07,1.81545033787424e-07,"entinostat/thioridazine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/as-605240",11
"GO:0032006","BP","GO:0032006","regulation of TOR signaling","10/41","332/22568",3.10359193672082e-10,7.39896317714245e-07,4.08857400926959e-07,"entinostat/thioridazine/vorinostat/piceatannol/pi-103/dasatinib/ly-294002/panobinostat/vandetanib/as-605240",10
"GO:1905207","BP","GO:1905207","regulation of cardiocyte differentiation","10/41","355/22568",5.94348479088427e-10,9.44617849431207e-07,5.21983944967836e-07,"rucaparib/pi-103/ly-294002/nifedipine/ku-0063794/spironolactone/vandetanib/lapatinib/icosapent/erlotinib",10
"GO:0043367","BP","GO:0043367","CD4-positive, alpha-beta T cell differentiation","9/41","327/22568",5.87843674845154e-09,7.00709660415423e-06,3.87203346878268e-06,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/pentoxifylline",9
"GO:0043369","BP","GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","7/41","146/22568",7.67513911872356e-09,7.31901266361479e-06,4.04439436087686e-06,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/obatoclax/pentoxifylline",7
"GO:0010591","BP","GO:0010591","regulation of lamellipodium assembly","7/41","150/22568",9.26132801141285e-09,7.35966865973607e-06,4.06686035308182e-06,"vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib",7
"GO:0060996","BP","GO:0060996","dendritic spine development","10/41","487/22568",1.22929575634452e-08,8.37326023750093e-06,4.62695831297793e-06,"entinostat/bi-2536/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib/icosapent",10
"GO:0035710","BP","GO:0035710","CD4-positive, alpha-beta T cell activation","9/41","380/22568",2.15518709982566e-08,1.03521092697459e-05,5.7204454040476e-06,"thioridazine/az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/pentoxifylline",9
"GO:0010830","BP","GO:0010830","regulation of myotube differentiation","8/41","265/22568",2.2223141395042e-08,1.03521092697459e-05,5.7204454040476e-06,"entinostat/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/obatoclax",8
"GO:0032008","BP","GO:0032008","positive regulation of TOR signaling","7/41","172/22568",2.38828024260077e-08,1.03521092697459e-05,5.7204454040476e-06,"entinostat/thioridazine/vorinostat/pi-103/ly-294002/panobinostat/as-605240",7
"GO:0043368","BP","GO:0043368","positive T cell selection","7/41","172/22568",2.38828024260077e-08,1.03521092697459e-05,5.7204454040476e-06,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/obatoclax/pentoxifylline",7
"GO:0002360","BP","GO:0002360","T cell lineage commitment","7/41","185/22568",3.94398098314353e-08,1.5670751106357e-05,8.659460000709e-06,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/obatoclax/pentoxifylline",7
"GO:0043586","BP","GO:0043586","tongue development","7/41","193/22568",5.27382952524649e-08,1.93427839818271e-05,1.06885791916534e-05,"entinostat/vorinostat/dasatinib/panobinostat/vandetanib/lapatinib/erlotinib",7
"GO:0055118","BP","GO:0055118","negative regulation of cardiac muscle contraction","5/41","58/22568",6.56239509356e-08,2.23496427186386e-05,1.2350131518181e-05,"papaverine/pi-103/ly-294002/pentoxifylline/as-605240",5
"GO:0045742","BP","GO:0045742","positive regulation of epidermal growth factor receptor signaling pathway","7/41","202/22568",7.2054694602277e-08,2.23520314285297e-05,1.23514514892286e-05,"dasatinib/ly-294002/spironolactone/vandetanib/pentoxifylline/gabapentin/erlotinib",7
"GO:1901186","BP","GO:1901186","positive regulation of ERBB signaling pathway","7/41","204/22568",7.70754511060382e-08,2.23520314285297e-05,1.23514514892286e-05,"dasatinib/ly-294002/spironolactone/vandetanib/pentoxifylline/gabapentin/erlotinib",7
"GO:0030032","BP","GO:0030032","lamellipodium assembly","7/41","205/22568",7.96947429289021e-08,2.23520314285297e-05,1.23514514892286e-05,"vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib",7
"GO:0045988","BP","GO:0045988","negative regulation of striated muscle contraction","5/41","62/22568",9.21842187139027e-08,2.4418575268216e-05,1.34933976281227e-05,"papaverine/pi-103/ly-294002/pentoxifylline/as-605240",5
"GO:1904036","BP","GO:1904036","negative regulation of epithelial cell apoptotic process","8/41","322/22568",9.98920915148622e-08,2.50676574917296e-05,1.38520723025873e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/ku-0063794/vandetanib/pentoxifylline",8
"GO:0098982","CC","GO:0098982","GABA-ergic synapse","9/41","464/22568",1.18720261577433e-07,2.830291036006e-05,1.56398323541218e-05,"tiagabine/thioridazine/nnc-05-2090/dasatinib/rimonabant/nifedipine/spironolactone/lapatinib/gabapentin",9
"GO:1903078","BP","GO:1903078","positive regulation of protein localization to plasma membrane","9/41","475/22568",1.44782867311527e-07,3.28726053019697e-05,1.81649883148247e-05,"pi-103/dasatinib/ly-294002/spironolactone/vandetanib/lapatinib/pentoxifylline/icosapent/erlotinib",9
"GO:2000108","BP","GO:2000108","positive regulation of leukocyte apoptotic process","7/41","227/22568",1.59617309193047e-07,3.39670399422789e-05,1.87697591344764e-05,"fludarabine/piceatannol/pi-103/dasatinib/ly-294002/pentoxifylline/as-605240",7
"GO:1904377","BP","GO:1904377","positive regulation of protein localization to cell periphery","9/41","482/22568",1.63851073547067e-07,3.39670399422789e-05,1.87697591344764e-05,"pi-103/dasatinib/ly-294002/spironolactone/vandetanib/lapatinib/pentoxifylline/icosapent/erlotinib",9
"GO:0110020","BP","GO:0110020","regulation of actomyosin structure organization","9/41","495/22568",2.05130167388908e-07,4.07525265879298e-05,2.2519333726949e-05,"az-628/vemurafenib/pi-103/dasatinib/ly-294002/nifedipine/ku-0063794/vandetanib/sgx-523",9
"GO:0045063","BP","GO:0045063","T-helper 1 cell differentiation","5/41","75/22568",2.41656782150013e-07,4.60887814916505e-05,2.54680810830098e-05,"pi-103/dasatinib/ly-294002/ku-0063794/vandetanib",5
"GO:0002679","BP","GO:0002679","respiratory burst involved in defense response","6/41","148/22568",2.67347520618776e-07,4.90274222427047e-05,2.70919370084532e-05,"pi-103/dasatinib/ly-294002/vandetanib/pentoxifylline/as-605240",6
"GO:0060998","BP","GO:0060998","regulation of dendritic spine development","8/41","377/22568",3.32417499403954e-07,5.87024680428909e-05,3.24382456533371e-05,"entinostat/bi-2536/vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794",8
"GO:1902743","BP","GO:1902743","regulation of lamellipodium organization","7/41","256/22568",3.60185415475823e-07,5.87704006538388e-05,3.24757843598902e-05,"vorinostat/pi-103/dasatinib/ly-294002/panobinostat/ku-0063794/vandetanib",7
"GO:0045058","BP","GO:0045058","T cell selection","7/41","257/22568",3.69780205456201e-07,5.87704006538388e-05,3.24757843598902e-05,"az-628/vemurafenib/pi-103/ly-294002/ku-0063794/obatoclax/pentoxifylline",7
"GO:0048641","BP","GO:0048641","regulation of skeletal muscle tissue development","7/41","257/22568",3.69780205456201e-07,5.87704006538388e-05,3.24757843598902e-05,"entinostat/vorinostat/dasatinib/ly-294002/panobinostat/vandetanib/obatoclax",7
