"";"name";"moa";"targets";"status";"GBM_CT";"NCS";"WTCS_Pval";"Tau"
"1";"SC-144";"P glycoprotein inhibitor";"";"Preclinical";"FALSE";"-1.65160389009981";"2.34129368835527e-05";"-99.4455605451824"
"2";"API-001";"sigma receptor antagonist";"SIGMAR1";"Phase 2";"FALSE";"-1.51326988749569";"2.51101572152601e-05";"-97.668990782321"
"3";"CP-339818";"potassium channel blocker";"KCNA3";"Preclinical";"FALSE";"-1.48279782336932";"2.54583049756103e-05";"-97.1096273536595"
"4";"stemregenin-1";"aryl hydrocarbon receptor antagonist";"AHR";"Preclinical";"FALSE";"-1.44968290497367";"2.58934896760481e-05";"-95.354723075711"
"5";"CGM-097";NA;NA;NA;"FALSE";"-1.43815571579087";"2.60240450861794e-05";"-97.4730166233357"
"6";"AZD-5363";NA;NA;NA;"FALSE";"-1.4361708199143";"2.60240450861794e-05";"-96.1730875285591"
"7";"entinostat";"HDAC inhibitor";"HDAC1, HDAC2, HDAC3, HDAC9";"Phase 3";"FALSE";"-1.4341998408341";"2.60675635562232e-05";"-96.9914519814071"
"8";"GS-9973";"SYK inhibitor";"SYK";"Phase 2";"FALSE";"-1.42113260541504";"2.62416374363983e-05";"-96.5039785708658"
"9";"Ro-20-1724";"phosphodiesterase inhibitor";"PDE3A, PDE4A, PDE4B, PDE4C, PDE4D";"Preclinical";"FALSE";"-1.38008538856506";"2.67203406068799e-05";"-96.3326242810998"
"10";"N20C";"glutamate receptor antagonist";"";"Preclinical";"FALSE";"-1.36527573082326";"2.6894414487055e-05";"-95.9140865043725"
"11";"LY-456236";NA;NA;NA;"FALSE";"-1.36117885700721";"2.69379329570988e-05";"-97.0111478767825"
"12";"SKI-II";"sphingosine kinase inhibitor";"SPHK1";"Preclinical";"FALSE";"-1.3465797574809";"2.71120068372739e-05";"-94.2084219648625"
"13";"taselisib";"PI3K inhibitor";"PIK3CA";"Phase 3";"FALSE";"-1.3202801811044";"2.74601545976241e-05";"-91.8478689041204"
"14";"fludarabine";"ribonucleotide reductase inhibitor";"ADA, DCK, POLA1, RRM1, RRM2";"Launched";"TRUE";"-1.31821492254675";"2.74601545976241e-05";"-92.4732135822894"
"15";"SM-21";"sigma receptor antagonist";"PGRMC1";"Preclinical";"FALSE";"-1.30557927726942";"2.76342284777992e-05";"-93.7465532183093"
"16";"rucaparib";"PARP inhibitor";"PARP1, PARP2";"Phase 3";"TRUE";"-1.29550959894678";"2.78083023579743e-05";"-95.6137240998976"
"17";"diflunisal";"prostanoid receptor antagonist";"PTGS1, PTGS2";"Launched";"FALSE";"-1.28701027403836";"2.78953392980619e-05";"-93.1202237453715"
"18";"tiagabine";"GABA uptake inhibitor";"SLC6A1";"Launched";"FALSE";"-1.27980405407531";"2.79823762381494e-05";"-92.1620184353581"
"19";"thioridazine";"dopamine receptor antagonist";"DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, HTR2C, HTR6, HTR7";"Withdrawn";"FALSE";"-1.26885743779253";"2.83087647634778e-05";"-91.2363113527141"
"20";"flupirtine";"glutamate receptor antagonist";"ADRA2A, KCNQ1, KCNQ2";"Launched";"FALSE";"-1.25592674089437";"2.88745048740469e-05";"-89.7138186401954"
"21";"papaverine";"phosphodiesterase inhibitor";"PDE10A, PDE4B, PDE5A";"Launched";"FALSE";"-1.25445620443753";"2.88745048740469e-05";"-83.8601985346254"
"22";"BI-2536";"PLK inhibitor";"BRD4, PLK1, PLK2, PLK3";"Phase 2";"FALSE";"-1.24834926699867";"2.9440244984616e-05";"-91.4234223587804"
"23";"AZ-628";"RAF inhibitor";"BRAF, RAF1";"Preclinical";"FALSE";"-1.24616050798398";"2.97013558048787e-05";"-87.5699204285827"
"24";"vemurafenib";"RAF inhibitor";"BRAF, RAF1";"Launched";"FALSE";"-1.24164751377846";"2.99407073901195e-05";"-91.3150949342157"
"25";"vorinostat";"HDAC inhibitor";"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9";"Launched";"TRUE";"-1.23289496280651";"3.03976513255791e-05";"-94.4428031198298"
"26";"piceatannol";"SYK inhibitor";"ATP5A1, ATP5B, ATP5C1, IRF3";"Preclinical";"FALSE";"-1.23002235816697";"3.07457990859294e-05";"-90.049633656346"
"27";"PI-103";"mTOR inhibitor, PI3K inhibitor";"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC";"Preclinical";"FALSE";"-1.22085652331034";"3.25082971227024e-05";"-80.1494918458993"
"28";"suprofen";"cyclooxygenase inhibitor";"PTGS1, PTGS2";"Withdrawn";"FALSE";"-1.21134383876623";"3.43795913345848e-05";"-89.2361931773418"
"29";"NNC-05-2090";"GABA uptake inhibitor, GAT inhibitor";"SLC6A12";"Preclinical";"FALSE";"-1.21098303161647";"3.43795913345848e-05";"-86.5989127865753"
"30";"dasatinib";"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, SRC inhibitor, tyrosine kinase inhibitor";"ABL1, ABL2, BLK, EPHA2, FGR, FRK, FYN, HCK, KIT, LCK, LYN, PDGFRB, SRC, SRMS, STAT5B, YES1";"Launched";"TRUE";"-1.20715024638352";"3.52499607354604e-05";"-90.2396990467187"
"31";"saxagliptin";"dipeptidyl peptidase inhibitor";"DPP4";"Launched";"FALSE";"-1.20406580777118";"3.62291263114454e-05";"-80.3622075159537"
"32";"LY-294002";NA;NA;NA;"FALSE";"-1.20231643406987";"3.7882828173109e-05";"-87.9618687465532"
"33";"rimonabant";"cannabinoid receptor antagonist";"CNR1, GPR55";"Withdrawn";"FALSE";"-1.20073371053215";"3.7882828173109e-05";"-85.7382021586701"
"34";"panobinostat";"HDAC inhibitor";"HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9";"Launched";"TRUE";"-1.20011676065429";"3.7882828173109e-05";"-89.0412038131253"
"35";"nifedipine";"calcium channel blocker";"CACNA1C, CACNA1D, CACNA1F, CACNA1H, CACNA1S, CACNA2D1, CACNB2, CALM1, GLRA1, GLRA3, GLRB, KCNA1, KCNA5, NR1I2, TRPM3";"Launched";"FALSE";"-1.19930081811771";"3.9057826864291e-05";"-86.4689198770976"
"36";"ranirestat";"aldose reductase inhibitor";"AKR1B1";"Phase 3";"FALSE";"-1.19096138580494";"4.20388420622898e-05";"-86.0809107382021"
"37";"VS-4718";"focal adhesion kinase inhibitor";"";"Phase 1";"FALSE";"-1.18720841082343";"4.37795808640409e-05";"-85.3354210982431"
"38";"GDC-0349";"Pim kinase inhibitor";"PIK3CA";"Phase 1";"FALSE";"-1.186689325352";"4.37795808640409e-05";"-85.6594185771685"
"39";"PF-02545920";"phosphodiesterase inhibitor";"PDE10A";"Phase 2";"FALSE";"-1.17387642401653";"5.31360519234533e-05";"-84.3555503033168"
"40";"anguidine";"protein synthesis inhibitor";"SLC5A1";"Phase 2";"FALSE";"-1.17232884774954";"5.31360519234533e-05";"-82.5622390293863"
"41";"SAL-003";NA;NA;NA;"FALSE";"-1.15789050973127";"6.71054808075061e-05";"-83.8503505869377"
"42";"camostat-mesilate";"protease inhibitor";"PRSS1";"Launched";"FALSE";"-1.15733336072239";"6.71054808075061e-05";"-82.949263373513"
"43";"harmane";"monoamine oxidase inhibitor";"MAOA, MAOB";"Preclinical";"FALSE";"-1.15724387191718";"6.71054808075061e-05";"-86.0316709997636"
"44";"KU-0063794";"mTOR inhibitor";"MTOR";"Preclinical";"FALSE";"-1.15697653447602";"6.71054808075061e-05";"-86.2896872291814"
"45";"spironolactone";"mineralocorticoid receptor antagonist";"AR, CACNA1A, CACNA1B, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNA2D1, CACNA2D2, CACNA2D3, CACNB1, CACNB2, CACNB3, CACNB4, CACNG1, CYP11B2, NR3C1, NR3C2, PGR, SHBG";"Launched";"FALSE";"-1.1513738678708";"7.74193582078816e-05";"-82.3308122587253"
