LV	Sample	Value	X	V1	V3	disease
1,IRIS_Monocyte-Day1	SRR6078274	-0.034178318169365	1	1592985	C1650	control
2,REACTOME_CELL_CYCLE	SRR6078274	-0.05823329771440325	1	1592985	C1650	control
3,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	SRR6078274	-0.04866051727623938	1	1592985	C1650	control
4,REACTOME_METABOLISM_OF_NUCLEOTIDES	SRR6078274	-0.053557552446394714	1	1592985	C1650	control
5,REACTOME_NEURONAL_SYSTEM	SRR6078274	-0.011217310049874276	1	1592985	C1650	control
6,KEGG_HEDGEHOG_SIGNALING_PATHWAY	SRR6078274	-0.006767105700442071	1	1592985	C1650	control
7,REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	SRR6078274	-0.06360622218459902	1	1592985	C1650	control
8,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	SRR6078274	-0.06823570236695409	1	1592985	C1650	control
9,MIPS_NOP56P_ASSOCIATED_PRE_RRNA_COMPLEX	SRR6078274	-0.07847800512668385	1	1592985	C1650	control
10,SVM T cells CD4 memory resting	SRR6078274	0.013655141809701298	1	1592985	C1650	control
11,IRIS_DendriticCell-Control	SRR6078274	0.011237697573324854	1	1592985	C1650	control
12,SVM Neutrophils	SRR6078274	-0.0025023486035023615	1	1592985	C1650	control
13,REACTOME_DEVELOPMENTAL_BIOLOGY	SRR6078274	-0.05614568137032765	1	1592985	C1650	control
14,KEGG_BASAL_CELL_CARCINOMA	SRR6078274	-0.045094993464826	1	1592985	C1650	control
15,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	SRR6078274	-0.018218119768774358	1	1592985	C1650	control
16,KEGG_CALCIUM_SIGNALING_PATHWAY	SRR6078274	-0.01684604105714122	1	1592985	C1650	control
17,BIOCARTA_CHREBP2_PATHWAY	SRR6078274	-0.05004213956476349	1	1592985	C1650	control
18,REACTOME_COLLAGEN_FORMATION	SRR6078274	-0.007334977785214513	1	1592985	C1650	control
19,REACTOME_PEPTIDE_CHAIN_ELONGATION	SRR6078274	0.048599967933021654	1	1592985	C1650	control
20,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	SRR6078274	-0.01941247004895669	1	1592985	C1650	control
21,SVM Macrophages M1	SRR6078274	-0.00711812160800474	1	1592985	C1650	control
22,MIPS_SPLICEOSOME	SRR6078274	-0.08189166917376031	1	1592985	C1650	control
23,DMAP_ERY4	SRR6078274	-0.04096116820959065	1	1592985	C1650	control
24,REACTOME_PLATELET_HOMEOSTASIS	SRR6078274	-0.022228894072719885	1	1592985	C1650	control
25,REACTOME_COLLAGEN_FORMATION	SRR6078274	0.01656091304445426	1	1592985	C1650	control
26,IRIS_Neutrophil-Resting	SRR6078274	-0.020406205461005168	1	1592985	C1650	control
LV 27	SRR6078274	-0.008323853343498229	1	1592985	C1650	control
28,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	SRR6078274	0.0015239029774026633	1	1592985	C1650	control
29,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	SRR6078274	-0.023854164612619314	1	1592985	C1650	control
30,REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	SRR6078274	-0.03105033673898724	1	1592985	C1650	control
31,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	SRR6078274	-2.2453733097224863e-4	1	1592985	C1650	control
32,PID_ANGIOPOIETINRECEPTOR_PATHWAY	SRR6078274	-0.0011453318143375213	1	1592985	C1650	control
33,IRIS_Monocyte-Day7	SRR6078274	-0.03518827686106274	1	1592985	C1650	control
34,REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	SRR6078274	-0.041981781872368805	1	1592985	C1650	control
35,DMAP_MEGA2	SRR6078274	-0.013773749599750909	1	1592985	C1650	control
36,DMAP_HSC3	SRR6078274	-0.0021848751062205013	1	1592985	C1650	control
37,KEGG_PPAR_SIGNALING_PATHWAY	SRR6078274	-6.217675101340183e-4	1	1592985	C1650	control
38,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	SRR6078274	-0.03195555331304909	1	1592985	C1650	control
39,KEGG_CELL_ADHESION_MOLECULES_CAMS	SRR6078274	-0.023348121452377517	1	1592985	C1650	control
40,KEGG_DILATED_CARDIOMYOPATHY	SRR6078274	-0.012166196048584363	1	1592985	C1650	control
41,REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES	SRR6078274	-0.006297888461395158	1	1592985	C1650	control
42,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	SRR6078274	-0.001416791193611031	1	1592985	C1650	control
43,KEGG_BASAL_CELL_CARCINOMA	SRR6078274	-0.011518917978990916	1	1592985	C1650	control
44,KEGG_PROTEASOME	SRR6078274	-0.032209665827077266	1	1592985	C1650	control
45,PID_MYC_REPRESSPATHWAY	SRR6078274	-0.03031339601231676	1	1592985	C1650	control
46,REACTOME_AXON_GUIDANCE	SRR6078274	-0.029921182730259527	1	1592985	C1650	control
LV 47	SRR6078274	-0.022118912167848198	1	1592985	C1650	control
