"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa05220","Chronic myeloid leukemia","8/17","822/20464",1.15364941869951e-07,2.03042297691113e-05,7.52908041677573e-06,"bms-345541/tpca-1/belinostat/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"2","hsa04068","FoxO signaling pathway","9/17","1326/20464",2.96315352692278e-07,2.60757510369205e-05,9.66923782469539e-06,"bi-78d3/bms-345541/ei-247/tpca-1/sorafenib/plx-4720/bi-2536/gsk-1059615/pazopanib",9
"3","hsa05212","Pancreatic cancer","8/17","1067/20464",8.48478611504802e-07,4.97774118749484e-05,1.84581311976483e-05,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"4","hsa04722","Neurotrophin signaling pathway","8/17","1164/20464",1.63940725989714e-06,7.21339194354742e-05,2.67482237141113e-05,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"5","hsa04150","mTOR signaling pathway","7/17","841/20464",2.61657494122913e-06,9.21034379312654e-05,3.41531887065697e-05,"bms-345541/ei-247/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"6","hsa04910","Insulin signaling pathway","8/17","1427/20464",7.53996310918494e-06,0.000221172251202758,8.20136338192046e-05,"bi-78d3/bms-345541/ei-247/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"7","hsa04625","C-type lectin receptor signaling pathway","7/17","1019/20464",9.3125605061573e-06,0.000234144378440526,8.68238723882335e-05,"bi-78d3/bms-345541/tpca-1/sorafenib/bi-2536/gsk-1059615/pazopanib",7
"8","hsa05206","MicroRNAs in cancer","8/17","1500/20464",1.09140114928773e-05,0.000240108252843301,8.9035356915578e-05,"bms-345541/decitabine/tpca-1/belinostat/fludarabine/sorafenib/gsk-1059615/pazopanib",8
"9","hsa04914","Progesterone-mediated oocyte maturation","7/17","1085/20464",1.40495066210577e-05,0.00026395578576942,9.78783416130623e-05,"bi-78d3/sorafenib/plx-4720/bi-2536/gsk-1059615/ro-3306/pazopanib",7
"10","hsa05161","Hepatitis B","8/17","1566/20464",1.49974878278079e-05,0.00026395578576942,9.78783416130623e-05,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"11","hsa05170","Human immunodeficiency virus 1 infection","8/17","1673/20464",2.43651780395575e-05,0.00038984284863292,0.000144558951048092,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/gsk-1059615/ro-3306/pazopanib",8
"12","hsa05216","Thyroid cancer","5/17","475/20464",3.2408726100935e-05,0.000438346767196526,0.000162544853864741,"tpca-1/fludarabine/sorafenib/plx-4720/pazopanib",5
"13","hsa05221","Acute myeloid leukemia","6/17","827/20464",3.60978935753235e-05,0.000438346767196526,0.000162544853864741,"bms-345541/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",6
"14","hsa04932","Non-alcoholic fatty liver disease","7/17","1260/20464",3.71088823746204e-05,0.000438346767196526,0.000162544853864741,"bi-78d3/bms-345541/ei-247/tpca-1/fludarabine/gsk-1059615/pazopanib",7
"15","hsa05160","Hepatitis C","7/17","1262/20464",3.74905568178714e-05,0.000438346767196526,0.000162544853864741,"bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"16","hsa05215","Prostate cancer","7/17","1274/20464",3.98497061087751e-05,0.000438346767196526,0.000162544853864741,"bms-345541/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib/ketoconazole",7
"17","hsa04014","Ras signaling pathway","8/17","1836/20464",4.79452018950663e-05,0.000496373854913627,0.000184062075386632,"bi-78d3/bms-345541/ei-247/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"18","hsa05208","Chemical carcinogenesis - reactive oxygen species","8/17","1937/20464",7.05755357498482e-05,0.000690071905109627,0.00025588790739711,"bi-78d3/bms-345541/tpca-1/sorafenib/plx-4720/gsk-1059615/androstenedione/pazopanib",8
"19","hsa05210","Colorectal cancer","6/17","949/20464",7.79684341270725e-05,0.000722233916124461,0.000267814011960027,"bi-78d3/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",6
"20","hsa05223","Non-small cell lung cancer","6/17","973/20464",8.95798578723909e-05,0.000778420167266682,0.000288648626618028,"tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",6
"21","hsa04210","Apoptosis","7/17","1454/20464",9.28796790488655e-05,0.000778420167266682,0.000288648626618028,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/gsk-1059615/pazopanib",7
"22","hsa05165","Human papillomavirus infection","7/17","1478/20464",0.000103059393297483,0.000824475146379862,0.0003057264298777,"bms-345541/tpca-1/belinostat/fludarabine/sorafenib/gsk-1059615/pazopanib",7
"23","hsa05132","Salmonella infection","7/17","1549/20464",0.000138696435269608,0.000977773748475612,0.000362571605295981,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/gsk-1059615/pazopanib",7
"24","hsa05213","Endometrial cancer","5/17","647/20464",0.000140306644808996,0.000977773748475612,0.000362571605295981,"fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",5
"25","hsa05167","Kaposi sarcoma-associated herpesvirus infection","7/17","1557/20464",0.000143278972226323,0.000977773748475612,0.000362571605295981,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/gsk-1059615/pazopanib",7
"26","hsa05418","Fluid shear stress and atherosclerosis","7/17","1559/20464",0.000144443849206624,0.000977773748475612,0.000362571605295981,"bi-78d3/bms-345541/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",7
