"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","BP","GO:0048680","positive regulation of axon regeneration","4/17","70/22568",1.95897570940981e-07,0.000282434575824916,0.000162889207191674,"tpca-1/sorafenib/plx-4720/pazopanib",4
"2","BP","GO:0070413","trehalose metabolism in response to stress","3/17","16/22568",1.97605438558578e-07,0.000282434575824916,0.000162889207191674,"sorafenib/plx-4720/pazopanib",3
"3","BP","GO:0005991","trehalose metabolic process","3/17","19/22568",3.4145085470247e-07,0.000282434575824916,0.000162889207191674,"sorafenib/plx-4720/pazopanib",3
"4","BP","GO:0070572","positive regulation of neuron projection regeneration","4/17","81/22568",3.53663107287948e-07,0.000282434575824916,0.000162889207191674,"tpca-1/sorafenib/plx-4720/pazopanib",4
"5","BP","GO:1902804","negative regulation of synaptic vesicle transport","3/17","22/22568",5.41899438478347e-07,0.000282434575824916,0.000162889207191674,"sorafenib/plx-4720/pazopanib",3
"6","BP","GO:2000301","negative regulation of synaptic vesicle exocytosis","3/17","22/22568",5.41899438478347e-07,0.000282434575824916,0.000162889207191674,"sorafenib/plx-4720/pazopanib",3
"7","BP","GO:0050852","T cell receptor signaling pathway","7/17","734/22568",5.47353829118055e-07,0.000282434575824916,0.000162889207191674,"bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"8","BP","GO:0045955","negative regulation of calcium ion-dependent exocytosis","3/17","27/22568",1.02686437765985e-06,0.00046362926651342,0.000267390079393268,"sorafenib/plx-4720/pazopanib",3
"9","BP","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis","5/17","311/22568",2.59960897356167e-06,0.000980695966386924,0.0005655992648714,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"10","BP","GO:0046929","negative regulation of neurotransmitter secretion","3/17","37/22568",2.71510511181319e-06,0.000980695966386924,0.0005655992648714,"sorafenib/plx-4720/pazopanib",3
"11","BP","GO:0050851","antigen receptor-mediated signaling pathway","7/17","946/22568",2.99027942357988e-06,0.000981899025270048,0.000566293108063597,"bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"12","BP","GO:0048678","response to axon injury","6/17","599/22568",3.28817411636714e-06,0.000989740409026511,0.000570815489148296,"tpca-1/fludarabine/sorafenib/plx-4720/ro-3306/pazopanib",6
"13","BP","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","5/17","356/22568",5.02808020603424e-06,0.00122234545865,0.000704966387675106,"tpca-1/fludarabine/sorafenib/plx-4720/pazopanib",5
"14","BP","GO:0032418","lysosome localization","5/17","361/22568",5.38130283566599e-06,0.00122234545865,0.000704966387675106,"belinostat/sorafenib/plx-4720/gsk-1059615/pazopanib",5
"15","BP","GO:0090049","regulation of cell migration involved in sprouting angiogenesis","5/17","368/22568",5.90828459430124e-06,0.00122234545865,0.000704966387675106,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"16","BP","GO:0048537","mucosal-associated lymphoid tissue development","4/17","166/22568",6.23537434166222e-06,0.00122234545865,0.000704966387675106,"tpca-1/fludarabine/sorafenib/pazopanib",4
"17","BP","GO:0048541","Peyer's patch development","4/17","166/22568",6.23537434166222e-06,0.00122234545865,0.000704966387675106,"tpca-1/fludarabine/sorafenib/pazopanib",4
"18","BP","GO:0033135","regulation of peptidyl-serine phosphorylation","7/17","1062/22568",6.42983491537932e-06,0.00122234545865,0.000704966387675106,"tpca-1/belinostat/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"19","BP","GO:0010764","negative regulation of fibroblast migration","3/17","54/22568",8.59904961626308e-06,0.0015101234731892,0.000870937329790007,"sorafenib/plx-4720/pazopanib",3
"20","BP","GO:0048679","regulation of axon regeneration","4/17","183/22568",9.16851065425861e-06,0.0015101234731892,0.000870937329790007,"tpca-1/sorafenib/plx-4720/pazopanib",4
"21","BP","GO:0002318","myeloid progenitor cell differentiation","3/17","56/22568",9.6010250196005e-06,0.0015101234731892,0.000870937329790007,"sorafenib/plx-4720/pazopanib",3
"22","BP","GO:0038093","Fc receptor signaling pathway","7/17","1129/22568",9.61595788575627e-06,0.0015101234731892,0.000870937329790007,"bi-78d3/bms-345541/tpca-1/sorafenib/plx-4720/gsk-1059615/pazopanib",7
"23","BP","GO:0010506","regulation of autophagy","8/17","1680/22568",1.22514812020591e-05,0.00168508774643303,0.000971844917582027,"bi-78d3/belinostat/fludarabine/sorafenib/plx-4720/bi-2536/gsk-1059615/pazopanib",8
"24","BP","GO:1903672","positive regulation of sprouting angiogenesis","5/17","433/22568",1.2995961565928e-05,0.00168508774643303,0.000971844917582027,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"25","BP","GO:1904881","cellular response to hydrogen sulfide","3/17","62/22568",1.30626957087832e-05,0.00168508774643303,0.000971844917582027,"sorafenib/plx-4720/pazopanib",3
"26","BP","GO:0070570","regulation of neuron projection regeneration","4/17","205/22568",1.43429115951971e-05,0.00176611774364881,0.0010185775528009,"tpca-1/sorafenib/plx-4720/pazopanib",4
"27","BP","GO:0002042","cell migration involved in sprouting angiogenesis","5/17","444/22568",1.46687520236612e-05,0.00176611774364881,0.0010185775528009,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"28","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","8/17","1756/22568",1.6973591123598e-05,0.00188992173970872,0.00108997934454845,"bi-78d3/bms-345541/tpca-1/fludarabine/sorafenib/plx-4720/gsk-1059615/pazopanib",8
"29","BP","GO:0033628","regulation of cell adhesion mediated by integrin","5/17","459/22568",1.72164378348997e-05,0.00188992173970872,0.00108997934454845,"tpca-1/fludarabine/sorafenib/gsk-1059615/pazopanib",5
"30","BP","GO:0010822","positive regulation of mitochondrion organization","6/17","805/22568",1.78560578634796e-05,0.00188992173970872,0.00108997934454845,"bi-78d3/belinostat/fludarabine/sorafenib/plx-4720/pazopanib",6
"31","BP","GO:0035234","ectopic germ cell programmed cell death","3/17","70/22568",1.88364292994224e-05,0.00188992173970872,0.00108997934454845,"fludarabine/sorafenib/pazopanib",3
"32","BP","GO:0043491","protein kinase B signaling","8/17","1819/22568",2.19852955467823e-05,0.0021462402031075,0.00123780654017303,"ei-247/tpca-1/sorafenib/plx-4720/bi-2536/gsk-1059615/androstenedione/pazopanib",8
"33","BP","GO:0045165","cell fate commitment","6/17","841/22568",2.28790339442637e-05,0.00214699261721015,0.00123824048186131,"tpca-1/fludarabine/sorafenib/plx-4720/pazopanib/ketoconazole",6
"34","BP","GO:0090141","positive regulation of mitochondrial fission","3/17","75/22568",2.31818139731993e-05,0.00214699261721015,0.00123824048186131,"sorafenib/plx-4720/pazopanib",3
"35","BP","GO:1903670","regulation of sprouting angiogenesis","5/17","495/22568",2.47505798239146e-05,0.00221341094881492,0.00127654609421948,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"36","BP","GO:0034764","positive regulation of transmembrane transport","7/17","1308/22568",2.51245428852192e-05,0.00221341094881492,0.00127654609421948,"ei-247/rottlerin/fludarabine/sorafenib/plx-4720/pazopanib/ketoconazole",7
"37","BP","GO:0032526","response to retinoic acid","6/17","863/22568",2.64745714472582e-05,0.00223633556314235,0.00128976746501682,"tpca-1/belinostat/sorafenib/plx-4720/ro-3306/pazopanib",6
"38","BP","GO:0043536","positive regulation of blood vessel endothelial cell migration","5/17","504/22568",2.69845678971379e-05,0.00223633556314235,0.00128976746501682,"belinostat/sorafenib/plx-4720/bi-2536/pazopanib",5
"39","BP","GO:0033627","cell adhesion mediated by integrin","5/17","505/22568",2.72421829397185e-05,0.00223633556314235,0.00128976746501682,"tpca-1/fludarabine/sorafenib/gsk-1059615/pazopanib",5
"40","BP","GO:0048070","regulation of developmental pigmentation","3/17","81/22568",2.92092555257437e-05,0.00234452957686636,0.00135216647217419,"fludarabine/sorafenib/pazopanib",3
"41","BP","GO:0061146","Peyer's patch morphogenesis","3/17","83/22568",3.14261337080066e-05,0.00236330803308012,0.00136299661871701,"tpca-1/sorafenib/pazopanib",3
"42","BP","GO:0006914","autophagy","8/17","1912/22568",3.16505522701399e-05,0.00236330803308012,0.00136299661871701,"bi-78d3/belinostat/fludarabine/sorafenib/plx-4720/bi-2536/gsk-1059615/pazopanib",8
"43","BP","GO:0061919","process utilizing autophagic mechanism","8/17","1912/22568",3.16505522701399e-05,0.00236330803308012,0.00136299661871701,"bi-78d3/belinostat/fludarabine/sorafenib/plx-4720/bi-2536/gsk-1059615/pazopanib",8
"44","BP","GO:0097021","lymphocyte migration into lymphoid organs","3/17","84/22568",3.25748946389636e-05,0.00236330803308012,0.00136299661871701,"tpca-1/sorafenib/pazopanib",3
"45","BP","GO:0055123","digestive system development","6/17","896/22568",3.27146737691047e-05,0.00236330803308012,0.00136299661871701,"ei-247/tpca-1/fludarabine/sorafenib/plx-4720/pazopanib",6
"46","BP","GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway","3/17","85/22568",3.37509413898036e-05,0.0023903607901955,0.00137859882374451,"tpca-1/sorafenib/pazopanib",3
"47","BP","GO:0030336","negative regulation of cell migration","6/17","910/22568",3.56980748716414e-05,0.0024796432006994,0.00143009089414936,"belinostat/fludarabine/sorafenib/plx-4720/pazopanib/ketoconazole",6
"48","BP","GO:0038034","signal transduction in absence of ligand","5/17","544/22568",3.8886005184837e-05,0.00257647382362524,0.00148593626419372,"tpca-1/fludarabine/sorafenib/plx-4720/pazopanib",5
"49","BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","5/17","544/22568",3.8886005184837e-05,0.00257647382362524,0.00148593626419372,"tpca-1/fludarabine/sorafenib/plx-4720/pazopanib",5
"50","BP","GO:0001974","blood vessel remodeling","4/17","266/22568",3.97952049480152e-05,0.00257647382362524,0.00148593626419372,"rottlerin/fludarabine/sorafenib/pazopanib",4
"51","BP","GO:0007497","posterior midgut development","3/17","91/22568",4.1397133036329e-05,0.00257647382362524,0.00148593626419372,"tpca-1/sorafenib/pazopanib",3
"52","BP","GO:0035799","ureter maturation","3/17","93/22568",4.41778024242123e-05,0.00257647382362524,0.00148593626419372,"tpca-1/sorafenib/pazopanib",3
"53","BP","GO:0043303","mast cell degranulation","4/17","274/22568",4.46669038911913e-05,0.00257647382362524,0.00148593626419372,"sorafenib/plx-4720/gsk-1059615/pazopanib",4
"54","BP","GO:0002448","mast cell mediated immunity","4/17","275/22568",4.53052048640958e-05,0.00257647382362524,0.00148593626419372,"sorafenib/plx-4720/gsk-1059615/pazopanib",4
"55","BP","GO:0072298","regulation of metanephric glomerulus development","3/17","94/22568",4.56129709595401e-05,0.00257647382362524,0.00148593626419372,"tpca-1/sorafenib/pazopanib",3
"56","BP","GO:0072300","positive regulation of metanephric glomerulus development","3/17","94/22568",4.56129709595401e-05,0.00257647382362524,0.00148593626419372,"tpca-1/sorafenib/pazopanib",3
"57","BP","GO:0046686","response to cadmium ion","6/17","952/22568",4.59936092365688e-05,0.00257647382362524,0.00148593626419372,"bi-78d3/bms-345541/sorafenib/ro-3306/androstenedione/pazopanib",6
"58","BP","GO:0008584","male gonad development","6/17","954/22568",4.65379214472242e-05,0.00257647382362524,0.00148593626419372,"ei-247/fludarabine/sorafenib/androstenedione/pazopanib/ketoconazole",6
"59","BP","GO:0046546","development of primary male sexual characteristics","6/17","954/22568",4.65379214472242e-05,0.00257647382362524,0.00148593626419372,"ei-247/fludarabine/sorafenib/androstenedione/pazopanib/ketoconazole",6
