"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"1","hsa05165","Human papillomavirus infection","17/40","1478/20464",6.48770757079502e-10,1.45324649585808e-07,4.02920785975691e-08,"h-9/abt-737/belinostat/tpca-1/hc-toxin/gdc-0879/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/jlk-6/fasudil/bisindolylmaleimide-ix/carbacyclin/h-7/pyrrolidine-dithiocarbamate/as-604850",17
"2","hsa05220","Chronic myeloid leukemia","13/40","822/20464",2.83895688012399e-09,2.26886891837673e-07,6.29056701993548e-08,"abt-737/belinostat/tpca-1/hc-toxin/gdc-0879/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/bisindolylmaleimide-ix/pyrrolidine-dithiocarbamate/tozasertib/as-604850",13
"3","hsa05221","Acute myeloid leukemia","13/40","827/20464",3.05420658338843e-09,2.26886891837673e-07,6.29056701993548e-08,"abt-737/tpca-1/gdc-0879/acitretin/gw-0742/5-iodotubercidin/withaferin-a/alitretinoin/bisindolylmaleimide-ix/carbacyclin/pyrrolidine-dithiocarbamate/tozasertib/as-604850",13
"4","hsa04114","Oocyte meiosis","13/40","871/20464",5.69414490165853e-09,2.26886891837673e-07,6.29056701993548e-08,"h-9/bi-2536/gw-0742/5-iodotubercidin/alvocidib/fasudil/bisindolylmaleimide-ix/hmn-214/h-7/ketoconazole/ro-3306/enzalutamide/tozasertib",13
"5","hsa05160","Hepatitis C","15/40","1262/20464",6.08052678586503e-09,2.26886891837673e-07,6.29056701993548e-08,"abt-737/tpca-1/paxilline/gdc-0879/acitretin/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/alitretinoin/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/tozasertib/as-604850",15
"6","hsa05222","Small cell lung cancer","12/40","720/20464",7.42311713834126e-09,2.26886891837673e-07,6.29056701993548e-08,"abt-737/tpca-1/docetaxel/acitretin/fludarabine/withaferin-a/alvocidib/alitretinoin/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/as-604850",12
"7","hsa05206","MicroRNAs in cancer","16/40","1500/20464",7.44978786632885e-09,2.26886891837673e-07,6.29056701993548e-08,"abt-737/belinostat/tpca-1/docetaxel/hc-toxin/gdc-0879/acitretin/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/fasudil/bisindolylmaleimide-ix/tozasertib/as-604850/ei-273",16
"8","hsa04914","Progesterone-mediated oocyte maturation","14/40","1085/20464",8.10310327991689e-09,2.26886891837673e-07,6.29056701993548e-08,"h-9/gdc-0879/bi-2536/radicicol/gw-0742/5-iodotubercidin/alvocidib/fasudil/bisindolylmaleimide-ix/hmn-214/h-7/ro-3306/tozasertib/as-604850",14
"9","hsa05161","Hepatitis B","16/40","1566/20464",1.37722620937474e-08,3.42776300999936e-07,9.5036662401298e-08,"abt-737/tpca-1/docetaxel/gdc-0879/acitretin/radicicol/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/tozasertib/as-604850/ei-273",16
"10","hsa04014","Ras signaling pathway","17/40","1836/20464",1.75254224848898e-08,3.92569463661532e-07,1.08842097537737e-07,"h-9/abt-737/tpca-1/ei-247/gdc-0879/gw-0742/5-iodotubercidin/withaferin-a/alvocidib/ki-8751/fasudil/bisindolylmaleimide-ix/h-7/pyrrolidine-dithiocarbamate/tozasertib/as-604850/ei-273",17
"11","hsa05169","Epstein-Barr virus infection","15/40","1405/20464",2.58003311460357e-08,4.84607477633784e-07,1.34360155922901e-07,"abt-737/belinostat/tpca-1/docetaxel/hc-toxin/acitretin/radicicol/fludarabine/withaferin-a/alvocidib/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/tozasertib/as-604850",15
"12","hsa04928","Parathyroid hormone synthesis, secretion and action","12/40","806/20464",2.59611148732384e-08,4.84607477633784e-07,1.34360155922901e-07,"h-9/abt-737/docetaxel/gdc-0879/acitretin/5-iodotubercidin/alvocidib/alitretinoin/fasudil/bisindolylmaleimide-ix/h-7/ei-273",12
"13","hsa05163","Human cytomegalovirus infection","17/40","1904/20464",3.01481555485197e-08,5.19475910989877e-07,1.44027625697381e-07,"h-9/tpca-1/gdc-0879/acitretin/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/fasudil/bisindolylmaleimide-ix/carbacyclin/antimycin-a/h-7/pyrrolidine-dithiocarbamate/tozasertib/as-604850/ei-273",17
"14","hsa05170","Human immunodeficiency virus 1 infection","16/40","1673/20464",3.51055352937169e-08,5.6168856469947e-07,1.55731321979646e-07,"abt-737/tpca-1/docetaxel/gdc-0879/radicicol/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/bisindolylmaleimide-ix/antimycin-a/ro-3306/pyrrolidine-dithiocarbamate/tozasertib/as-604850/ei-273",16
"15","hsa05215","Prostate cancer","14/40","1274/20464",6.14120017397161e-08,9.17085892646428e-07,2.54267235273211e-07,"abt-737/tpca-1/docetaxel/gdc-0879/radicicol/gw-0742/5-iodotubercidin/withaferin-a/alvocidib/bisindolylmaleimide-ix/ketoconazole/enzalutamide/pyrrolidine-dithiocarbamate/as-604850",14
"16","hsa05132","Salmonella infection","15/40","1549/20464",9.41943762747469e-08,1.31872126784646e-06,3.65622907908557e-07,"abt-737/tpca-1/docetaxel/gdc-0879/radicicol/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/fasudil/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/tozasertib/as-604850",15
"17","hsa04140","Autophagy - animal","12/40","926/20464",1.1863996806282e-07,1.56325604976892e-06,4.33421555152098e-07,"h-9/abt-737/docetaxel/gdc-0879/radicicol/gw-0742/5-iodotubercidin/alvocidib/fasudil/bisindolylmaleimide-ix/h-7/as-604850",12
"18","hsa04722","Neurotrophin signaling pathway","13/40","1164/20464",1.73809344862054e-07,2.06466072519986e-06,5.724388288853e-07,"abt-737/tpca-1/docetaxel/gdc-0879/fludarabine/5-iodotubercidin/withaferin-a/alvocidib/jlk-6/bisindolylmaleimide-ix/pyrrolidine-dithiocarbamate/tozasertib/as-604850",13
"19","hsa04919","Thyroid hormone signaling pathway","13/40","1175/20464",1.9378425563233e-07,2.06466072519986e-06,5.724388288853e-07,"h-9/abt-737/belinostat/hc-toxin/gdc-0879/acitretin/5-iodotubercidin/alitretinoin/fasudil/bisindolylmaleimide-ix/h-7/as-604850/ei-273",13
"20","hsa05145","Toxoplasmosis","13/40","1175/20464",1.9378425563233e-07,2.06466072519986e-06,5.724388288853e-07,"abt-737/tpca-1/docetaxel/acitretin/radicicol/5-iodotubercidin/withaferin-a/alvocidib/bisindolylmaleimide-ix/antimycin-a/pyrrolidine-dithiocarbamate/tozasertib/as-604850",13
"21","hsa05203","Viral carcinogenesis","13/40","1175/20464",1.9378425563233e-07,2.06466072519986e-06,5.724388288853e-07,"h-9/abt-737/belinostat/hc-toxin/acitretin/fludarabine/5-iodotubercidin/alvocidib/fasudil/h-7/ro-3306/pyrrolidine-dithiocarbamate/as-604850",13
