LV	Sample	Value	X	V1	V3	disease
1,REACTOME_DNA_STRAND_ELONGATION	SRR6078274	-0.055202294778509034	1	1592985	C1650	control
2,PID_MYC_ACTIVPATHWAY	SRR6078274	-0.06075287657121234	1	1592985	C1650	control
3,REACTOME_NEURONAL_SYSTEM	SRR6078274	-0.02166367179729516	1	1592985	C1650	control
4,REACTOME_NEURONAL_SYSTEM	SRR6078274	-0.027001221676024853	1	1592985	C1650	control
5,PID_INTEGRIN1_PATHWAY	SRR6078274	0.02398483557404506	1	1592985	C1650	control
6,REACTOME_PEPTIDE_CHAIN_ELONGATION	SRR6078274	-0.06650364574052199	1	1592985	C1650	control
7,REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	SRR6078274	-0.05904259842010496	1	1592985	C1650	control
8,PID_DELTANP63PATHWAY	SRR6078274	-0.007110299438603239	1	1592985	C1650	control
9,SVM Neutrophils	SRR6078274	-0.0029861448690396645	1	1592985	C1650	control
10,REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	SRR6078274	-0.03208182024216273	1	1592985	C1650	control
11,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	SRR6078274	-0.00944143951877109	1	1592985	C1650	control
12,SVM T cells gamma delta	SRR6078274	0.02726121329913816	1	1592985	C1650	control
13,REACTOME_GLUCOSE_METABOLISM	SRR6078274	-0.033949984716104914	1	1592985	C1650	control
14,REACTOME_GPCR_LIGAND_BINDING	SRR6078274	-0.010997207810960166	1	1592985	C1650	control
15,SVM Mast cells activated	SRR6078274	0.02065454661174343	1	1592985	C1650	control
16,REACTOME_PEPTIDE_CHAIN_ELONGATION	SRR6078274	0.09927013257196024	1	1592985	C1650	control
17,SVM B cells naive	SRR6078274	0.002846254989677985	1	1592985	C1650	control
LV 18	SRR6078274	-0.015659852404287137	1	1592985	C1650	control
19,REACTOME_TRIGLYCERIDE_BIOSYNTHESIS	SRR6078274	-0.00811835545870809	1	1592985	C1650	control
20,REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	SRR6078274	-0.01843301212912416	1	1592985	C1650	control
21,PID_INTEGRIN1_PATHWAY	SRR6078274	-0.0435456768515102	1	1592985	C1650	control
22,KEGG_PYRUVATE_METABOLISM	SRR6078274	-0.016461003860141127	1	1592985	C1650	control
23,PID_ERA_GENOMIC_PATHWAY	SRR6078274	-0.03263482471251771	1	1592985	C1650	control
