"","X","Var1","Var2","log_fold_change","Sensitive"
"9623",160756,"PATU8988S","amikacin",-0.779092966648,TRUE
"9624",160757,"PATU8988T","amikacin",0.00729744722609,TRUE
"9625",160765,"PANC0203","amikacin",-0.156227434115,TRUE
"9626",160772,"PANC1005","amikacin",0.735760298822,FALSE
"9627",160778,"T3M4","amikacin",1.21643277427,FALSE
"9628",160784,"PANC0504","amikacin",NA,NA
"9629",160790,"CAPAN2","amikacin",0.142731188195,TRUE
"9630",160792,"SU8686","amikacin",0.443513829816,FALSE
"9631",160795,"HUPT3","amikacin",-0.182761362562,TRUE
"9632",160801,"CFPAC1","amikacin",-0.0598224643889,TRUE
"9633",160802,"PANC0327","amikacin",0.43133315811,FALSE
"9634",160808,"SW1990","amikacin",-0.146287501635,TRUE
"9635",160812,"PANC1","amikacin",-0.103403061955,TRUE
"9636",160818,"HS766T","amikacin",0.144795333643,TRUE
"9637",160827,"PK59","amikacin",0.066589337226,TRUE
"9638",160833,"HUPT4","amikacin",-0.23416757222,TRUE
"9639",160837,"ASPC1","amikacin",0.224739368224,TRUE
"9640",160844,"PANC0403","amikacin",0.347030937801,FALSE
"9641",160847,"DANG","amikacin",-0.282505841067,TRUE
"9642",160858,"KP4","amikacin",0.177362099292,TRUE
"9643",160859,"SNU213","amikacin",0.201586677404,TRUE
"9644",160862,"HPAC","amikacin",0.436861897661,FALSE
"9645",160870,"KP2","amikacin",-0.230614005993,TRUE
"9646",160878,"PK1","amikacin",-0.432729702538,TRUE
"9647",160887,"PSN1","amikacin",-0.074786285149,TRUE
"9648",160894,"YAPC","amikacin",-0.121841688912,TRUE
"9649",160935,"PANC0813","amikacin",-0.229332581786,TRUE
"9650",160967,"PK45H","amikacin",-0.0923232420925,TRUE
"9651",160991,"TCCPAN2","amikacin",-0.298838409811,TRUE
"9652",160998,"SNU410","amikacin",-0.522782497525,TRUE
"9653",161007,"BXPC3","amikacin",-0.292568516722,TRUE
"9654",161040,"PATU8902","amikacin",-0.219836317847,TRUE
"9655",161041,"MIAPACA2","amikacin",-0.298228367981,TRUE
"9656",161072,"SUIT2","amikacin",-0.0991646340567,TRUE
"12071",201652,"PATU8988S","ketorolac",0.661097918235,FALSE
"12072",201653,"PATU8988T","ketorolac",0.373899549858,FALSE
"12073",201661,"PANC0203","ketorolac",0.199080974252,TRUE
"12074",201668,"PANC1005","ketorolac",0.429537725848,FALSE
"12075",201674,"T3M4","ketorolac",0.209000485908,TRUE
"12076",201680,"PANC0504","ketorolac",NA,NA
"12077",201686,"CAPAN2","ketorolac",0.0492466828711,TRUE
"12078",201688,"SU8686","ketorolac",NA,NA
"12079",201691,"HUPT3","ketorolac",0.588669577027,FALSE
"12080",201697,"CFPAC1","ketorolac",0.228987873937,TRUE
"12081",201698,"PANC0327","ketorolac",-1.16613518855,TRUE
"12082",201704,"SW1990","ketorolac",-0.0744954186097,TRUE
"12083",201708,"PANC1","ketorolac",0.299290159319,TRUE
"12084",201714,"HS766T","ketorolac",0.616188013292,FALSE
"12085",201723,"PK59","ketorolac",0.504268231686,FALSE
"12086",201729,"HUPT4","ketorolac",-0.203832369921,TRUE
"12087",201733,"ASPC1","ketorolac",-0.396026369286,TRUE
"12088",201740,"PANC0403","ketorolac",0.0576928899364,TRUE
"12089",201743,"DANG","ketorolac",0.439855753101,FALSE
"12090",201754,"KP4","ketorolac",0.106286433272,TRUE
"12091",201755,"SNU213","ketorolac",0.296033853195,TRUE
"12092",201758,"HPAC","ketorolac",0.898525355332,FALSE
"12093",201766,"KP2","ketorolac",-0.289447723006,TRUE
"12094",201774,"PK1","ketorolac",0.0747493986565,TRUE
"12095",201783,"PSN1","ketorolac",0.26368374238,TRUE
