"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"1","sulfadoxine","17134","YAPC","trt_cp","down",-0.530073558105852,2.04536809205758e-05,0.000376422886711069,-1.67726795933223,0,12,99,NA,-99.8148585834712,FALSE,FALSE
"2","AG-14361","9840076","YAPC","trt_cp","down",-0.528668554727741,2.04971993906196e-05,0.000376422886711069,-1.6728222232399,0,12,99,"PARP1",-99.6110060663358,FALSE,FALSE
"3","pterostilbene","5281727","YAPC","trt_cp","down",-0.476980092468728,2.2760159832896e-05,0.000376422886711069,-1.50926869319024,0,12,99,"FAAH; PPARA",-99.4376821870322,FALSE,FALSE
"4","ofloxacin","4583","YAPC","trt_cp","down",-0.473306979555288,2.29342337130712e-05,0.000376422886711069,-1.49764616551175,0,12,99,"TOP2A",-99.2298904908217,TRUE,TRUE
"5","artesunate","73707396","YAPC","trt_cp","down",-0.472204571629154,2.29777521831149e-05,0.000376422886711069,-1.4941579072043,0,12,99,NA,-97.0544788466084,TRUE,FALSE
"6","actarit","2018","YAPC","trt_cp","down",-0.444100448165607,2.41962693443407e-05,0.000376422886711069,-1.40523035160435,0,12,99,NA,-97.9929882612464,FALSE,FALSE
"7","diacerein","26248","YAPC","trt_cp","down",-0.431184261396711,2.47620094549098e-05,0.000376422886711069,-1.36436072909076,0,12,99,"ALOX5; CYP1A2; CYP2C9; CYP2D6; CYP2E1; CYP3A4; CYP3A43; CYP3A5; CYP3A7; CYP3A7-CYP3A51P; IL1B; NR1H2; NR1H3",-95.5516820294651,FALSE,FALSE
"8","ticagrelor",NA,"YAPC","trt_cp","down",-0.4308089623903,2.47620094549098e-05,0.000376422886711069,-1.36317320145616,-0.040447148155588,12,99,"P2RY1; P2RY12",-97.4227920901284,TRUE,FALSE
"9","umeclidinium",NA,"YAPC","trt_cp","down",-0.43056512288912,2.47620094549098e-05,0.000376422886711069,-1.36240164027131,0,12,99,"CHRM4; CHRM5",-96.2942172851178,TRUE,FALSE
"10","tasquinimod",NA,"YAPC","trt_cp","down",-0.429202752383935,2.48490463949974e-05,0.000376422886711069,-1.35809080385598,-0.0396515130699735,12,99,NA,-95.7259907035374,FALSE,FALSE
