"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"1","zalcitabine","24066","YAPC","trt_cp","down",-0.49985356760524,2.17592350218891e-05,0.000421048791202511,-1.74481042134729,0.802049076293356,68,33,NA,-99.9606082092492,FALSE,FALSE
"2","BAY-K8644","2303","YAPC","trt_cp","down",-0.47155116989496,2.29777521831149e-05,0.000421048791202511,-1.64601685124115,0.560635773830532,68,33,"CACNA1C",-99.8316000945403,FALSE,FALSE
"3","basimglurant",NA,"YAPC","trt_cp","down",-0.427284362689644,2.4936083335085e-05,0.000421048791202511,-1.49149722482007,0,68,33,NA,-99.5647207122036,FALSE,FALSE
"4","TAS-103",NA,"YAPC","trt_cp","down",-0.425090803353656,2.50231202751725e-05,0.000421048791202511,-1.4838402919955,-0.280821137746495,68,33,"TOP1",-98.328803277397,FALSE,FALSE
"5","sparfloxacin","60464","YAPC","trt_cp","down",-0.421960837367601,2.51536756853038e-05,0.000421048791202511,-1.47291469773177,0,68,33,"TOP2A",-98.975813440479,FALSE,FALSE
"6","bucladesine","9687","YAPC","trt_cp","down",-0.419870307022259,2.52407126253914e-05,0.000421048791202511,-1.46561740234551,0,68,33,"PRKACA",-98.9669502875601,FALSE,FALSE
"7","dimesna",NA,"YAPC","trt_cp","down",-0.418893533601514,2.52842310954352e-05,0.000421048791202511,-1.46220783491564,0.265786362655603,68,33,NA,-98.2894114866462,FALSE,FALSE
"8","triamcinolone","31307","YAPC","trt_cp","down",-0.413703248240222,2.55018234456541e-05,0.000421048791202511,-1.44409040098086,0,68,33,"BGLAP; CYP3A5; CYP3A7; NR3C1; SERPINA6",-98.8783187583708,TRUE,FALSE
"9","albendazole","2082","YAPC","trt_cp","down",-0.410930110967826,2.56323788557854e-05,0.000421048791202511,-1.43441036841476,-0.587832848451862,68,33,"CYP1A2; CYP2J2; TUBA1A; TUBB; TUBB4B",-97.9880642874025,TRUE,FALSE
"10","diclofenac","3033","YAPC","trt_cp","down",-0.409227298960439,2.5719415795873e-05,0.000421048791202511,-1.42846645938092,0,68,33,"AKR1C3; ALOX5; ASIC1; ASIC3; CYP2C8; CYP2C9; KCNQ2; KCNQ3; LTF; PLA2G2A; PPARG; SCN4A; TF; TNF; ZADH2",-97.8501930197747,TRUE,FALSE
