"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"1","pterostilbene","5281727","YAPC","trt_cp","down",-0.448733245284563,2.39786769941218e-05,0.000915424992520158,-1.55923460966851,0,14,126,"FAAH; PPARA",-99.7045615693689,FALSE,FALSE
"2","fulvestrant","73707501","YAPC","trt_cp","down",-0.430500664364059,2.47620094549098e-05,0.000915424992520158,-1.49588099926952,0,14,126,"CCND1; EPHX2; ESR1; ESR2; ESRRA; GPER1; RB1",-99.2988261246356,TRUE,FALSE
"3","epitiostanol","73707456","YAPC","trt_cp","down",-0.428578216746651,2.48490463949974e-05,0.000915424992520158,-1.48920097969924,0,14,126,NA,-98.4361459071929,FALSE,FALSE
"4","sulfadoxine","17134","YAPC","trt_cp","down",-0.421730412711262,2.51536756853038e-05,0.000915424992520158,-1.46540659146435,-0.0208106798942198,14,126,NA,-98.5464429212952,FALSE,FALSE
"5","guanethidine","73707360","YAPC","trt_cp","down",-0.419083279387149,2.52842310954352e-05,0.000915424992520158,-1.45620847222817,0,14,126,"DBH; SLC6A2; TH",-98.6793902150792,FALSE,FALSE
"6","AG-14361","9840076","YAPC","trt_cp","down",-0.411340795846738,2.56323788557854e-05,0.000915424992520158,-1.4293052988443,0,14,126,"PARP1",-97.2297723154495,FALSE,FALSE
"7","riluzole","5070","YAPC","trt_cp","down",-0.404531044326628,2.58934896760481e-05,0.000915424992520158,-1.40564313348219,0,14,126,"BDNF; GDNF; KCND3; KCNK10; KCNK2; KCNK4; KCNN4; MAP2; NGF; SCN5A; SLC7A11",-97.733002442291,TRUE,FALSE
"8","artesunate","73707396","YAPC","trt_cp","down",-0.395042027151293,2.63286743764859e-05,0.000915424992520158,-1.37267119715477,0,14,126,NA,-94.9814858583471,TRUE,FALSE
"9","rasagiline",NA,"YAPC","trt_cp","down",-0.394177231815936,2.63721928465296e-05,0.000915424992520158,-1.36966625194213,0,14,126,"APP; BAX; BCL2; BCL2L2; BDNF; GDNF; MAOB",-96.3395178444812,TRUE,FALSE
"10","Z160",NA,"YAPC","trt_cp","down",-0.392442694314251,2.64592297866172e-05,0.000915424992520158,-1.36363917252955,-0.997603891332406,14,126,NA,-97.0672811786024,FALSE,FALSE
"11","nefazodone","54911","YAPC","trt_cp","down",-0.390921662376649,2.6502748256661e-05,0.000915424992520158,-1.35835397098845,0,14,126,"ADRA1A; ADRA1B; CYP3A4; CYP3A5; CYP3A7; KCNH2; SLC6A2; SLC6A3; SLC6A4",-96.3946663515323,TRUE,FALSE
"12","levothyroxine","5819","YAPC","trt_cp","down",-0.389740296232963,2.65462667267047e-05,0.000915424992520158,-1.3542490222304,0,14,126,"THRA; THRB",-97.3617348144647,TRUE,FALSE
"13","anecortave-acetate",NA,"YAPC","trt_cp","down",-0.383475287506955,2.68508960170112e-05,0.000915424992520158,-1.33247970039361,0,14,126,NA,-95.8126526431892,FALSE,FALSE
"14","tagatose",NA,"YAPC","trt_cp","down",-0.382386291688182,2.6894414487055e-05,0.000915424992520158,-1.32869571516796,-0.0328309788256652,14,126,NA,-96.5482943354605,FALSE,FALSE
"15","ASC-J9",NA,"YAPC","trt_cp","down",-0.381007476303319,2.69379329570988e-05,0.000915424992520158,-1.32390468020228,0,14,126,NA,-95.7594737256756,FALSE,FALSE
"16","ofloxacin","4583","YAPC","trt_cp","down",-0.366471616981481,2.75907100077554e-05,0.000915424992520158,-1.27339624300924,0,14,126,"TOP2A",-94.7480894981486,TRUE,TRUE
"17","ciglitazone","2750","YAPC","trt_cp","down",-0.362674824603268,2.77647838879305e-05,0.000915424992520158,-1.26020334913734,0,14,126,"INS; PPARG",-93.2029465059482,FALSE,FALSE
"18","telcagepant",NA,"YAPC","trt_cp","down",-0.359123383272487,2.79388577681057e-05,0.000915424992520158,-1.24786298814258,0,14,126,"CALCA; CALCB; CALCRL; RAMP1",-91.8449145198141,FALSE,FALSE
"19","butorphanol-(+)-tartrate",NA,"YAPC","trt_cp","down",-0.358920324980368,2.79388577681057e-05,0.000915424992520158,-1.24715741190062,0,14,126,NA,-91.2176002521075,FALSE,FALSE
"20","amrinone",NA,"YAPC","trt_cp","down",-0.354568665306644,2.83087647634778e-05,0.000915424992520158,-1.23203649441997,0,14,126,"PDE3A; PDE3B; PDE4B; TNF",-91.9217285117781,TRUE,FALSE
"21","temsirolimus","6440033","YAPC","trt_cp","down",-0.353452754819037,2.85481163487185e-05,0.000915424992520158,-1.22815898752283,0,14,126,"IFNAR1; MTOR; PTEN",-92.6504766406681,TRUE,TRUE
"22","CGP-12177","2687","YAPC","trt_cp","down",-0.353162007235791,2.85481163487185e-05,0.000915424992520158,-1.22714871315774,0,14,126,"ADRB1; ADRB2; ADRB3",-90.902465926101,FALSE,FALSE
"23","resatorvid",NA,"YAPC","trt_cp","down",-0.353089070165955,2.85481163487185e-05,0.000915424992520158,-1.22689527527496,0,14,126,"CSF2RB; IL2RG; TLR4",-90.4977152761364,FALSE,FALSE
"24","methylnaltrexone",NA,"YAPC","trt_cp","down",-0.350404342069018,2.9048578754222e-05,0.000915424992520158,-1.21756652370533,0,14,126,"OPRK1; OPRM1",-86.0464429212952,TRUE,FALSE
"25","elesclomol","300471","YAPC","trt_cp","down",-0.349685620147762,2.9048578754222e-05,0.000915424992520158,-1.21506914668652,0,14,126,"TOP2A",-90.281060427007,FALSE,FALSE
"26","pentamidine","359323","YAPC","trt_cp","down",-0.348234965421839,2.97013558048787e-05,0.000915424992520158,-1.21002848816811,0,14,126,"AOC1; S100B; TRDMT1",-88.841290475065,TRUE,FALSE
"27","HC-030031",NA,"YAPC","trt_cp","down",-0.347708802710898,2.97013558048787e-05,0.000915424992520158,-1.20820020573565,0,14,126,NA,-90.2830300165446,FALSE,FALSE
"28","ticagrelor",NA,"YAPC","trt_cp","down",-0.3469983190578,2.99407073901195e-05,0.000915424992520158,-1.20573145461645,0,14,126,"P2RY1; P2RY12",-89.0707476561885,TRUE,FALSE
"29","noscapine","12310313","YAPC","trt_cp","down",-0.345554371669034,3.01582997403383e-05,0.000915424992520158,-1.20071410239938,0,14,126,"BDKRB2; SIGMAR1",-88.3873000866619,FALSE,FALSE
"30","fenoldopam","3341","YAPC","trt_cp","down",-0.344262547582904,3.07457990859294e-05,0.000915424992520158,-1.19622534020967,0,14,126,"ADRA1A; ADRA1B; ADRA1D; ADRA2B; ADRA2C; DRD1; DRD4",-89.0865043724888,TRUE,FALSE
"31","barasertib",NA,"YAPC","trt_cp","down",-0.341931050640941,3.18990385420895e-05,0.000915424992520158,-1.18812397762411,0,14,126,"AURKB; AURKC",-88.9092413141101,FALSE,FALSE
"32","dimethyl-fumarate",NA,"YAPC","trt_cp","down",-0.340250923621882,3.3356907288556e-05,0.000917441439249495,-1.18228596088636,0,14,126,NA,-92.5835105963917,FALSE,FALSE
"33","ABT-724",NA,"YAPC","trt_cp","down",-0.339523392502561,3.3356907288556e-05,0.000917441439249495,-1.17975797413081,0,14,126,NA,-89.2273300244229,FALSE,FALSE
"34","enprofylline",NA,"YAPC","trt_cp","down",-0.338705745013983,3.43795913345848e-05,0.000926251319309919,-1.17691685576908,0,14,126,"ADORA1; ADORA2A; ADORA2B; ADORA3; PDE4A; PDE4B",-86.330063814701,FALSE,FALSE
