"","Var1","Var2","log_fold_change","Sensitive"
"56812","PATU8988S","tipranavir",0.0545871457586,TRUE
"56813","PATU8988T","tipranavir",0.599106930753,FALSE
"56821","PANC0203","tipranavir",NA,NA
"56828","PANC1005","tipranavir",-0.719940256877,TRUE
"56834","T3M4","tipranavir",0.26909883345,TRUE
"56840","PANC0504","tipranavir",NA,NA
"56846","CAPAN2","tipranavir",0.0555523491564,TRUE
"56848","SU8686","tipranavir",-0.791754721036,TRUE
"56851","HUPT3","tipranavir",-0.634128220816,TRUE
"56857","CFPAC1","tipranavir",0.14455970918,TRUE
"56858","PANC0327","tipranavir",-0.341324022822,TRUE
"56864","SW1990","tipranavir",-0.225970255574,TRUE
"56868","PANC1","tipranavir",-0.0965739040381,TRUE
"56874","HS766T","tipranavir",0.675582747235,FALSE
"56883","PK59","tipranavir",-0.266907774291,TRUE
"56889","HUPT4","tipranavir",1.41278747205,FALSE
"56893","ASPC1","tipranavir",-0.596722412046,TRUE
"56900","PANC0403","tipranavir",-0.340161957713,TRUE
"56903","DANG","tipranavir",-0.623953032595,TRUE
"56914","KP4","tipranavir",-0.163886517783,TRUE
"56915","SNU213","tipranavir",1.04951959282,FALSE
"56918","HPAC","tipranavir",0.450626057124,FALSE
"56926","KP2","tipranavir",0.243575955406,TRUE
"56934","PK1","tipranavir",NA,NA
"56943","PSN1","tipranavir",NA,NA
"56950","YAPC","tipranavir",-0.283941420738,TRUE
"56991","PANC0813","tipranavir",-0.818827499989,TRUE
"57023","PK45H","tipranavir",NA,NA
"57047","TCCPAN2","tipranavir",-0.284717135124,TRUE
"57054","SNU410","tipranavir",-0.18355325289,TRUE
"57063","BXPC3","tipranavir",-0.0446871954985,TRUE
"57096","PATU8902","tipranavir",-0.127610987995,TRUE
"57097","MIAPACA2","tipranavir",-0.115056286962,TRUE
"57128","SUIT2","tipranavir",NA,NA
"126108","PATU8988S","ofloxacin",-0.0622046090547,TRUE
"126109","PATU8988T","ofloxacin",0.72992356688,FALSE
"126117","PANC0203","ofloxacin",0.085944485879,TRUE
"126124","PANC1005","ofloxacin",0.685673198081,FALSE
"126130","T3M4","ofloxacin",0.0971045675623,TRUE
"126136","PANC0504","ofloxacin",NA,NA
"126142","CAPAN2","ofloxacin",0.439185199545,FALSE
"126144","SU8686","ofloxacin",0.221013420367,TRUE
"126147","HUPT3","ofloxacin",0.288917312391,TRUE
"126153","CFPAC1","ofloxacin",0.0636053615234,TRUE
"126154","PANC0327","ofloxacin",0.268920816681,TRUE
"126160","SW1990","ofloxacin",0.531394547031,FALSE
"126164","PANC1","ofloxacin",-0.360038380203,TRUE
"126170","HS766T","ofloxacin",1.05232782877,FALSE
"126179","PK59","ofloxacin",0.671243271288,FALSE
