"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","Tau","TauRefSize","NCSct","N_upset","N_downset","t_gn_sym","id","jlf_tau"
"1","PF-02545920",NA,"GI1","trt_cp","down",-0.379451991003484,2.70249698971863e-05,0.00366784686158466,-1.6017204888262,NA,NA,-0.519644829383298,597,554,NA,"PF-02545920__GI1__trt_cp",-98.4154652170488
"2","BRD-K37846922",NA,"GI1","trt_cp","down",-0.349165778969552,2.9440244984616e-05,0.00366784686158466,-1.47387810693384,NA,NA,0,597,554,NA,"BRD-K37846922__GI1__trt_cp",-97.6995194201528
"3","dabigatran",NA,"GI1","trt_cp","up",0.327675553152769,5.31360519234533e-05,0.00379975158909517,1.41499898768569,NA,NA,0,597,554,NA,"dabigatran__GI1__trt_cp",97.1706846293232
"4","L-693403","4687238","GI1","trt_cp","down",-0.334366418711181,4.07115287259546e-05,0.00369541301850234,-1.41140791542248,NA,NA,0,597,554,"SIGMAR1","L-693403__GI1__trt_cp",-97.2839360277318
"5","clorgiline","28767","GI1","trt_cp","up",0.326085606544999,5.94027116097573e-05,0.00393732960032715,1.40813313266898,NA,NA,0,597,554,"MAOA","clorgiline__GI1__trt_cp",97.2868904120381
"6","API-001",NA,"GI1","trt_cp","down",-0.332687933181445,4.20388420622898e-05,0.00369541301850234,-1.4043227907508,NA,NA,0,597,554,NA,"API-001__GI1__trt_cp",-95.4571417316631
"7","alpidem",NA,"GI1","trt_cp","up",0.323291658319626,7.19577902173874e-05,0.00426554690591616,1.39606804611458,NA,NA,0,597,554,NA,"alpidem__GI1__trt_cp",96.2311904199165
"8","O6-benzylguanine",NA,"GI1","trt_cp","up",0.322780208040272,7.19577902173874e-05,0.00426554690591616,1.39385945404668,NA,NA,0,597,554,NA,"O6-benzylguanine__GI1__trt_cp",95.7653824942882
"9","androsterone","11868768","GI1","trt_cp","up",0.322382900983129,7.74193582078816e-05,0.00443900130426941,1.39214376583543,NA,NA,0.813781747061495,597,554,"AKR1C1; AKR1C3; AKR1C4; AKR1D1; HSD17B11; SULT2A1; UGT1A1; UGT1A10; UGT1A3; UGT1A4; UGT1A5; UGT1A6; UGT1A7; UGT1A8; UGT1A9; UGT2A2; UGT2A3; UGT2B10; UGT2B11; UGT2B15; UGT2B17; UGT2B4; UGT2B7","androsterone__GI1__trt_cp",97.3735523516899
"10","CGM-097",NA,"GI1","trt_cp","down",-0.329134983393108,5.02638329005639e-05,0.0037419286276062,-1.38932528749169,NA,NA,-1.02597095845774,597,554,NA,"CGM-097__GI1__trt_cp",-96.2469471362168
"11","L-701252","4237309","GI1","trt_cp","up",0.321349670167725,8.28591669633538e-05,0.0046027632659337,1.38768197262634,NA,NA,0,597,554,"GRIN1","L-701252__GI1__trt_cp",96.4064838887576
"12","rivastigmine","77991","GI1","trt_cp","down",-0.324839507930495,6.28841892132596e-05,0.00401100006876334,-1.3711934784069,NA,NA,0,597,554,"ACHE; BCHE","rivastigmine__GI1__trt_cp",-95.7269754983062
"13","CO-101244","6918409","GI1","trt_cp","down",-0.313864887675616,0.000142914655623768,0.00625522663390512,-1.32486805506984,NA,NA,0,597,554,"GRIN2B","CO-101244__GI1__trt_cp",-95.3842669187741
"14","amrinone",NA,"GI1","trt_cp","up",0.304496612691074,0.000347690816414767,0.0108868073580083,1.31490553557017,NA,NA,0,597,554,"PDE3A; PDE3B; PDE4B; TNF","amrinone__GI1__trt_cp",94.9223981722209
"15","vorinostat","5311","GI1","trt_cp","down",-0.308190088637799,0.000240221954641656,0.00845807841960206,-1.30091392620942,NA,NA,-1.3130127532767,597,554,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","vorinostat__GI1__trt_cp",-96.2174032931537
"16","fendiline","5702162","GI1","trt_cp","up",0.299435743999168,0.000548572074136847,0.0146435864080315,1.29305122264705,NA,NA,0,597,554,NA,"fendiline__GI1__trt_cp",93.2659733711495
"17","CPI-1189",NA,"GI1","trt_cp","down",-0.305413813568998,0.000316770943448662,0.0102114884703336,-1.28919487672293,NA,NA,0,597,554,NA,"CPI-1189__GI1__trt_cp",-90.8601197510439
"18","BRD-K41592905",NA,"GI1","trt_cp","down",-0.302119373618,0.000416711109904199,0.0121314543991147,-1.27528858002709,NA,NA,-0.888243647006725,597,554,NA,"BRD-K41592905__GI1__trt_cp",-92.3540534152683
"19","pargyline","9373","GI1","trt_cp","up",0.295006421326684,0.000789512083534225,0.0187752259977516,1.27392411036359,NA,NA,0,597,554,"MAOA; MAOB; TH","pargyline__GI1__trt_cp",92.5598755219412
"20","panobinostat","6918837","GI1","trt_cp","down",-0.301303039492747,0.000457096250104825,0.0129218768431638,-1.27184271829716,NA,NA,-1.24676214564259,597,554,"HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9","panobinostat__GI1__trt_cp",-92.6416134877492
"21","LB-42708",NA,"GI1","trt_cp","up",0.292680701409997,0.000944242003774879,0.0211287152999816,1.26388097075158,NA,NA,-0.659073543268808,597,554,NA,"LB-42708__GI1__trt_cp",91.5878830851651
"22","entinostat","4261","GI1","trt_cp","down",-0.298154593224073,0.000602317384640913,0.0156144285182479,-1.25855268157033,NA,NA,-1.28481169033705,597,554,"HDAC1; HDAC2; HDAC3; HDAC9","entinostat__GI1__trt_cp",-92.1373985661388
"23","igmesine",NA,"GI1","trt_cp","up",0.29027796593365,0.00122939677873674,0.0251892385996859,1.25350525540146,NA,NA,0,597,554,"SERPINA1","igmesine__GI1__trt_cp",88.669936185299
"24","BRD-K82225283",NA,"GI1","trt_cp","up",0.290151920507526,0.00122939677873674,0.0251892385996859,1.25296095434313,NA,NA,0,597,554,NA,"BRD-K82225283__GI1__trt_cp",91.5937918537777
"25","R-428",NA,"GI1","trt_cp","down",-0.296483000687239,0.000722254288081566,0.0176639184559139,-1.25149665319601,NA,NA,-1.10579388168105,597,554,NA,"R-428__GI1__trt_cp",-89.5552666824234
