"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"GO:0086004","BP","GO:0086004","regulation of cardiac muscle cell contraction","17/74","341/22568",7.88025319022732e-16,3.97795181042675e-12,2.70002359307262e-12,"psb-11/nifedipine/papaverine/nicardipine/amiodarone/nilvadipine/ethotoin/theobromine/theophylline/piclamilast/pentoxifylline/nimodipine/zardaverine/vernakalant/verapamil/psb-1115/fpl-64176",17
"GO:1903115","BP","GO:1903115","regulation of actin filament-based movement","17/74","369/22568",2.90620806540769e-15,7.33526915708901e-12,4.97879329100107e-12,"psb-11/nifedipine/papaverine/nicardipine/amiodarone/nilvadipine/ethotoin/theobromine/theophylline/piclamilast/pentoxifylline/nimodipine/zardaverine/vernakalant/verapamil/psb-1115/fpl-64176",17
"GO:1901841","BP","GO:1901841","regulation of high voltage-gated calcium channel activity","11/74","109/22568",6.45246049944173e-14,1.0857340200394e-10,7.36938909673082e-11,"nifedipine/papaverine/nicardipine/nilvadipine/theobromine/theophylline/piclamilast/pentoxifylline/nimodipine/zardaverine/verapamil",11
"GO:0051393","MF","GO:0051393","alpha-actinin binding","14/74","280/22568",3.46908581208479e-13,4.377986294851e-10,2.97154587324631e-10,"psb-11/nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/theobromine/theophylline/skf-96365/pentoxifylline/nimodipine/vernakalant/verapamil/fpl-64176",14
"GO:0045777","BP","GO:0045777","positive regulation of blood pressure","16/74","453/22568",1.23617030351357e-12,1.2480375384273e-09,8.47101965881404e-10,"psb-11/nicardipine/amiodarone/thioridazine/lisinopril/cilazapril/theobromine/orlistat/atorvastatin/theophylline/piclamilast/pentoxifylline/zardaverine/verapamil/psb-1115/tolvaptan",16
"GO:0042805","MF","GO:0042805","actinin binding","14/74","342/22568",5.19029797570283e-12,4.36677069689131e-09,2.96393331770398e-09,"psb-11/nifedipine/icosapent/nicardipine/amiodarone/nilvadipine/theobromine/theophylline/skf-96365/pentoxifylline/nimodipine/vernakalant/verapamil/fpl-64176",14
"GO:0005891","CC","GO:0005891","voltage-gated calcium channel complex","13/74","315/22568",2.90880645574741e-11,2.09766499837328e-08,1.42378421255005e-08,"nifedipine/papaverine/nicardipine/amiodarone/nilvadipine/theobromine/theophylline/piclamilast/pentoxifylline/nimodipine/zardaverine/verapamil/fpl-64176",13
"GO:0101020","MF","GO:0101020","estrogen 16-alpha-hydroxylase activity","10/74","141/22568",3.35401144988e-11,2.11638122487428e-08,1.43648779859992e-08,"nifedipine/imatinib/amiodarone/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",10
"GO:1901385","BP","GO:1901385","regulation of voltage-gated calcium channel activity","11/74","198/22568",4.63082057611718e-11,2.59737580758217e-08,1.76296151757444e-08,"nifedipine/papaverine/nicardipine/nilvadipine/theobromine/theophylline/piclamilast/pentoxifylline/nimodipine/zardaverine/verapamil",11
"GO:0002933","BP","GO:0002933","lipid hydroxylation","10/74","150/22568",6.20674501414810e-11,2.93067803277731e-08,1.98918946465304e-08,"nifedipine/imatinib/amiodarone/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",10
"GO:0003084","BP","GO:0003084","positive regulation of systemic arterial blood pressure","11/74","204/22568",6.38618430280316e-11,2.93067803277731e-08,1.98918946465304e-08,"psb-11/nicardipine/thioridazine/lisinopril/cilazapril/theobromine/atorvastatin/theophylline/pentoxifylline/psb-1115/tolvaptan",11
"GO:0009820","BP","GO:0009820","alkaloid metabolic process","11/74","213/22568",1.01517679691681e-10,4.2705103923634e-08,2.89859690698617e-08,"rivastigmine/nifedipine/imatinib/vardenafil/maraviroc/tacrine/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",11
"GO:0009822","BP","GO:0009822","alkaloid catabolic process","9/74","113/22568",1.2052948677493e-10,4.68025268646037e-08,3.17670833564695e-08,"nifedipine/imatinib/vardenafil/maraviroc/atorvastatin/theophylline/skf-96365/lapatinib/verapamil",9
"GO:0031000","BP","GO:0031000","response to caffeine","13/74","366/22568",1.86249377514324e-10,6.26791238461537e-08,4.25432788637981e-08,"panobinostat/psb-11/nifedipine/icosapent/amiodarone/nilvadipine/entinostat/theobromine/theophylline/pentoxifylline/nimodipine/verapamil/fpl-64176",13
"GO:0036270","BP","GO:0036270","response to diuretic","13/74","366/22568",1.86249377514324e-10,6.26791238461537e-08,4.25432788637981e-08,"panobinostat/psb-11/nifedipine/icosapent/amiodarone/nilvadipine/entinostat/theobromine/theophylline/pentoxifylline/nimodipine/verapamil/fpl-64176",13
"GO:0099623","BP","GO:0099623","regulation of cardiac muscle cell membrane repolarization","10/74","177/22568",3.17688441545796e-10,1.00230703307699e-07,6.8031307712603e-08,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil",10
"GO:0060372","BP","GO:0060372","regulation of atrial cardiac muscle cell membrane repolarization","9/74","128/22568",3.70134292748672e-10,1.05773309712594e-07,7.17933362070425e-08,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/ethotoin/nimodipine/vernakalant/verapamil",9
"GO:0034704","CC","GO:0034704","calcium channel complex","14/74","473/22568",3.77163148737458e-10,1.05773309712594e-07,7.17933362070425e-08,"nifedipine/papaverine/nicardipine/amiodarone/nilvadipine/theobromine/theophylline/skf-96365/piclamilast/pentoxifylline/nimodipine/zardaverine/verapamil/fpl-64176",14
"GO:0086005","BP","GO:0086005","ventricular cardiac muscle cell action potential","11/74","251/22568",5.83144421944479e-10,1.50410058452924e-07,1.02090403758501e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil/fpl-64176",11
"GO:0060307","BP","GO:0060307","regulation of ventricular cardiac muscle cell membrane repolarization","9/74","135/22568",5.959194074997e-10,1.50410058452924e-07,1.02090403758501e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/vernakalant/verapamil",9
"GO:0045822","BP","GO:0045822","negative regulation of heart contraction","12/74","326/22568",6.64472741825128e-10,1.59726590511107e-07,1.08413973666205e-07,"psb-11/papaverine/nicardipine/thioridazine/vardenafil/pi-103/theobromine/theophylline/piclamilast/pentoxifylline/zardaverine/psb-1115",12
"GO:0035809","BP","GO:0035809","regulation of urine volume","10/74","192/22568",7.03620421113879e-10,1.61448903899221e-07,1.09582989029937e-07,"psb-11/nifedipine/sitaxentan/ebpc/theobromine/theophylline/macitentan/pentoxifylline/alrestatin/tolvaptan",10
"GO:0060306","BP","GO:0060306","regulation of membrane repolarization","10/74","193/22568",7.40149330972503e-10,1.62446687945617e-07,1.10260232142586e-07,"flupirtine/nifedipine/nicardipine/amiodarone/nilvadipine/thioridazine/ethotoin/nimodipine/vernakalant/verapamil",10
"GO:1903307","BP","GO:1903307","positive regulation of regulated secretory pathway","11/74","258/22568",7.79834132966828e-10,1.64025112634023e-07,1.11331583456448e-07,"nifedipine/nicardipine/amiodarone/nilvadipine/orlistat/theophylline/pentoxifylline/nimodipine/vandetanib/verapamil/psb-1115",11
