...1,pert,PCID,cell,type,trend,WTCS,WTCS_Pval,WTCS_FDR,NCS,NCSct,N_upset,N_downset,t_gn_sym,jlf_tau,fda_approved,clinical_trial_GBM
9,trandolapril,NA,GI1,trt_cp,down,-0.427424050271754,2.4936083335085e-5,6.8511113065209e-4,-1.38691618918396,0,19,83,ACE,-95.5654691562278,TRUE,FALSE
19,felbamate,3331,GI1,trt_cp,down,-0.402593617810385,2.59805266161356e-5,6.8511113065209e-4,-1.30634578435247,0,19,83,CYP2E1; GRIN2A; GRIN2B; GRIN3A,-93.3004411880564,TRUE,FALSE
20,pralidoxime,5464070,GI1,trt_cp,down,-0.402435904621955,2.60240450861794e-5,6.8511113065209e-4,-1.30583403267601,0,19,83,ACHE; BCHE,-94.193650043331,TRUE,FALSE
24,abiraterone,73707387,GI1,trt_cp,down,-0.384480106634076,2.68073775469674e-5,6.8511113065209e-4,-1.24757061276955,0,19,83,CYP11B1; CYP17A1,-90.8453478295123,TRUE,TRUE
38,pamidronate,NA,GI1,trt_cp,down,-0.358870469567198,2.79388577681057e-5,6.8511113065209e-4,-1.16447182545377,0,19,83,FDPS,-87.9136138028835,TRUE,FALSE
41,floxuridine,3363,GI1,trt_cp,down,-0.357038899844833,2.80258947081932e-5,6.8511113065209e-4,-1.15852870246397,0,19,83,TYMS,-89.0146143543685,TRUE,FALSE
42,vardenafil,23581791,GI1,trt_cp,down,-0.356303763619988,2.81782093533464e-5,6.8511113065209e-4,-1.15614331415733,0,19,83,CYP2C8; CYP3A5; PDE5A; PDE6G; PDE6H,-86.8923816276688,TRUE,FALSE
44,moxifloxacin,101526,GI1,trt_cp,down,-0.355327593597199,2.83087647634778e-5,6.8511113065209e-4,-1.15297581338815,0,19,83,TOP2A; TOP2B,-85.7066887260695,TRUE,FALSE
46,nimodipine,4497,GI1,trt_cp,down,-0.354410926826066,2.83958017035653e-5,6.8511113065209e-4,-1.1500013902499,0,19,83,AHR; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CFTR; NR3C2,-82.7976049791224,TRUE,FALSE
49,diltiazem,39186,GI1,trt_cp,down,-0.350909566943889,2.88745048740469e-5,6.8511113065209e-4,-1.13864009061863,0,19,83,CACNA1C; CACNA1S; CACNA2D1; CACNG1; CYP3A5; CYP3A7; EDN1; HTR3A; KCNA5,-83.4357519892854,TRUE,FALSE
57,diflunisal,3059,GI1,trt_cp,down,-0.346153501981,3.01582997403383e-5,6.8511113065209e-4,-1.12320749273452,0,19,83,TTR,-81.6660757898054,TRUE,FALSE
68,rucaparib,9931954,GI1,trt_cp,down,-0.334421598719106,4.07115287259546e-5,7.7155869222626e-4,-1.08513952123522,0,19,83,PARP1; PARP2; PARP3; TNKS2,-83.8759552509257,TRUE,TRUE
