"","ont","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count"
"GO:0032222","BP","GO:0032222","regulation of synaptic transmission, cholinergic","9/41","168/22568",1.61605641295822e-11,4.84332106963579e-08,3.82750203069053e-08,"desoxypeganine/pralidoxime/psb-36/theobromine/huperzine-a/velnacrine/cgs-21680/pentoxifylline/demecarium",9
"GO:0007271","BP","GO:0007271","synaptic transmission, cholinergic","9/41","294/22568",2.32513705306364e-09,2.85839951699595e-06,2.25889008771609e-06,"desoxypeganine/pralidoxime/psb-36/theobromine/huperzine-a/velnacrine/cgs-21680/pentoxifylline/demecarium",9
"GO:0001507","BP","GO:0001507","acetylcholine catabolic process in synaptic cleft","6/41","78/22568",5.72252155554744e-09,2.85839951699595e-06,2.25889008771609e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0006581","BP","GO:0006581","acetylcholine catabolic process","6/41","78/22568",5.72252155554744e-09,2.85839951699595e-06,2.25889008771609e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0032223","BP","GO:0032223","negative regulation of synaptic transmission, cholinergic","6/41","78/22568",5.72252155554744e-09,2.85839951699595e-06,2.25889008771609e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0045212","BP","GO:0045212","neurotransmitter receptor biosynthetic process","6/41","78/22568",5.72252155554744e-09,2.85839951699595e-06,2.25889008771609e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0008291","BP","GO:0008291","acetylcholine metabolic process","6/41","96/22568",2.0164955493238e-08,7.55429645165428e-06,5.96988813944546e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:1900619","BP","GO:1900619","acetate ester metabolic process","6/41","96/22568",2.0164955493238e-08,7.55429645165428e-06,5.96988813944546e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0003990","MF","GO:0003990","acetylcholinesterase activity","6/41","98/22568",2.28354220956959e-08,7.60419555786675e-06,6.00932160413051e-06,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
"GO:0004104","MF","GO:0004104","cholinesterase activity","6/41","114/22568",5.66361489990763e-08,1.69738538550232e-05,1.34138247629391e-05,"desoxypeganine/pralidoxime/huperzine-a/velnacrine/pentoxifylline/demecarium",6
