"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa04935","Growth hormone synthesis, secretion and action","4/5","1217/20544",5.83925514046946e-05,0.00846691995368072,0.00571632345330168,"trifluoperazine/cimetidine/sorafenib/ruxolitinib",4,5.16442943316393
"2","hsa04976","Bile secretion","3/5","810/20544",0.000575309405341659,0.0417099318872703,0.0281598814193549,"trifluoperazine/cimetidine/sorafenib",3,3.56985695866157
"3","hsa02010","ABC transporters","2/5","199/20544",0.000915839205622744,0.0442655616050993,0.0298852793413737,"trifluoperazine/cimetidine",2,3.51038924953951
"4","hsa04371","Apelin signaling pathway","3/5","1167/20544",0.00167663013598608,0.0607778424294953,0.041033316485975,"trifluoperazine/cimetidine/sorafenib",3,3.1933709450373
"5","hsa05152","Tuberculosis","3/5","1298/20544",0.00228468298368358,0.0662558065268238,0.044731687891068,"trifluoperazine/sorafenib/ruxolitinib",3,3.10707312714833
"6","hsa04910","Insulin signaling pathway","3/5","1427/20544",0.00300659893361012,0.0726594742289113,0.0490550352325862,"trifluoperazine/pyrazinamide/sorafenib",3,3.01481244314084
"7","hsa05167","Kaposi sarcoma-associated herpesvirus infection","3/5","1557/20544",0.00386726050362883,0.0801075390037401,0.054083492757516,"trifluoperazine/sorafenib/ruxolitinib",3,2.91722626431971
"8","hsa01523","Antifolate resistance","2/5","484/20544",0.00528375019838849,0.0957679723457914,0.0646564169013329,"trifluoperazine/cimetidine",2,2.73866792267539
"9","hsa04971","Gastric acid secretion","2/5","518/20544",0.00603274336174449,0.0971941986058834,0.065619313759326,"trifluoperazine/cimetidine",2,2.7238852093014
"10","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/5","657/20544",0.00957639178810624,0.11416841687509,0.0770792215563223,"sorafenib/ruxolitinib",2,2.56292153465248
"11","hsa04916","Melanogenesis","2/5","710/20544",0.0111265048336456,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"12","hsa04713","Circadian entrainment","2/5","766/20544",0.0128805292595654,0.11416841687509,0.0770792215563223,"trifluoperazine/cimetidine",2,2.56292153465248
"13","hsa04720","Long-term potentiation","2/5","777/20544",0.0132389131877831,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"14","hsa05214","Glioma","2/5","816/20544",0.014545750035975,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"15","hsa05221","Acute myeloid leukemia","2/5","827/20544",0.0149244874814812,0.11416841687509,0.0770792215563223,"pyrazinamide/sorafenib",2,2.56292153465248
"16","hsa04630","JAK-STAT signaling pathway","2/5","880/20544",0.0168111528865463,0.11416841687509,0.0770792215563223,"sorafenib/ruxolitinib",2,2.56292153465248
"17","hsa04970","Salivary secretion","2/5","884/20544",0.0169576679471041,0.11416841687509,0.0770792215563223,"trifluoperazine/pyrazinamide",2,2.56292153465248
"18","hsa05231","Choline metabolism in cancer","2/5","912/20544",0.0179993308569338,0.11416841687509,0.0770792215563223,"cimetidine/sorafenib",2,2.56292153465248
"19","hsa04360","Axon guidance","2/5","939/20544",0.0190302283840401,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"20","hsa04934","Cushing syndrome","2/5","945/20544",0.0192628174016923,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"21","hsa00230","Purine metabolism","2/5","963/20544",0.0199681782243969,0.11416841687509,0.0770792215563223,"trifluoperazine/cimetidine",2,2.56292153465248
"22","hsa04012","ErbB signaling pathway","2/5","987/20544",0.020926281614749,0.11416841687509,0.0770792215563223,"trifluoperazine/sorafenib",2,2.56292153465248
"23","hsa05202","Transcriptional misregulation in cancer","2/5","1001/20544",0.0214944166391942,0.11416841687509,0.0770792215563223,"pyrazinamide/sorafenib",2,2.56292153465248
"24","hsa04714","Thermogenesis","2/5","1003/20544",0.021576132117171,0.11416841687509,0.0770792215563223,"trifluoperazine/cimetidine",2,2.56292153465248
"25","hsa04917","Prolactin signaling pathway","2/5","1009/20544",0.0218221064561629,0.11416841687509,0.0770792215563223,"sorafenib/ruxolitinib",2,2.56292153465248
"26","hsa04152","AMPK signaling pathway","2/5","1016/20544",0.0221106433868124,0.11416841687509,0.0770792215563223,"trifluoperazine/pyrazinamide",2,2.56292153465248
