"LongTable-checkbox","lineage3","depmapId","displayName"," Tumor Type"," temozolomide Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 temozolomide (BRD:BRD-K32107296-001-16-9)"," pamidronate Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 pamidronate (BRD:BRD-K58513245-304-02-7)"," floxuridine Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 floxuridine (BRD:BRD-K47832606-001-30-1)"," nimodipine Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 nimodipine (BRD:BRD-A58048407-001-18-8)"," simvastatin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 simvastatin (BRD:BRD-K22134346-001-22-3)"," vardenafil Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 vardenafil (BRD:BRD-K13926615-003-03-3)"," moxifloxacin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 moxifloxacin (BRD:BRD-K66615216-003-14-8)"," diltiazem Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 diltiazem (BRD:BRD-A69636825-003-04-7)"," diflunisal Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 diflunisal (BRD:BRD-K22031190-001-23-6)"," saxagliptin Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 saxagliptin (BRD:BRD-A81513827-001-03-6)"," icosapent Drug sensitivity (PRISM Repurposing Primary Screen) 19Q4 icosapent (BRD:BRD-K47192521-001-05-4)"," MGMT Methylation (1kb upstream TSS) MGMT_10_131264504_131265504"," TP53 (LFS1, p53) Mutation 22Q2 Public"," EGFR (ERBB1, ERBB) Mutation 22Q2 Public"," EGFR (ERBB1, ERBB) Copy Number 22Q2 Public"," TERT (TCS1, hEST2, EST2, TP2, TRT) Mutation 22Q2 Public"," CDKN2A (p19Arf, CMM2, ARF, p14ARF, MTS1, CDK4I, CDKN2, p14, MLM, p19, INK4, INK4a, p16, p16INK4a) Mutation 22Q2 Public"," KRAS (KRAS1, KRAS2) Mutation 22Q2 Public"," PDGFRA (PDGFR2, GAS9, CD140a) Mutation 22Q2 Public"," RB1 (PPP1R130, RB, OSRC) Mutation 22Q2 Public"," MTOR (FRAP1, FLJ44809, RAPT1, RAFT1, FRAP, FRAP2) Mutation 22Q2 Public"," PTEN (MHAM, PTEN1, MMAC1, BZS, TEP1) Mutation 22Q2 Public"," BRCA1 (BRCC1, PPP1R53, RNF53, FANCS) Mutation 22Q2 Public"," Gender"," Microsatellite Instability CCLE (NGS)"," Microsatellite Instability GDSC (PCR)"
"true","Glioblastoma","ACH-002680","170MGBA","","","","","","","","","","","","","","1","0","5.717289939042576","0","0","1","0","0","0","1","0","Female","",""
"true","Glioblastoma","ACH-000283","A1207","","","","","","","","","","","","","","0","0","1.4252493256807452","0","0","0","0","0","0","0","0","Female","",""
"true","Glioblastoma","ACH-000558","A172","Primary","0.326292118058","0.277500262336","-0.704131363633","0.157728635436","","-0.353582185131","-0.142969605221","0.261349402581","0.291211384802","0.5290331289729999","0.058646122498","0.56288","0","0","1.6404371272134126","0","0","0","0","1","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-000269","AM38","Primary","","-1.24122746362","","-1.59968863069","-1.2228957351","-0.258253171499","","","0.388462508702","","-0.378047601484","0.47147","0","0","0.9340022426195758","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-001329","ANGMCSS","Primary","","","","","","","","","","","","","0","0","1.2811333666066225","0","0","0","0","0","0","0","0","Male","",""
"true","Glioblastoma","ACH-000464","CAS1","Primary","-0.0711828983281","-0.0659611580199","-1.98770580558","0.0332411128658","-1.09463024756","0.166684789622","0.411814628043","0.242129430731","0.24936629920000006","-0.221046214002","-0.402991204826","0.20797","1","0","1.5848318370131944","0","0","0","0","0","0","1","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002223","D245MG","","","","","","","","","","","","","","0","0","1.0723535056152251","0","0","0","0","0","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002224","D247MG","","","","","","","","","","","","","","0","0","1.5638485134399305","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002225","D263MG","","","","","","","","","","","","","","1","0","0.9973868708532674","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002226","D336MG","","","","","","","","","","","","","","1","0","1.3527125847044847","0","0","0","0","1","0","0","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002227","D392MG","","","","","","","","","","","","","","0","0","1.3671055686024138","0","0","0","0","0","0","1","0","Female","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002228","D423MG","","","","","","","","","","","","","","1","0","1.2081470360872846","0","0","0","0","0","0","1","0","Male","MSS","MSS/MSI-L"
"true","Glioblastoma","ACH-002229","D502MG","","","","","","","","","","","","","","0","0","1.2050176858705086","0","0","0","0","0","0","0","0","","MSS","MSS/MSI-L"
