"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa05214","Glioma","6/11","816/20548",1.49942650896197e-06,0.000191909361135063,9.80913232522337e-05,"midostaurin/palbociclib/etoposide/erlotinib/everolimus/trifluoperazine",6,9.22961164329417
"2","hsa04630","JAK-STAT signaling pathway","6/11","880/20548",2.32954939065479e-06,0.000191909361135063,9.80913232522337e-05,"midostaurin/palbociclib/etoposide/erlotinib/mitoxantrone/everolimus",6,9.22961164329417
"3","hsa05206","MicroRNAs in cancer","7/11","1500/20548",2.76792347790957e-06,0.000191909361135063,9.80913232522337e-05,"midostaurin/palbociclib/etoposide/erlotinib/mitoxantrone/everolimus/azacitidine",7,9.22961164329417
"4","hsa04934","Cushing syndrome","5/11","945/20548",7.45660309773941e-05,0.00263623552574136,0.00134746856325849,"midostaurin/palbociclib/etoposide/erlotinib/trifluoperazine",5,6.60952758513156
"5","hsa01523","Antifolate resistance","4/11","484/20548",8.79665630591243e-05,0.00263623552574136,0.00134746856325849,"fluorouracil/etoposide/mitoxantrone/trifluoperazine",4,6.60952758513156
"6","hsa04012","ErbB signaling pathway","5/11","987/20548",9.17428203190733e-05,0.00263623552574136,0.00134746856325849,"midostaurin/etoposide/erlotinib/everolimus/trifluoperazine",5,6.60952758513156
"7","hsa05226","Gastric cancer","5/11","1023/20548",0.000108787385471224,0.00263623552574136,0.00134746856325849,"midostaurin/etoposide/erlotinib/mitoxantrone/everolimus",5,6.60952758513156
"8","hsa04115","p53 signaling pathway","4/11","512/20548",0.000109382734541237,0.00263623552574136,0.00134746856325849,"midostaurin/clofarabine/palbociclib/etoposide",4,6.60952758513156
"9","hsa05224","Breast cancer","5/11","1048/20548",0.000122002414022444,0.00263623552574136,0.00134746856325849,"midostaurin/palbociclib/etoposide/erlotinib/everolimus",5,6.60952758513156
"10","hsa05212","Pancreatic cancer","5/11","1067/20548",0.000132853852744068,0.00263623552574136,0.00134746856325849,"midostaurin/palbociclib/etoposide/erlotinib/everolimus",5,6.60952758513156
"11","hsa02010","ABC transporters","3/11","199/20548",0.000139416301842091,0.00263623552574136,0.00134746856325849,"etoposide/mitoxantrone/trifluoperazine",3,6.60952758513156
"12","hsa05225","Hepatocellular carcinoma","5/11","1131/20548",0.000175011312958941,0.00303352942462164,0.00155053882533798,"midostaurin/palbociclib/etoposide/erlotinib/everolimus",5,6.46915277920972
"13","hsa05163","Human cytomegalovirus infection","6/11","1904/20548",0.000192494037764693,0.00307990460423509,0.00157424273799466,"midostaurin/palbociclib/etoposide/erlotinib/everolimus/trifluoperazine",6,6.45398092359977
"14","hsa04218","Cellular senescence","5/11","1248/20548",0.00027815976941959,0.00376798363521135,0.00192594305241066,"midostaurin/palbociclib/etoposide/everolimus/trifluoperazine",5,6.25233953384674
"15","hsa05219","Bladder cancer","4/11","656/20548",0.000283966601228795,0.00376798363521135,0.00192594305241066,"midostaurin/palbociclib/etoposide/erlotinib",4,6.25233953384674
"16","hsa01522","Endocrine resistance","5/11","1259/20548",0.000289844895016258,0.00376798363521135,0.00192594305241066,"midostaurin/palbociclib/etoposide/erlotinib/everolimus",5,6.25233953384674
"17","hsa05218","Melanoma","4/11","700/20548",0.000363900189465644,0.00445242584757964,0.00227578446662725,"midostaurin/palbociclib/etoposide/erlotinib",4,6.08543046552065
"18","hsa04066","HIF-1 signaling pathway","5/11","1400/20548",0.000475785519382985,0.00549796600175894,0.00281019517296383,"midostaurin/etoposide/erlotinib/everolimus/trifluoperazine",5,5.87450134147772
"19","hsa04310","Wnt signaling pathway","4/11","797/20548",0.000595858090035619,0.00627438367712364,0.00320704833699133,"midostaurin/palbociclib/etoposide/trifluoperazine",4,5.74240428604566
"20","hsa05165","Human papillomavirus infection","5/11","1478/20548",0.000611837638135412,0.00627438367712364,0.00320704833699133,"midostaurin/palbociclib/etoposide/erlotinib/everolimus",5,5.74240428604566
"21","hsa04976","Bile secretion","4/11","810/20548",0.000633471428940368,0.00627438367712364,0.00320704833699133,"clofarabine/etoposide/mitoxantrone/trifluoperazine",4,5.74240428604566
