"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_LIHC"
"1","fenretinide","5353342","HEPG2","trt_cp","down",-0.650900416545138,1.51879460452786e-05,0.000138782513441572,-1.87418167696763,-0.774887960415112,49,57,"CYP2C8; CYP3A5; RARA; RARG; RBP4",-99.8355392736154,FALSE,FALSE
"2","GSK-269962",NA,"HEPG2","trt_cp","down",-0.599230376492896,1.74509064875551e-05,0.000138782513441572,-1.72540462927714,-1.40234890350026,49,57,NA,-99.2870085874104,FALSE,FALSE
"3","BRD-K18710049","54618864","HEPG2","trt_cp","down",-0.598280314699493,1.74944249575989e-05,0.000138782513441572,-1.72266905197542,-0.585707477671641,49,57,NA,-99.3549594264555,FALSE,FALSE
"4","BRD-K46123637","54618962","HEPG2","trt_cp","down",-0.589646053481983,1.78425727179491e-05,0.000138782513441572,-1.69780783855985,-1.25789639438078,49,57,NA,-99.5529031749783,FALSE,FALSE
"5","garcinol","73707546","HEPG2","trt_cp","down",-0.574727146113347,1.84953497686058e-05,0.000138782513441572,-1.65485081760865,-0.91906340307762,49,57,NA,-99.2564799495785,FALSE,FALSE
"6","tigecycline","73707446","HEPG2","trt_cp","down",-0.572241348772133,1.86259051787371e-05,0.000138782513441572,-1.64769329287655,-1.23079522513698,49,57,NA,-98.5425037422201,TRUE,FALSE
"7","PD-198306","9956637","HEPG2","trt_cp","down",-0.568169841016383,1.87999790589122e-05,0.000138782513441572,-1.63596992469381,-1.39616311816851,49,57,"MAP2K1; MAP2K2; MAPK3",-98.7424170802805,FALSE,FALSE
"8","BRD-K38934024",NA,"HEPG2","trt_cp","down",-0.566127598106072,1.88870159989998e-05,0.000138782513441572,-1.63008955629162,-1.47200207508107,49,57,NA,-97.8649649413062,FALSE,FALSE
"9","KIN001-270",NA,"HEPG2","trt_cp","down",-0.565070703576933,1.89305344690436e-05,0.000138782513441572,-1.62704636825448,0.786713133491108,49,57,NA,-99.9123532655795,FALSE,FALSE
"10","BMS-754807","24785538","HEPG2","trt_cp","down",-0.561118576556239,1.91046083492187e-05,0.000138782513441572,-1.6156667411119,-1.2583882255717,49,57,"AKT1; IGF1R",-98.465689750256,FALSE,FALSE
"11","BRD-K69096174","54618368","HEPG2","trt_cp","down",-0.558880940867965,1.91916452893062e-05,0.000138782513441572,-1.60922376504353,-1.34631008626984,49,57,NA,-98.937406444497,FALSE,FALSE
"12","OSI-027","72698550","HEPG2","trt_cp","down",-0.55770577469628,1.923516375935e-05,0.000138782513441572,-1.60584002945145,-0.785077222756966,49,57,"MTOR",-99.1836051366895,FALSE,FALSE
