"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","itemID","Count","logqvalue"
"1","hsa04726","Serotonergic synapse","12/38","1377/20540",4.14242558265624e-06,0.00102732154449875,0.000872089596348681,"quinine/diazepam/warfarin/olanzapine/flumazenil/tramadol/lurasidone/risperidone/midostaurin/albendazole/pentobarbital/sulfasalazine",12,7.04461839122723
"2","hsa00982","Drug metabolism - cytochrome P450","9/38","853/20540",1.93818455660324e-05,0.00240334885018801,0.00204019427010867,"quinine/warfarin/olanzapine/tramadol/argatroban/risperidone/albendazole/axitinib/bupropion",9,6.19471024521472
"3","hsa00830","Retinol metabolism","8/38","732/20540",4.74207713074238e-05,0.00294008782106028,0.00249583006881178,"warfarin/olanzapine/tramadol/argatroban/risperidone/albendazole/axitinib/bupropion",8,5.99313391219814
"4","hsa05204","Chemical carcinogenesis - DNA adducts","8/38","732/20540",4.74207713074238e-05,0.00294008782106028,0.00249583006881178,"warfarin/olanzapine/argatroban/risperidone/albendazole/axitinib/sulfasalazine/bupropion",8,5.99313391219814
"5","hsa00980","Metabolism of xenobiotics by cytochrome P450","8/38","869/20540",0.000156949182791158,0.00758284200960062,0.00643704754635028,"quinine/warfarin/tramadol/argatroban/risperidone/albendazole/axitinib/bupropion",8,5.04568529952442
"6","hsa05031","Amphetamine addiction","8/38","916/20540",0.000225089813195921,0.00758284200960062,0.00643704754635028,"olanzapine/tramadol/risperidone/midostaurin/pentobarbital/belinostat/bortezomib/bupropion",8,5.04568529952442
"7","hsa05014","Amyotrophic lateral sclerosis","9/38","1174/20540",0.000228130876287202,0.00758284200960062,0.00643704754635028,"carfilzomib/ixabepilone/midostaurin/albendazole/ixazomib/pentobarbital/belinostat/bortezomib/sulfasalazine",9,5.04568529952442
"8","hsa05016","Huntington disease","9/38","1185/20540",0.00024460780676131,0.00758284200960062,0.00643704754635028,"carfilzomib/ixabepilone/midostaurin/albendazole/ixazomib/pentobarbital/belinostat/bortezomib/sulfasalazine",9,5.04568529952442
"9","hsa05012","Parkinson disease","9/38","1257/20540",0.000378933786906858,0.010441731016989,0.00886394823173938,"carfilzomib/ixabepilone/olanzapine/risperidone/midostaurin/albendazole/ixazomib/bortezomib/bupropion",9,4.72576298927637
"10","hsa00590","Arachidonic acid metabolism","7/38","773/20540",0.000473703012684251,0.0117478347145694,0.00997269500387897,"warfarin/olanzapine/tramadol/bimatoprost/albendazole/sulfasalazine/bupropion",7,4.60790442021405
"11","hsa00232","Caffeine metabolism","3/38","90/20540",0.000614168252848856,0.0138467024278651,0.0117544163224661,"albendazole/sulfasalazine/bupropion",3,4.44352625177744
"12","hsa05032","Morphine addiction","7/38","825/20540",0.000698007390370104,0.0140731349453444,0.0119466340792397,"diazepam/olanzapine/flumazenil/tramadol/risperidone/midostaurin/pentobarbital",7,4.42730570728945
"13","hsa05033","Nicotine addiction","5/38","392/20540",0.000737704654393054,0.0140731349453444,0.0119466340792397,"diazepam/olanzapine/flumazenil/tramadol/pentobarbital",5,4.42730570728945
"14","hsa04727","GABAergic synapse","6/38","612/20540",0.000836434432861854,0.0144264261357763,0.0122465417111853,"diazepam/olanzapine/flumazenil/tiagabine/midostaurin/pentobarbital",6,4.40251169113917
"15","hsa05030","Cocaine addiction","6/38","617/20540",0.000872566096921951,0.0144264261357763,0.0122465417111853,"olanzapine/tramadol/risperidone/pentobarbital/bortezomib/bupropion",6,4.40251169113917
"16","hsa04970","Salivary secretion","7/38","884/20540",0.00104752352432975,0.0162366146271111,0.0137832042674967,"quinine/diazepam/tamsulosin/olanzapine/risperidone/midostaurin/formoterol",7,4.28430451013031
"17","hsa04723","Retrograde endocannabinoid signaling","7/38","914/20540",0.00127187629063072,0.0185544305927305,0.015750789976851,"diazepam/olanzapine/flumazenil/midostaurin/pentobarbital/bortezomib/orlistat",7,4.15086475770795
"18","hsa03050","Proteasome","3/38","120/20540",0.00141318914736296,0.0194706060303341,0.0165285280393329,"carfilzomib/ixazomib/bortezomib",3,4.10266741894645
"19","hsa04540","Gap junction","7/38","994/20540",0.00205865628036566,0.0268708819752991,0.0228105959043286,"ixabepilone/olanzapine/risperidone/midostaurin/formoterol/albendazole/axitinib",7,3.78053011833052
"20","hsa04640","Hematopoietic cell lineage","5/38","509/20540",0.0023416359152035,0.0290362853485233,0.0246487991074052,"quinine/midostaurin/bortezomib/axitinib/sulfasalazine",5,3.70302709743251
"21","hsa04742","Taste transduction","6/38","756/20540",0.00245965504159204,0.0290473547768964,0.0246581959056846,"diazepam/ticagrelor/olanzapine/flumazenil/risperidone/pentobarbital",6,3.70264594265353
"22","hsa05020","Prion disease","8/38","1382/20540",0.00327529100757809,0.0369214622672439,0.0313424976801731,"carfilzomib/ixabepilone/tramadol/albendazole/ixazomib/pentobarbital/bortezomib/sulfasalazine",8,3.46278034898947
"23","hsa05034","Alcoholism","7/38","1131/20540",0.00423696468147353,0.0456855322176277,0.0387822854139454,"olanzapine/tramadol/risperidone/midostaurin/pentobarbital/belinostat/bupropion",7,3.2497916981051
"24","hsa04022","cGMP-PKG signaling pathway","8/38","1509/20540",0.00558833033570043,0.0577460801355711,0.0490204415412318,"diazepam/tamsulosin/olanzapine/tramadol/lurasidone/risperidone/midostaurin/formoterol",8,3.01551789355367
