"","X","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau","fda_approved","clinical_trial_PAAD"
"3",3,"TAS-103",NA,"YAPC","trt_cp","down",-0.529469218574435,2.04971993906196e-05,0.000167237314092464,-1.70552702199724,-0.380339271317004,85,26,"TOP1",-99.6129756558733,FALSE,FALSE
"6",6,"torcetrapib",NA,"YAPC","trt_cp","down",-0.515016034844114,2.11064579712325e-05,0.000167237314092464,-1.65897040540615,0.792899008979087,85,26,"APOA1; CETP",-99.9576538249429,FALSE,FALSE
"7",7,"SB-939",NA,"YAPC","trt_cp","down",-0.512846006923485,2.119349491132e-05,0.000167237314092464,-1.65198030829138,-0.979711921910295,85,26,NA,-98.877333963602,FALSE,FALSE
"11",11,"umeclidinium",NA,"YAPC","trt_cp","down",-0.497880056151293,2.18462719619767e-05,0.000167237314092464,-1.60377196575434,0.773709077472813,85,26,"CHRM4; CHRM5",-99.4573780824076,TRUE,FALSE
"12",12,"vanoxerine","10238982","YAPC","trt_cp","down",-0.494964584487724,2.1976827372108e-05,0.000167237314092464,-1.5943806441635,0,85,26,"MAOA; MAOB; SLC6A3",-99.6641849838494,FALSE,FALSE
"14",14,"BIX-02189","46931012","YAPC","trt_cp","down",-0.482615072801848,2.24990490126334e-05,0.000167237314092464,-1.55460037904168,0,85,26,NA,-98.1712361143937,FALSE,FALSE
"17",17,"KIN001-055","3796","YAPC","trt_cp","down",-0.479574355155657,2.26296044227647e-05,0.000167237314092464,-1.54480561490826,0,85,26,"EGFR",-99.1580004727015,FALSE,FALSE
"20",20,"SB-239063","5166","YAPC","trt_cp","down",-0.476439240933522,2.28036783029398e-05,0.000167237314092464,-1.53470678038622,0,85,26,"MAPK11; MAPK14; TNF",-99.7567556921138,FALSE,FALSE
"23",23,"picotamide","4814","YAPC","trt_cp","down",-0.470591342395498,2.30212706531587e-05,0.000167237314092464,-1.5158695210544,0,85,26,"PPBP; TBXA2R; TBXAS1",-99.485937130702,FALSE,FALSE
"30",30,"diazepam","3016","YAPC","trt_cp","down",-0.468601803725379,2.31083075932463e-05,0.000167237314092464,-1.5094608161776,-0.744213014168014,85,26,"ABAT; ADRA1A; DBI; GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GABRR1; GABRR2; GABRR3; TSPO",-99.4288190341133,TRUE,FALSE
"31",31,"BRD-K45330754",NA,"YAPC","trt_cp","down",-0.465376993719492,2.32823814734214e-05,0.000167237314092464,-1.49907305346562,-0.713533158985403,85,26,NA,-98.9994485149295,FALSE,FALSE
"33",33,"equol","382975","YAPC","trt_cp","down",-0.463387125243774,2.33694184135089e-05,0.000167237314092464,-1.49266328621854,-1.06488292980221,85,26,"ESR1; ESR2; SHBG",-98.877333963602,FALSE,FALSE
"34",34,"CX-516",NA,"YAPC","trt_cp","down",-0.461274991544879,2.34564553535965e-05,0.000167237314092464,-1.48585967805556,0.847617707279206,85,26,NA,-99.1855747262271,FALSE,FALSE
"35",35,"meglitinide",NA,"YAPC","trt_cp","down",-0.460274679336734,2.34999738236403e-05,0.000167237314092464,-1.48263747090626,-0.911089924649944,85,26,NA,-98.9364216497282,FALSE,FALSE
